dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,u_recursion_maxerr,lam0,lam_max,lam_final,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft0,soft_min,soft_final,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat,cstr_loss_max
tissuemnist,MobileNetV3,L30_G30,3,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.021814,,0,0,44.0,30.0,162.0,0.32134060088070193,0.32134060088070193,,66,6.399999999999939e-07,0.00044,0.011181,0.011181,29,0,0.00048,0.0006852736679604725,156.6,67.13520000000014,138.74400000000006,1.316376470588238,2.7204705882352953,0,-0.011330049261083741,,,,0.002711
tissuemnist,MobileNetV3,L30_G30,4,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.018414,1.0,1,1,0.0,0.0,96.0,0.381914526516,0.381914526516,,39,8.400000000000021e-07,0.000519,0.010839,0.010839,29,0,0.000473,0.0006901239019190684,175.56,93.95520000000002,105.13439999999976,1.8422588235294122,2.061458823529407,0,-0.264039408866995,,175.56,70.42560000000024,0.002627
dermmnist,MobileNetV3,L50_G50,1,hounie_rcl,112,2003,223,29,29,UNSET->default True,14.0,16,0.017388,25.0,5,0,243.0,0.0,0.0,-0.7788101075693626,0.010989010989010988,-0.9821989589736454,55,7.999999999999652e-07,0.000804,0.007774,0.006976,23,6,0.000368,0.000617231723099194,273.0412,66.26550100000009,66.26550100000009,0.5916562589285722,0.5916562589285722,6,-0.2087912087912088,-0.9970588235294118,98.70007999999987,32.434578999999786,0.002303
dermmnist,MobileNetV3,L50_G50,2,hounie_rcl,112,2003,223,27,27,UNSET->default True,15.0,13,0.014874,23.0,5,0,291.0,0.0,0.0,-0.8854909847617218,-0.6307692307692307,-0.9721393650372074,55,7.00000000000017e-07,0.000925,0.008026,0.00723,21,6,0.000379,0.0006815981220631406,297.27750000000003,64.08423400000015,64.08423400000015,0.5721806607142871,0.5721806607142871,6,-0.6879120879120879,-1.0,99.91790400000004,35.833669999999884,0.002747
dermmnist,MobileNetV3,L50_G50,3,hounie_rcl,112,2003,223,28,28,UNSET->default True,15.0,14,0.01348,24.0,5,0,75.0,0.0,0.0,-0.8468333965294422,-0.1958197004528482,-0.9777750027710651,58,8.300000000000039e-07,0.000414,0.006483,0.005557,21,7,0.000308,0.0005535015808468843,194.92419999999998,66.53790900000014,66.53790900000014,0.5940884732142869,0.5940884732142869,7,-0.5076923076923077,-1.0,92.78321799999998,26.245308999999835,0.002348
dermmnist,MobileNetV3,L50_G50,4,hounie_rcl,112,2003,223,27,27,UNSET->default True,16.0,12,0.014422,23.0,5,0,125.0,0.0,0.0,-0.7481281975827275,-0.19839150013118906,-0.9644013324700096,55,7.999999999999923e-07,0.000497,0.00802,0.007254,22,5,0.000375,0.0006821370829972521,211.5491,62.47582499999993,62.47582499999993,0.557819866071428,0.557819866071428,5,-0.48214285714285704,-1.0,103.90587700000022,41.43005200000029,0.002709
octmnist,MobileNetV3,L50_G50,1,hounie_rcl,125,1000,250,29,29,UNSET->default True,23.0,7,0.009362,2.0,7,2,132.0,0.0,0.0,-0.3723272995047279,0.20451980665195554,-0.8017837257372733,39,7.500000000000013e-07,0.000549,0.010686,0.008579,24,6,0.000488,0.0008756203515222794,179.9,53.48299999999999,53.48299999999999,0.4278639999999999,0.4278639999999999,6,0.09994353472614344,-1.0,127.905,74.42200000000001,0.007718
octmnist,MobileNetV3,L50_G50,2,hounie_rcl,125,1000,250,29,29,UNSET->default True,23.0,7,0.011503,2.0,5,2,5.0,0.0,0.0,-0.18478342061977573,0.2442059220435099,-0.9636241116594316,54,7.900000000000246e-07,0.00031,0.008185,0.007121,25,5,0.000376,0.0006810572663146616,156.0,73.076,73.076,0.5846079999999999,0.5846079999999999,5,-0.023150762281197064,-1.0,148.503,75.42699999999999,0.004799
octmnist,MobileNetV3,L50_G50,3,hounie_rcl,125,1000,250,29,29,UNSET->default True,23.0,7,0.007012,13.0,3,1,124.0,0.0,0.0,-0.3554351477068232,-0.011864408673179741,-0.9910312089651149,76,7.200000000000067e-07,0.000626,0.010786,0.010215,26,5,0.000496,0.0008705951987002915,187.6,91.69200000000002,91.69200000000002,0.7335360000000002,0.7335360000000002,5,-0.09203839638622249,-1.0,120.99699999999996,29.304999999999936,0.006446
octmnist,MobileNetV3,L50_G50,4,hounie_rcl,125,1000,250,25,25,UNSET->default True,19.0,7,0.014149,1.0,8,3,0.0,0.0,0.0,-0.27809955252788665,0.38095421804940943,-0.8017837257372733,58,5.399999999999914e-07,0.000268,0.007428,0.00573,19,7,0.000331,0.0006248511822826297,151.8,69.72800000000001,69.72800000000001,0.5578240000000001,0.5578240000000001,7,0.2280701754385965,-1.0,151.8,82.072,0.004885
tissuemnist,MobileNetV3,L50_G50,1,hounie_rcl,86,2400,171,29,29,UNSET->default True,,0,0.019435,1.0,1,1,0.0,0.0,114.0,0.36860911720511996,0.36860911720511996,,69,7.59999999999986e-07,0.000522,0.01059,0.01059,29,0,0.000465,0.0006429432323308179,211.27999999999997,111.76640000000002,146.5976,1.2996093023255817,1.7046232558139536,0,-0.24729064039408863,,211.27999999999997,64.68239999999997,0.002584
