campaign,dataset,model,cap,seed,K,N,n_rows,last_ep,gate_ep,n_off,n_on,n_nan_soft,n_nan_soft_off,lam_min,lam_final,first_sat,n_sat,exc_final,soft_final,step_on,drift_on,ratio_on,npts_on,netcounts_on,step_off,drift_off,ratio_off,npts_off,netcounts_off,peak_ep_soft,last_rise_ep_soft,peak_ep_exc,last_rise_ep_exc,excratio_on,excstep_on,excdrift_on,excratio_off,excstep_off,excdrift_off,ratio_late10,npts_late10,ratio_early10,ratio_late12,npts_late12,ratio_early12,ratio_late15,npts_late15,ratio_early15,ratio_on_tail,npts_on_tail
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,3,51,2400,29,28,,0,29,0,0,0.000491,0.012733,,0,168.0,132.23039999999997,73.37588571428573,-1.3074857142857144,0.017819010994659202,29,-36.6096,,,,,,9,28,9,28,0.02818920210224558,149.5,4.214285714285714,,,,0.0674771340590908,19,0.3479293767918557,0.0996887629488548,17,0.013322286434848694,0.05987910076910358,14,0.0027780713541588563,,
lrc1e-4,tissuemnist,MobileNetV3,L30_G30,4,51,2400,29,28,,0,29,0,0,0.000453,0.014354,0.0,2,122.0,112.87920000000011,54.82071428571438,-1.6728857142857103,0.030515576750185545,29,-46.84079999999989,,,,,,25,27,25,27,0.03968770331815224,109.78571428571429,4.357142857142857,,,,0.043847388724272365,19,0.022343896493531176,0.005870948362961251,17,0.04745520293609661,0.036747820432052165,14,0.12902817554994123,,
lrc1e-4,dermmnist,MobileNetV3,L50_G50,1,112,2003,29,28,11.0,18,11,0,0,0.000368,0.00722,26.0,3,0.0,65.46430099999998,29.99752890000001,-2.5019472999999977,0.08340511341252502,11,-25.019472999999977,9.577285588235304,-6.593051235294113,0.6884049947714819,18.0,-112.08187099999992,1,15,1,14,0.04,55.0,2.2,0.5944700460829493,12.764705882352942,-7.588235294117647,0.530011148272018,19,0.05118298001755612,0.8208860171684066,17,0.025768438088735777,1.0,14,0.046820659836450465,0.08340511341252502,11.0
lrc1e-4,dermmnist,MobileNetV3,L50_G50,2,112,2003,29,28,22.0,7,22,0,0,0.00041,0.006125,25.0,4,0.0,78.16532400000011,28.209679714285716,-2.5319827619047635,0.08975581387485719,22,-53.17163800000003,9.400412833333311,-9.400412833333311,1.0,7.0,-56.40247699999986,3,20,9,20,0.004815409309791332,59.333333333333336,-0.2857142857142857,1.0,7.5,-7.5,0.2620013799958502,19,0.12039008971678002,0.18832141835859273,17,0.2076924649552614,0.395360644257703,14,0.06073840087344582,0.16671894226361408,7.0
lrc1e-4,dermmnist,MobileNetV3,L50_G50,3,112,2003,25,24,14.0,11,14,0,0,0.000865,0.005588,20.0,5,0.0,46.920526999999964,51.46877984615383,-8.36360353846154,0.16249857804015025,14,-108.72684600000002,12.243337500000013,-12.243337500000013,1.0,11.0,-122.43337500000013,3,12,3,12,0.14950166112956811,92.61538461538461,-13.846153846153847,1.0,11.7,-11.7,0.659368036914224,15,0.41056978626039403,1.0000000000000002,13,0.20991257468535407,1.0,10,0.1713887983887687,0.23134967694015268,11.0
lrc1e-4,dermmnist,MobileNetV3,L50_G50,4,112,2003,28,27,13.0,15,13,0,0,0.000497,0.004573,7.0,6,0.0,59.635570999999935,38.63703541666667,-4.264887750000004,0.11038341073550069,13,-51.178653000000054,7.268743928571439,-7.268743928571439,1.0,15.0,-101.76241500000015,4,13,4,10,0.03275109170305677,76.33333333333333,-2.5,1.0,6.642857142857143,-6.642857142857143,0.9869452361563501,18,0.2856399055190108,0.9800070150824247,16,0.04792199325901901,1.0,13,0.11056194262383168,0.11038341073550069,13.0
lrc1e-4,octmnist,MobileNetV3,L50_G50,1,125,1000,29,28,28.0,1,28,0,0,0.000677,0.01187,1.0,3,144.0,196.95500000000004,49.972370370370356,0.004814814814813594,9.63495383374569e-05,28,0.12999999999996703,,,,,,7,27,7,27,0.02948402948402948,90.44444444444444,-2.6666666666666665,,,,0.13887358470709885,19,0.02850383376564143,0.1678765957230128,17,0.1052146629161034,0.0755229286125224,14,0.02333197742941484,,
lrc1e-4,octmnist,MobileNetV3,L50_G50,2,125,1000,29,28,,0,29,0,0,0.000129,0.009058,1.0,2,60.0,153.485,32.976964285714295,0.08517857142857212,0.002582971879721254,29,2.3850000000000193,,,,,,5,28,5,28,0.030508474576271188,63.214285714285715,1.9285714285714286,,,,0.020608645256564705,19,0.06603386455523343,0.0046997866156016045,17,0.11330018940718642,0.09716632075445274,14,0.016603663408937312,,
lrc1e-4,octmnist,MobileNetV3,L50_G50,3,125,1000,29,28,25.0,4,25,0,0,0.000844,0.007644,10.0,4,0.0,104.47499999999991,27.50649999999999,-3.7939999999999956,0.1379310344827585,25,-91.0559999999999,6.126666666666675,-6.126666666666675,1.0,4.0,-18.380000000000024,0,25,0,25,0.17452830188679244,53.0,-9.25,1.0,1.6666666666666667,-1.6666666666666667,0.01171850342221755,19,0.2034681084276515,0.06709765944533884,17,0.2177338734678096,0.3029837841652996,14,0.13923492748379224,0.08217567703181151,4.0
lrc1e-4,octmnist,MobileNetV3,L50_G50,4,125,1000,29,28,22.0,7,22,0,0,0.000232,0.010307,7.0,4,0.0,83.09000000000009,36.33238095238097,3.068571428571431,0.08445830821253508,22,64.44000000000005,20.778333333333318,-20.778333333333318,1.0,7.0,-124.6699999999999,8,21,8,21,0.11246612466124661,70.28571428571429,7.904761904761905,1.0,27.333333333333332,-27.333333333333332,0.0498403484549917,19,0.019986996165404666,0.37724194972873615,17,0.09422698990966089,0.2842863679424627,14,0.06023302902703729,0.2285720607106502,7.0
