dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
tissuemnist,MobileNetV3,L30_G30,1,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,51,35,35,0,51,0,0.2882882882882883,0.20388349514563103,0.3954645792438441,0.271492375243205,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1
tissuemnist,MobileNetV3,L30_G30,2,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,51,80,80,0,51,0,0.25225225225225223,0.3187250996015936,0.36162257750423854,0.40478826855449546,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2
tissuemnist,MobileNetV3,L30_G30,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,51,53,53,0,51,0,0.27027027027027023,0.2946428571428571,0.3783671529456616,0.3676691044795339,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3
tissuemnist,MobileNetV3,L30_G30,4,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2400,171,51,47,47,0,51,0,0.27027027027027023,0.22935779816513763,0.38089572682501993,0.3694976174068034,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4
tissuemnist,MobileNetV3,L30_G30,1,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,51,35,35,0,51,0,0.2882882882882883,0.20388349514563103,0.3954645792438441,0.271492375243205,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1
tissuemnist,MobileNetV3,L30_G30,2,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,51,73,73,0,51,0,0.3243243243243243,0.38524590163934425,0.444779157439954,0.3874301069042014,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2
tissuemnist,MobileNetV3,L30_G30,3,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,51,36,36,0,51,0,0.26126126126126126,0.1932367149758454,0.32670566569252485,0.3985405801876154,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3
tissuemnist,MobileNetV3,L30_G30,4,tralo,tralo,1,29,0.0001,0.0001,False,2400,171,51,42,42,0,51,0,0.2882882882882883,0.23474178403755866,0.42230281926866087,0.4375330829037124,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4
dermmnist,MobileNetV3,L50_G50,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,112,78,78,0,111,0,0.5329341317365269,0.4518272425249169,0.6420835526670444,0.7261095197055006,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1
dermmnist,MobileNetV3,L50_G50,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,112,110,110,0,111,0,0.5449101796407186,0.5345345345345345,0.6517579261994727,0.740374871845398,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2
dermmnist,MobileNetV3,L50_G50,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,112,76,76,0,111,0,0.5029940119760479,0.4080267558528428,0.6254235776780518,0.6990448327160274,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3
dermmnist,MobileNetV3,L50_G50,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,0.0001,,2003,223,112,97,97,0,111,0,0.5389221556886228,0.4875000000000001,0.635610149084322,0.7095523572121492,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4
dermmnist,MobileNetV3,L50_G50,1,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,112,54,54,0,111,0,0.40119760479041916,0.29602888086642604,0.4841629167751743,0.6167989363569445,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1
dermmnist,MobileNetV3,L50_G50,2,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,112,71,71,0,111,0,0.5089820359281437,0.4149659863945579,0.6082769508687246,0.7112030763810243,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2
dermmnist,MobileNetV3,L50_G50,3,hounie_rcl,hounie_rcl,1,29,0.0001,0.0001,,2003,223,112,38,38,0,111,0,0.48502994011976047,0.27586206896551724,0.5649490666658629,0.6918938892402204,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3
