campaign,dataset,model,cap,seed,gate_ep,n_off,ratio_off,npts_off,ratio_on,npts_on,last_rise_ep,last_rise_ep_exc,rise_after_gate_soft,rise_after_gate_exc,win_on_mean,win_on_best
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,1,,0,,,0.053129601848328926,29,27,27,,,,
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,2,,0,,,0.12427074210592166,29,26,26,,,,
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,3,,0,,,0.038599458281033415,29,28,28,,,,
lrc5e-5,tissuemnist,MobileNetV3,L50_G50,4,,0,,,0.03846275074023868,29,28,28,,,,
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,1,12.0,14,1.0,14.0,0.16669925694172855,12,10,10,0.0,0.0,0.16669925694172855,0.16669925694172855
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,2,13.0,13,0.9999999999999999,13.0,0.023881483080576766,13,12,12,0.0,0.0,0.023881483080576766,0.023881483080576766
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,3,16.0,12,1.0,12.0,0.26713301425340474,16,15,15,0.0,0.0,0.16269380638897502,0.34073049756969953
lrc5e-5,dermmnist,RegNetY400MF,L30_G30,4,13.0,13,0.9999999999999998,13.0,0.1292734053848043,13,13,13,0.0,0.0,0.1292734053848043,0.1292734053848043
lrc5e-5,octmnist,RegNetY400MF,L30_G30,1,22.0,7,0.9999999999999999,7.0,0.04396320559383593,22,21,21,0.0,0.0,0.19059976074691853,0.5982369893202282
lrc5e-5,octmnist,RegNetY400MF,L30_G30,2,28.0,1,,,0.07636087688470886,28,27,27,0.0,0.0,,
lrc5e-5,octmnist,RegNetY400MF,L30_G30,3,25.0,4,1.0,4.0,0.018589148069109048,25,24,24,0.0,0.0,0.41208650633877286,1.0
lrc5e-5,octmnist,RegNetY400MF,L30_G30,4,20.0,9,1.0,9.0,0.027810942624147763,20,16,16,0.0,0.0,0.10056953252790322,0.2779284520174238
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,1,,0,,,0.001368639310271415,29,28,28,,,,
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,2,,0,,,0.0019341030811668627,29,26,28,,,,
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,3,,0,,,0.035020940001188564,29,26,26,,,,
lrc5e-5,tissuemnist,RegNetY400MF,L30_G30,4,,0,,,0.01661750245821012,29,28,28,,,,
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,1,12.0,12,1.0,12.0,0.015960374243258326,12,11,11,0.0,0.0,0.015960374243258326,0.015960374243258326
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,2,14.0,14,1.0,14.0,0.01162400804739008,14,13,13,0.0,0.0,0.01162400804739008,0.01162400804739008
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,3,15.0,10,1.0,10.0,0.30542821915209767,15,13,13,0.0,0.0,0.12917132465398065,0.32085520664312317
lrc5e-5,dermmnist,RegNetY400MF,L50_G50,4,12.0,12,0.9999999999999998,12.0,0.2811831302262761,12,12,12,0.0,0.0,0.2811831302262761,0.2811831302262761
lrc5e-5,octmnist,RegNetY400MF,L50_G50,1,25.0,4,1.0,4.0,0.052789193666570935,25,23,23,0.0,0.0,0.47838999033297996,1.0
lrc5e-5,octmnist,RegNetY400MF,L50_G50,2,21.0,8,1.0,8.0,0.11411942561273823,21,19,19,0.0,0.0,0.16238497115789946,0.507713515884455
lrc5e-5,octmnist,RegNetY400MF,L50_G50,3,,0,,,0.04576490830683459,29,28,28,,,,
lrc5e-5,octmnist,RegNetY400MF,L50_G50,4,25.0,4,1.0,4.0,0.0877994796635547,25,23,23,0.0,0.0,0.5174439380764939,1.0
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,1,,0,,,0.008961848274756577,29,27,27,,,,
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,2,,0,,,0.004061448728667836,29,27,27,,,,
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,3,,0,,,0.005539891556932577,29,27,27,,,,
lrc5e-5,tissuemnist,RegNetY400MF,L50_G50,4,,0,,,0.021893999543195108,29,27,27,,,,
