dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
dermmnist,RegNetY400MF,L30_G30,3,15.0,143.0,148.1,67.0,0.0,0.0,0.08,0.014278,0.996,2.191028,6.478291
dermmnist,RegNetY400MF,L30_G30,3,20.0,167.0,172.93,67.0,0.0,0.0,0.09,0.018698,0.9939,3.981834,11.891542
dermmnist,RegNetY400MF,L30_G30,3,25.0,192.0,203.51,67.0,0.0,0.0,0.1,0.007714,0.9981,6.280228,18.787769
dermmnist,RegNetY400MF,L30_G30,3,30.0,187.0,189.88,67.0,0.0,0.0,0.11,0.010555,0.9971,7.971645,23.850107
dermmnist,RegNetY400MF,L30_G30,1,2.0,222.0,262.32,67.0,0.0,0.0,0.05,0.469585,0.8372,0.260908,0.773978
dermmnist,RegNetY400MF,L30_G30,1,5.0,193.0,204.6,67.0,0.0,0.0,0.06,0.086124,0.9762,0.708876,2.111509
dermmnist,RegNetY400MF,L30_G30,1,10.0,189.0,192.27,67.0,0.0,0.0,0.07,0.031678,0.9934,1.64454,4.915328
dermmnist,RegNetY400MF,L30_G30,1,15.0,186.0,191.8,67.0,0.0,0.0,0.08,0.020744,0.9954,2.856875,8.497675
dermmnist,RegNetY400MF,L30_G30,1,20.0,225.0,224.4,67.0,0.0,0.0,0.09,0.014665,0.9959,4.717514,14.193195
dermmnist,RegNetY400MF,L30_G30,1,25.0,204.0,209.12,67.0,0.0,0.0,0.1,0.016266,0.9956,6.37581,18.594278
dermmnist,RegNetY400MF,L30_G30,1,30.0,151.0,156.51,67.0,0.0,0.0,0.11,0.004035,0.999,6.631576,19.217442
dermmnist,RegNetY400MF,L30_G30,2,2.0,172.0,225.1,67.0,0.0,0.0,0.05,0.497525,0.826,0.247056,0.715412
dermmnist,RegNetY400MF,L30_G30,2,5.0,152.0,168.31,67.0,0.0,0.0,0.06,0.098515,0.9695,0.611378,1.667574
dermmnist,RegNetY400MF,L30_G30,2,10.0,154.0,163.65,67.0,0.0,0.0,0.07,0.033052,0.9921,1.430136,4.042228
dermmnist,RegNetY400MF,L30_G30,2,15.0,191.0,187.32,67.0,0.0,0.0,0.08,0.011764,0.9968,2.809384,8.311113
dermmnist,RegNetY400MF,L30_G30,2,20.0,218.0,217.07,67.0,0.0,0.0,0.09,0.009522,0.9976,4.646275,13.199718
dermmnist,RegNetY400MF,L30_G30,2,25.0,197.0,200.14,67.0,0.0,0.0,0.1,0.010617,0.9963,6.218443,17.745302
dermmnist,RegNetY400MF,L30_G30,2,30.0,193.0,199.7,67.0,0.0,0.0,0.11,0.007726,0.998,8.240572,24.43066
tissuemnist,RegNetY400MF,L30_G30,4,2.0,215.0,196.03,51.0,0.0,0.0,0.05,1.097908,0.6085,0.259479,0.518927
tissuemnist,RegNetY400MF,L30_G30,4,5.0,171.0,173.1,51.0,0.0,0.0,0.06,0.490388,0.8365,0.746493,1.491699
tissuemnist,RegNetY400MF,L30_G30,4,10.0,255.0,267.44,51.0,0.0,0.0,0.07,0.086706,0.9741,2.004732,4.008643
tissuemnist,RegNetY400MF,L30_G30,4,15.0,212.0,214.3,51.0,0.0,0.0,0.08,0.054343,0.9843,3.353055,6.682153
tissuemnist,RegNetY400MF,L30_G30,4,20.0,184.0,193.04,51.0,0.0,0.0,0.09,0.036854,0.9884,4.936075,9.871098
tissuemnist,RegNetY400MF,L30_G30,4,25.0,242.0,245.1,51.0,0.0,0.0,0.1,0.026176,0.9925,7.291022,14.569892
tissuemnist,RegNetY400MF,L30_G30,4,30.0,194.0,195.66,51.0,0.0,0.0,0.11,0.045378,0.9854,9.197686,18.376511
tissuemnist,RegNetY400MF,L30_G30,3,2.0,158.0,179.78,51.0,0.0,0.0,0.05,1.160072,0.5814,0.251921,0.50372
tissuemnist,RegNetY400MF,L30_G30,3,5.0,165.0,177.97,51.0,0.0,0.0,0.06,0.621422,0.7867,0.754949,1.508955
