dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
octmnist,RegNetY400MF,L30_G30,1,10.0,140.0,142.98,75.0,0.0,0.0,0.07,0.048666,0.9834,0.960359,2.783576
octmnist,RegNetY400MF,L30_G30,1,15.0,162.0,163.41,75.0,0.0,0.0,0.08,0.030902,0.9905,2.144279,6.254511
octmnist,RegNetY400MF,L30_G30,1,20.0,213.0,218.67,75.0,0.0,0.0,0.09,0.026126,0.9914,4.379494,12.988976
octmnist,RegNetY400MF,L30_G30,1,25.0,180.0,178.4,75.0,0.0,0.0,0.1,0.016534,0.9948,5.109874,14.89434
octmnist,RegNetY400MF,L30_G30,1,30.0,159.0,166.75,75.0,0.0,0.0,0.11,0.020307,0.9935,6.204234,18.114334
octmnist,RegNetY400MF,L30_G30,2,2.0,183.0,195.96,75.0,0.0,0.0,0.05,0.451029,0.8204,0.211442,0.626999
octmnist,RegNetY400MF,L30_G30,2,5.0,164.0,171.43,75.0,0.0,0.0,0.06,0.120229,0.9579,0.548867,1.614554
octmnist,RegNetY400MF,L30_G30,2,10.0,241.0,240.31,75.0,0.0,0.0,0.07,0.049152,0.9832,1.75346,5.22586
octmnist,RegNetY400MF,L30_G30,2,15.0,154.0,149.24,75.0,0.0,0.0,0.08,0.032026,0.9891,1.827783,5.273829
octmnist,RegNetY400MF,L30_G30,2,20.0,129.0,131.02,75.0,0.0,0.0,0.09,0.020356,0.9932,2.0068,5.797329
octmnist,RegNetY400MF,L30_G30,2,25.0,155.0,156.62,75.0,0.0,0.0,0.1,0.019885,0.9931,4.232004,12.391356
octmnist,RegNetY400MF,L30_G30,2,30.0,146.0,147.68,75.0,0.0,0.0,0.11,0.020363,0.9929,5.017308,14.637274
dermmnist,RegNetY400MF,L50_G50,4,2.0,178.0,224.14,112.0,0.0,0.0,0.05,0.450824,0.8442,0.150168,0.428285
dermmnist,RegNetY400MF,L50_G50,4,5.0,135.0,144.88,112.0,0.0,0.0,0.06,0.084401,0.9759,0.078612,0.261958
dermmnist,RegNetY400MF,L50_G50,4,10.0,178.0,184.72,112.0,0.0,0.0,0.07,0.038476,0.9893,0.636738,1.960312
dermmnist,RegNetY400MF,L50_G50,4,15.0,250.0,256.13,112.0,0.0,0.0,0.08,0.017671,0.9941,2.297651,6.283626
dermmnist,RegNetY400MF,L50_G50,4,20.0,196.0,201.39,112.0,0.0,0.0,0.09,0.010682,0.9974,2.178772,5.958868
dermmnist,RegNetY400MF,L50_G50,4,25.0,150.0,149.59,112.0,0.0,0.0,0.1,0.012091,0.9968,0.804851,2.563483
dermmnist,RegNetY400MF,L50_G50,4,30.0,156.0,161.22,112.0,0.0,0.0,0.11,0.010219,0.9974,1.692114,5.084118
dermmnist,RegNetY400MF,L50_G50,3,2.0,307.0,315.23,112.0,0.0,0.0,0.05,0.486292,0.833,0.223994,0.656052
dermmnist,RegNetY400MF,L50_G50,3,5.0,165.0,172.06,112.0,0.0,0.0,0.06,0.088377,0.9745,0.204976,0.593449
dermmnist,RegNetY400MF,L50_G50,3,10.0,197.0,197.03,112.0,0.0,0.0,0.07,0.034022,0.9909,0.781543,2.282529
dermmnist,RegNetY400MF,L50_G50,3,15.0,206.0,212.79,112.0,0.0,0.0,0.08,0.01847,0.9941,1.654313,4.574709
dermmnist,RegNetY400MF,L50_G50,3,20.0,215.0,222.75,112.0,0.0,0.0,0.09,0.017701,0.9945,2.76247,7.340878
dermmnist,RegNetY400MF,L50_G50,3,25.0,169.0,170.58,112.0,0.0,0.0,0.1,0.02371,0.9909,1.689735,4.98763
dermmnist,RegNetY400MF,L50_G50,3,30.0,257.0,256.62,112.0,0.0,0.0,0.11,0.004565,0.9988,6.468711,17.490181
dermmnist,RegNetY400MF,L50_G50,1,2.0,222.0,262.32,112.0,0.0,0.0,0.05,0.469585,0.8372,0.189406,0.553041
dermmnist,RegNetY400MF,L50_G50,1,5.0,205.0,211.95,112.0,0.0,0.0,0.06,0.088198,0.9744,0.394539,1.179206
dermmnist,RegNetY400MF,L50_G50,1,10.0,173.0,177.85,112.0,0.0,0.0,0.07,0.042875,0.9858,0.553536,1.45205
dermmnist,RegNetY400MF,L50_G50,1,15.0,171.0,170.2,112.0,0.0,0.0,0.08,0.014144,0.9964,0.794877,2.651628
dermmnist,RegNetY400MF,L50_G50,1,20.0,196.0,197.54,112.0,0.0,0.0,0.09,0.022878,0.9926,2.015978,5.605983
dermmnist,RegNetY400MF,L50_G50,1,25.0,154.0,155.59,112.0,0.0,0.0,0.1,0.01283,0.9966,1.01972,3.007232
dermmnist,RegNetY400MF,L50_G50,1,30.0,138.0,138.3,112.0,0.0,0.0,0.11,0.009108,0.9975,0.545403,1.665854
dermmnist,RegNetY400MF,L50_G50,2,2.0,172.0,225.1,112.0,0.0,0.0,0.05,0.497525,0.826,0.151345,0.412361
dermmnist,RegNetY400MF,L50_G50,2,5.0,169.0,182.81,112.0,0.0,0.0,0.06,0.097105,0.9704,0.258824,0.722267
dermmnist,RegNetY400MF,L50_G50,2,10.0,196.0,207.6,112.0,0.0,0.0,0.07,0.041434,0.9884,0.898537,2.550938
dermmnist,RegNetY400MF,L50_G50,2,15.0,208.0,210.39,112.0,0.0,0.0,0.08,0.033735,0.99,1.610891,4.470582
dermmnist,RegNetY400MF,L50_G50,2,20.0,132.0,136.21,112.0,0.0,0.0,0.09,0.008632,0.9979,0.260917,1.008315
dermmnist,RegNetY400MF,L50_G50,2,25.0,184.0,183.96,112.0,0.0,0.0,0.1,0.020334,0.9943,2.291033,6.229705
dermmnist,RegNetY400MF,L50_G50,2,30.0,204.0,212.03,112.0,0.0,0.0,0.11,0.016269,0.9946,4.599399,12.371765
tissuemnist,RegNetY400MF,L50_G50,4,2.0,215.0,196.03,86.0,0.0,0.0,0.05,1.097908,0.6085,0.183256,0.366476
tissuemnist,RegNetY400MF,L50_G50,4,5.0,207.0,199.15,86.0,0.0,0.0,0.06,0.49175,0.8333,0.558111,1.114253
tissuemnist,RegNetY400MF,L50_G50,4,10.0,224.0,237.09,86.0,0.0,0.0,0.07,0.088904,0.9742,1.597692,3.192094
tissuemnist,RegNetY400MF,L50_G50,4,15.0,136.0,148.3,86.0,0.0,0.0,0.08,0.057094,0.9832,1.276701,2.499948
tissuemnist,RegNetY400MF,L50_G50,4,20.0,202.0,207.83,86.0,0.0,0.0,0.09,0.044484,0.9864,3.72194,7.345344
tissuemnist,RegNetY400MF,L50_G50,4,25.0,242.0,245.54,86.0,0.0,0.0,0.1,0.044328,0.9859,6.038885,11.940836
tissuemnist,RegNetY400MF,L50_G50,4,30.0,236.0,237.16,86.0,0.0,0.0,0.11,0.032707,0.9884,7.813216,15.429643
tissuemnist,RegNetY400MF,L50_G50,3,2.0,158.0,179.78,86.0,0.0,0.0,0.05,1.160072,0.5814,0.161876,0.323546
tissuemnist,RegNetY400MF,L50_G50,3,5.0,188.0,206.09,86.0,0.0,0.0,0.06,0.64644,0.7751,0.581488,1.162104
tissuemnist,RegNetY400MF,L50_G50,3,10.0,214.0,220.94,86.0,0.0,0.0,0.07,0.109356,0.9692,1.459435,2.965127
tissuemnist,RegNetY400MF,L50_G50,3,15.0,180.0,180.3,86.0,0.0,0.0,0.08,0.066038,0.9802,1.961124,3.974271
tissuemnist,RegNetY400MF,L50_G50,3,20.0,104.0,113.23,86.0,0.0,0.0,0.09,0.056704,0.9823,0.509781,1.144713
tissuemnist,RegNetY400MF,L50_G50,3,25.0,152.0,156.75,86.0,0.0,0.0,0.1,0.04109,0.9867,3.090691,6.231393
tissuemnist,RegNetY400MF,L50_G50,3,30.0,137.0,141.85,86.0,0.0,0.0,0.11,0.038951,0.987,3.02473,6.114656
tissuemnist,RegNetY400MF,L50_G50,1,2.0,145.0,173.72,86.0,0.0,0.0,0.05,1.12025,0.5881,0.152725,0.305137
tissuemnist,RegNetY400MF,L50_G50,1,5.0,243.0,230.46,86.0,0.0,0.0,0.06,0.513274,0.8257,0.648173,1.295399
tissuemnist,RegNetY400MF,L50_G50,1,10.0,235.0,228.21,86.0,0.0,0.0,0.07,0.09544,0.9722,1.549276,3.088718
tissuemnist,RegNetY400MF,L50_G50,1,15.0,226.0,223.21,86.0,0.0,0.0,0.08,0.065452,0.9797,2.643193,5.276425
tissuemnist,RegNetY400MF,L50_G50,1,20.0,302.0,307.72,86.0,0.0,0.0,0.09,0.037883,0.9884,4.843597,9.684986
tissuemnist,RegNetY400MF,L50_G50,1,25.0,147.0,160.0,86.0,0.0,0.0,0.1,0.040215,0.9865,3.325754,6.653834
tissuemnist,RegNetY400MF,L50_G50,1,30.0,206.0,208.41,86.0,0.0,0.0,0.11,0.036044,0.9875,6.9268,13.851694
tissuemnist,RegNetY400MF,L50_G50,2,2.0,209.0,199.18,86.0,0.0,0.0,0.05,1.173995,0.5672,0.186907,0.373829
tissuemnist,RegNetY400MF,L50_G50,2,5.0,153.0,174.86,86.0,0.0,0.0,0.06,0.563395,0.8027,0.457188,0.902889
tissuemnist,RegNetY400MF,L50_G50,2,10.0,182.0,187.13,86.0,0.0,0.0,0.07,0.097092,0.9703,1.230986,2.431216
tissuemnist,RegNetY400MF,L50_G50,2,15.0,146.0,141.88,86.0,0.0,0.0,0.08,0.048208,0.9866,1.10369,2.210357
tissuemnist,RegNetY400MF,L50_G50,2,20.0,213.0,217.39,86.0,0.0,0.0,0.09,0.0385,0.9872,3.903056,7.757834
tissuemnist,RegNetY400MF,L50_G50,2,25.0,253.0,264.36,86.0,0.0,0.0,0.1,0.057924,0.9805,6.322967,12.64646
tissuemnist,RegNetY400MF,L50_G50,2,30.0,249.0,248.09,86.0,0.0,0.0,0.11,0.042677,0.9864,8.0698,16.117798
octmnist,RegNetY400MF,L50_G50,4,2.0,188.0,198.73,125.0,0.0,0.0,0.05,0.455922,0.823,0.083076,0.249869
octmnist,RegNetY400MF,L50_G50,4,5.0,280.0,276.26,125.0,0.0,0.0,0.06,0.133572,0.9527,0.524058,1.548997
octmnist,RegNetY400MF,L50_G50,4,8.0,76.0,85.36,125.0,1.0,1.0,0.06,0.0547,0.9812,0.0,0.0
octmnist,RegNetY400MF,L50_G50,4,10.0,151.0,150.2,125.0,0.0,0.0,0.06,0.050526,0.9812,0.070126,0.21347
octmnist,RegNetY400MF,L50_G50,4,15.0,109.0,115.02,125.0,1.0,1.0,0.06,0.024371,0.9924,0.0,0.009436
octmnist,RegNetY400MF,L50_G50,4,20.0,170.0,167.25,125.0,0.0,0.0,0.06,0.020145,0.9928,0.172382,0.517094
octmnist,RegNetY400MF,L50_G50,4,22.0,116.0,116.02,125.0,1.0,1.0,0.06,0.021459,0.992,0.0,0.0
octmnist,RegNetY400MF,L50_G50,4,25.0,125.0,127.18,125.0,1.0,0.0,0.06,0.022198,0.9916,0.001528,0.004742
octmnist,RegNetY400MF,L50_G50,4,30.0,141.0,139.56,125.0,0.0,0.0,0.06,0.017271,0.9937,0.026934,0.102594
octmnist,RegNetY400MF,L50_G50,3,2.0,216.0,216.11,125.0,0.0,0.0,0.05,0.478893,0.8063,0.10782,0.323465
octmnist,RegNetY400MF,L50_G50,3,4.0,109.0,125.12,125.0,1.0,1.0,0.05,0.232574,0.9146,5.2e-05,0.00243
octmnist,RegNetY400MF,L50_G50,3,5.0,150.0,152.68,125.0,0.0,0.0,0.05,0.151154,0.9472,0.038959,0.118749
octmnist,RegNetY400MF,L50_G50,3,10.0,142.0,146.23,125.0,0.0,0.0,0.05,0.047303,0.984,0.025333,0.080063
octmnist,RegNetY400MF,L50_G50,3,15.0,179.0,179.3,125.0,0.0,0.0,0.05,0.028432,0.9904,0.115379,0.346309
octmnist,RegNetY400MF,L50_G50,3,20.0,129.0,134.23,125.0,0.0,0.0,0.05,0.030367,0.9898,0.007098,0.023786
octmnist,RegNetY400MF,L50_G50,3,25.0,210.0,207.79,125.0,0.0,0.0,0.05,0.025941,0.9904,0.211722,0.627508
octmnist,RegNetY400MF,L50_G50,3,30.0,148.0,152.56,125.0,0.0,0.0,0.05,0.018497,0.9939,0.038673,0.125738
octmnist,RegNetY400MF,L50_G50,1,2.0,142.0,150.92,125.0,0.0,0.0,0.05,0.453289,0.8193,0.018893,0.057966
octmnist,RegNetY400MF,L50_G50,1,5.0,213.0,220.99,125.0,0.0,0.0,0.06,0.128568,0.955,0.332346,0.9894
octmnist,RegNetY400MF,L50_G50,1,10.0,187.0,181.92,125.0,0.0,0.0,0.07,0.055925,0.9816,0.374395,1.143204
octmnist,RegNetY400MF,L50_G50,1,15.0,134.0,133.08,125.0,0.0,0.0,0.08,0.032898,0.9898,0.019655,0.065799
octmnist,RegNetY400MF,L50_G50,1,16.0,110.0,115.74,125.0,1.0,1.0,0.08,0.025231,0.991,0.0,0.0
octmnist,RegNetY400MF,L50_G50,1,20.0,212.0,209.46,125.0,0.0,0.0,0.08,0.033545,0.9892,1.275014,3.838616
octmnist,RegNetY400MF,L50_G50,1,25.0,200.0,202.25,125.0,0.0,0.0,0.08,0.021359,0.9928,1.126127,3.369013
octmnist,RegNetY400MF,L50_G50,1,30.0,255.0,251.94,125.0,0.0,0.0,0.08,0.011734,0.9958,2.053434,6.161264
octmnist,RegNetY400MF,L50_G50,2,2.0,183.0,195.96,125.0,0.0,0.0,0.05,0.451029,0.8204,0.079037,0.237857
octmnist,RegNetY400MF,L50_G50,2,5.0,238.0,234.97,125.0,0.0,0.0,0.06,0.126545,0.9558,0.388481,1.16612
octmnist,RegNetY400MF,L50_G50,2,7.0,108.0,112.49,125.0,1.0,1.0,0.06,0.07082,0.9761,0.0,0.0
octmnist,RegNetY400MF,L50_G50,2,10.0,167.0,160.4,125.0,0.0,0.0,0.06,0.043829,0.9849,0.108482,0.332964
octmnist,RegNetY400MF,L50_G50,2,15.0,136.0,140.71,125.0,0.0,0.0,0.06,0.034085,0.9881,0.026635,0.085862
octmnist,RegNetY400MF,L50_G50,2,20.0,148.0,147.48,125.0,0.0,0.0,0.06,0.018205,0.9941,0.049339,0.162831
octmnist,RegNetY400MF,L50_G50,2,22.0,107.0,106.1,125.0,1.0,1.0,0.06,0.030334,0.9897,0.0,0.0
octmnist,RegNetY400MF,L50_G50,2,25.0,147.0,152.51,125.0,0.0,0.0,0.06,0.02108,0.9932,0.070097,0.217326
octmnist,RegNetY400MF,L50_G50,2,30.0,110.0,107.48,125.0,1.0,1.0,0.06,0.023276,0.9928,0.0,0.0
dermmnist,MobileNetV3,L30_G30,4,2.0,174.0,211.61,67.0,0.0,0.0,0.05,0.480407,0.8191,0.239986,0.722311
dermmnist,MobileNetV3,L30_G30,4,5.0,112.0,129.06,67.0,0.0,0.0,0.06,0.103116,0.9647,0.41039,1.258934
dermmnist,MobileNetV3,L30_G30,4,10.0,72.0,80.72,67.0,0.0,0.0,0.07,0.024114,0.9926,0.094095,0.633557
dermmnist,MobileNetV3,L30_G30,4,15.0,144.0,147.39,67.0,0.0,0.0,0.08,0.021064,0.9923,2.175612,5.973331
dermmnist,MobileNetV3,L30_G30,4,20.0,88.0,89.11,67.0,0.0,0.0,0.09,0.011731,0.9971,0.561666,2.268375
dermmnist,MobileNetV3,L30_G30,4,25.0,139.0,138.74,67.0,0.0,0.0,0.1,0.011907,0.9958,4.169343,11.817805
dermmnist,MobileNetV3,L30_G30,4,30.0,109.0,109.99,67.0,0.0,0.0,0.11,0.009167,0.9971,3.031874,8.297937
dermmnist,MobileNetV3,L30_G30,3,2.0,268.0,285.26,67.0,0.0,0.0,0.05,0.468678,0.8274,0.266727,0.78966
dermmnist,MobileNetV3,L30_G30,3,5.0,160.0,160.02,67.0,0.0,0.0,0.06,0.110971,0.9667,0.579256,1.704132
dermmnist,MobileNetV3,L30_G30,3,10.0,92.0,90.92,67.0,0.0,0.0,0.07,0.023199,0.993,0.250174,0.676852
dermmnist,MobileNetV3,L30_G30,3,13.0,49.0,52.11,67.0,1.0,1.0,0.07,0.011145,0.9969,0.0,0.0
dermmnist,MobileNetV3,L30_G30,3,15.0,123.0,125.83,67.0,0.0,0.0,0.07,0.014679,0.995,1.32,3.985717
dermmnist,MobileNetV3,L30_G30,3,20.0,97.0,99.9,67.0,0.0,0.0,0.07,0.011109,0.9973,0.59784,1.842378
dermmnist,MobileNetV3,L30_G30,3,25.0,119.0,121.29,67.0,0.0,0.0,0.07,0.008001,0.9974,1.203136,3.15061
dermmnist,MobileNetV3,L30_G30,3,30.0,101.0,102.15,67.0,0.0,0.0,0.07,0.013064,0.9956,0.662539,1.779895
dermmnist,MobileNetV3,L30_G30,1,2.0,146.0,185.62,67.0,0.0,0.0,0.05,0.481815,0.8255,0.221485,0.666941
dermmnist,MobileNetV3,L30_G30,1,5.0,68.0,73.79,67.0,0.0,0.0,0.06,0.095408,0.9682,0.013583,0.066056
dermmnist,MobileNetV3,L30_G30,1,10.0,126.0,127.01,67.0,0.0,0.0,0.07,0.016607,0.9949,0.947999,2.477988
dermmnist,MobileNetV3,L30_G30,1,15.0,124.0,123.96,67.0,0.0,0.0,0.08,0.018261,0.9938,1.55222,4.205431
dermmnist,MobileNetV3,L30_G30,1,20.0,142.0,145.16,67.0,0.0,0.0,0.09,0.018322,0.9943,3.217245,9.374722
dermmnist,MobileNetV3,L30_G30,1,25.0,87.0,86.22,67.0,0.0,0.0,0.1,0.006179,0.9985,0.608111,1.80275
dermmnist,MobileNetV3,L30_G30,1,30.0,95.0,92.43,67.0,0.0,0.0,0.11,0.010808,0.996,1.319855,3.619166
dermmnist,MobileNetV3,L30_G30,2,2.0,140.0,194.07,67.0,0.0,0.0,0.05,0.465939,0.826,0.228351,0.66424
dermmnist,MobileNetV3,L30_G30,2,5.0,124.0,132.57,67.0,0.0,0.0,0.06,0.09424,0.9679,0.433935,1.136465
dermmnist,MobileNetV3,L30_G30,2,6.0,63.0,66.52,67.0,1.0,1.0,0.06,0.064351,0.9802,0.0,0.00512
dermmnist,MobileNetV3,L30_G30,2,10.0,123.0,121.68,67.0,0.0,0.0,0.06,0.032157,0.99,0.445789,1.208466
dermmnist,MobileNetV3,L30_G30,2,15.0,93.0,95.6,67.0,0.0,0.0,0.06,0.020492,0.9931,0.179184,0.489527
dermmnist,MobileNetV3,L30_G30,2,20.0,150.0,153.61,67.0,0.0,0.0,0.06,0.012632,0.9954,0.689612,2.055672
dermmnist,MobileNetV3,L30_G30,2,25.0,88.0,89.1,67.0,0.0,0.0,0.06,0.030853,0.9905,0.117437,0.371764
dermmnist,MobileNetV3,L30_G30,2,30.0,92.0,100.96,67.0,0.0,0.0,0.06,0.007822,0.9968,0.234104,0.770238
tissuemnist,MobileNetV3,L30_G30,4,2.0,25.0,159.77,51.0,1.0,1.0,0.05,1.088043,0.5954,0.238987,0.477969
tissuemnist,MobileNetV3,L30_G30,4,4.0,32.0,78.96,51.0,1.0,1.0,0.05,0.767899,0.7164,0.075481,0.151015
tissuemnist,MobileNetV3,L30_G30,4,5.0,42.0,76.18,51.0,1.0,1.0,0.05,0.576928,0.7879,0.065511,0.130728
tissuemnist,MobileNetV3,L30_G30,4,10.0,79.0,86.78,51.0,0.0,0.0,0.05,0.122287,0.96,0.103093,0.200376
tissuemnist,MobileNetV3,L30_G30,4,15.0,74.0,74.62,51.0,0.0,0.0,0.05,0.050574,0.9847,0.059995,0.121203
tissuemnist,MobileNetV3,L30_G30,4,20.0,202.0,208.6,51.0,0.0,0.0,0.05,0.039506,0.9865,0.264078,0.527117
tissuemnist,MobileNetV3,L30_G30,4,25.0,96.0,100.73,51.0,0.0,0.0,0.05,0.034957,0.9876,0.146543,0.29314
tissuemnist,MobileNetV3,L30_G30,4,30.0,141.0,146.23,51.0,0.0,0.0,0.05,0.014856,0.9953,0.226839,0.45369
tissuemnist,MobileNetV3,L30_G30,3,2.0,76.0,168.82,51.0,0.0,0.0,0.05,1.07426,0.5982,0.245445,0.490895
tissuemnist,MobileNetV3,L30_G30,3,5.0,70.0,104.87,51.0,0.0,0.0,0.06,0.559717,0.7968,0.449991,0.897561
tissuemnist,MobileNetV3,L30_G30,3,9.0,30.0,34.27,51.0,1.0,1.0,0.06,0.138704,0.9543,0.0,0.0
tissuemnist,MobileNetV3,L30_G30,3,10.0,203.0,194.27,51.0,0.0,0.0,0.06,0.10892,0.9634,1.582682,3.165632
tissuemnist,MobileNetV3,L30_G30,3,15.0,130.0,136.72,51.0,0.0,0.0,0.06,0.049183,0.9835,1.317848,2.585663
tissuemnist,MobileNetV3,L30_G30,3,17.0,36.0,42.35,51.0,1.0,1.0,0.06,0.048415,0.985,0.0,0.0
tissuemnist,MobileNetV3,L30_G30,3,20.0,124.0,131.07,51.0,0.0,0.0,0.06,0.039119,0.9885,1.269769,2.525612
tissuemnist,MobileNetV3,L30_G30,3,25.0,200.0,204.39,51.0,0.0,0.0,0.06,0.033274,0.9897,1.605872,3.200021
tissuemnist,MobileNetV3,L30_G30,3,30.0,121.0,123.71,51.0,0.0,0.0,0.06,0.02691,0.9914,1.197136,2.390407
tissuemnist,MobileNetV3,L30_G30,1,2.0,35.0,196.14,51.0,1.0,1.0,0.05,1.102201,0.5869,0.259524,0.519057
tissuemnist,MobileNetV3,L30_G30,1,5.0,54.0,101.42,51.0,0.0,0.0,0.05,0.592546,0.7836,0.14842,0.296809
tissuemnist,MobileNetV3,L30_G30,1,10.0,196.0,201.14,51.0,0.0,0.0,0.05,0.135622,0.9564,0.26146,0.522575
tissuemnist,MobileNetV3,L30_G30,1,15.0,221.0,218.93,51.0,0.0,0.0,0.05,0.05146,0.9847,0.267241,0.534482
tissuemnist,MobileNetV3,L30_G30,1,20.0,183.0,187.25,51.0,0.0,0.0,0.05,0.030216,0.9905,0.255658,0.510131
tissuemnist,MobileNetV3,L30_G30,1,25.0,247.0,250.63,51.0,0.0,0.0,0.05,0.038748,0.9879,0.274509,0.548988
tissuemnist,MobileNetV3,L30_G30,1,30.0,209.0,213.86,51.0,0.0,0.0,0.05,0.027931,0.9905,0.26575,0.530119
tissuemnist,MobileNetV3,L30_G30,2,2.0,254.0,329.39,51.0,0.0,0.0,0.05,1.096688,0.588,0.284141,0.568279
tissuemnist,MobileNetV3,L30_G30,2,5.0,84.0,123.69,51.0,0.0,0.0,0.06,0.577025,0.7882,0.589346,1.178774
tissuemnist,MobileNetV3,L30_G30,2,10.0,150.0,157.68,51.0,0.0,0.0,0.07,0.104611,0.9677,1.721177,3.435892
tissuemnist,MobileNetV3,L30_G30,2,15.0,151.0,154.47,51.0,0.0,0.0,0.08,0.04875,0.9849,2.960571,5.892535
tissuemnist,MobileNetV3,L30_G30,2,20.0,119.0,126.15,51.0,0.0,0.0,0.09,0.021427,0.9925,3.817742,7.604393
tissuemnist,MobileNetV3,L30_G30,2,25.0,131.0,132.85,51.0,0.0,0.0,0.1,0.022613,0.9924,5.615342,11.175485
tissuemnist,MobileNetV3,L30_G30,2,30.0,107.0,105.8,51.0,0.0,0.0,0.11,0.032971,0.9893,5.548628,10.69137
octmnist,MobileNetV3,L30_G30,4,2.0,131.0,148.23,75.0,0.0,0.0,0.05,0.407532,0.8363,0.146719,0.426809
octmnist,MobileNetV3,L30_G30,4,5.0,108.0,119.16,75.0,0.0,0.0,0.06,0.129266,0.9493,0.234534,0.673172
octmnist,MobileNetV3,L30_G30,4,10.0,77.0,78.02,75.0,0.0,0.0,0.07,0.043772,0.9847,0.0059,0.05283
octmnist,MobileNetV3,L30_G30,4,15.0,237.0,233.37,75.0,0.0,0.0,0.08,0.02759,0.9902,3.005616,8.871947
octmnist,MobileNetV3,L30_G30,4,20.0,168.0,173.31,75.0,0.0,0.0,0.09,0.025821,0.9915,3.526014,10.31889
octmnist,MobileNetV3,L30_G30,4,25.0,203.0,201.39,75.0,0.0,0.0,0.1,0.018036,0.994,5.764781,16.895752
octmnist,MobileNetV3,L30_G30,4,30.0,131.0,131.86,75.0,0.0,0.0,0.11,0.022861,0.9928,3.787772,10.701673
octmnist,MobileNetV3,L30_G30,3,2.0,236.0,209.42,75.0,0.0,0.0,0.05,0.402271,0.8393,0.222746,0.65841
octmnist,MobileNetV3,L30_G30,3,5.0,149.0,155.12,75.0,0.0,0.0,0.06,0.133849,0.9488,0.471465,1.382511
octmnist,MobileNetV3,L30_G30,3,10.0,194.0,193.86,75.0,0.0,0.0,0.07,0.046465,0.9842,1.513573,4.456695
octmnist,MobileNetV3,L30_G30,3,15.0,133.0,136.72,75.0,0.0,0.0,0.08,0.019135,0.993,1.494588,4.243593
octmnist,MobileNetV3,L30_G30,3,20.0,170.0,168.26,75.0,0.0,0.0,0.09,0.016063,0.9948,3.388225,9.778262
octmnist,MobileNetV3,L30_G30,3,25.0,150.0,155.41,75.0,0.0,0.0,0.1,0.012348,0.995,4.174198,12.023999
octmnist,MobileNetV3,L30_G30,3,30.0,135.0,137.95,75.0,0.0,0.0,0.11,0.016168,0.9945,4.286192,12.192801
octmnist,MobileNetV3,L30_G30,1,2.0,243.0,208.91,75.0,0.0,0.0,0.05,0.410681,0.8354,0.222351,0.658008
octmnist,MobileNetV3,L30_G30,1,3.0,42.0,80.74,75.0,1.0,1.0,0.05,0.322862,0.8737,0.006206,0.020062
octmnist,MobileNetV3,L30_G30,1,5.0,169.0,177.33,75.0,0.0,0.0,0.05,0.144145,0.9462,0.309973,0.911273
octmnist,MobileNetV3,L30_G30,1,10.0,205.0,204.23,75.0,0.0,0.0,0.05,0.03969,0.9866,0.35482,1.051725
octmnist,MobileNetV3,L30_G30,1,15.0,155.0,154.44,75.0,0.0,0.0,0.05,0.033236,0.988,0.254287,0.74559
octmnist,MobileNetV3,L30_G30,1,20.0,142.0,142.47,75.0,0.0,0.0,0.05,0.018211,0.9938,0.217109,0.629388
octmnist,MobileNetV3,L30_G30,1,25.0,161.0,159.82,75.0,0.0,0.0,0.05,0.019099,0.9944,0.269104,0.790807
octmnist,MobileNetV3,L30_G30,1,30.0,125.0,131.46,75.0,0.0,0.0,0.05,0.019466,0.9937,0.178004,0.51576
octmnist,MobileNetV3,L30_G30,2,2.0,105.0,151.14,75.0,0.0,0.0,0.05,0.414535,0.8377,0.152073,0.443627
octmnist,MobileNetV3,L30_G30,2,3.0,55.0,89.43,75.0,1.0,1.0,0.05,0.32567,0.8712,0.023752,0.065208
octmnist,MobileNetV3,L30_G30,2,5.0,154.0,149.09,75.0,0.0,0.0,0.05,0.12813,0.9508,0.238375,0.688924
octmnist,MobileNetV3,L30_G30,2,10.0,118.0,113.62,75.0,0.0,0.0,0.05,0.042909,0.9848,0.107872,0.305435
octmnist,MobileNetV3,L30_G30,2,15.0,199.0,197.9,75.0,0.0,0.0,0.05,0.025446,0.9912,0.345865,1.010941
octmnist,MobileNetV3,L30_G30,2,20.0,147.0,145.88,75.0,0.0,0.0,0.05,0.022864,0.9918,0.228292,0.65461
octmnist,MobileNetV3,L30_G30,2,25.0,228.0,224.47,75.0,0.0,0.0,0.05,0.017565,0.9939,0.378416,1.109428
octmnist,MobileNetV3,L30_G30,2,30.0,213.0,211.64,75.0,0.0,0.0,0.05,0.011245,0.9957,0.364284,1.064831
