dataset,model,cap,seed,method,arm,warmup,cepochs,lr,lr_c,ce_skip,n_pool,n_true,K,count_raw,count_raw_myargmax,argmax_mismatch,count_adj,sat,ccF1eq,ccF1raw,AP,macroEq,path
octmnist,MobileNetV3,L30_G30,3,heuristic,heuristic,30,0,0.0001,5e-06,,1000,250,75,188,188,0,75,0,0.4307692307692308,0.7123287671232877,0.8261503261034737,0.7142209714082988,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/heuristic/seed_3
octmnist,MobileNetV3,L30_G30,4,heuristic,heuristic,30,0,0.0001,5e-06,,1000,250,75,149,149,0,75,0,0.4061538461538461,0.5614035087719298,0.7263109716916754,0.7010586682796408,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/heuristic/seed_4
octmnist,MobileNetV3,L30_G30,1,hounie_rcl,hounie_rcl,1,29,0.0001,5e-06,,1000,250,75,162,162,0,75,0,0.443076923076923,0.645631067961165,0.7745731799926895,0.7295766551051766,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1
octmnist,MobileNetV3,L30_G30,2,hounie_rcl,hounie_rcl,1,29,0.0001,5e-06,,1000,250,75,153,153,0,75,0,0.443076923076923,0.630272952853598,0.8098341014199268,0.7296898427709966,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2
octmnist,MobileNetV3,L30_G30,3,hounie_rcl,hounie_rcl,1,29,0.0001,5e-06,,1000,250,75,128,128,0,70,0,0.30769230769230765,0.3492063492063492,0.557241638618116,0.5233591821597313,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3
octmnist,MobileNetV3,L30_G30,4,hounie_rcl,hounie_rcl,1,29,0.0001,5e-06,,1000,250,75,144,144,0,74,0,0.23999999999999996,0.2944162436548224,0.43397799894505246,0.4984802508286898,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4
octmnist,MobileNetV3,L30_G30,1,tralo,tralo,1,29,0.0001,5e-06,True,1000,250,75,164,164,0,75,0,0.443076923076923,0.6570048309178744,0.7927793547238582,0.7298862529764566,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1
octmnist,MobileNetV3,L30_G30,2,tralo,tralo,1,29,0.0001,5e-06,True,1000,250,75,150,150,0,75,0,0.443076923076923,0.625,0.8082072975673396,0.7296085563751622,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2
octmnist,MobileNetV3,L30_G30,3,tralo,tralo,1,29,0.0001,5e-06,True,1000,250,75,128,128,0,70,0,0.30769230769230765,0.3492063492063492,0.557241638618116,0.5233591821597313,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3
octmnist,MobileNetV3,L30_G30,4,tralo,tralo,1,29,0.0001,5e-06,True,1000,250,75,144,144,0,74,0,0.23999999999999996,0.2944162436548224,0.43397799894505246,0.4984802508286898,results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4
tissuemnist,MobileNetV3,L30_G30,1,danits_lp,danits_lp,30,0,0.0001,5e-06,,2400,171,51,288,288,0,51,0,0.27027027027027023,0.4226579520697168,0.3972585537749573,0.4128772535422989,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/danits_lp/seed_1
tissuemnist,MobileNetV3,L30_G30,2,danits_lp,danits_lp,30,0,0.0001,5e-06,,2400,171,51,262,262,0,51,0,0.3063063063063063,0.4064665127020785,0.389146903339143,0.40808576856403944,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/danits_lp/seed_2
tissuemnist,MobileNetV3,L30_G30,3,danits_lp,danits_lp,30,0,0.0001,5e-06,,2400,171,51,218,218,0,51,0,0.25225225225225223,0.46272493573264784,0.4085596073067381,0.4226571721581698,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/danits_lp/seed_3
tissuemnist,MobileNetV3,L30_G30,4,danits_lp,danits_lp,30,0,0.0001,5e-06,,2400,171,51,157,157,0,51,0,0.25225225225225223,0.4146341463414634,0.38734268821210893,0.3618138665338586,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/danits_lp/seed_4
tissuemnist,MobileNetV3,L30_G30,1,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,2400,171,51,47,47,0,51,0,0.2072072072072072,0.2201834862385321,0.31891202539611785,0.3562906505323403,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1
tissuemnist,MobileNetV3,L30_G30,2,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,2400,171,51,137,137,0,51,0,0.25225225225225223,0.33766233766233766,0.38660936529103745,0.37602819848486285,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2
tissuemnist,MobileNetV3,L30_G30,3,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,2400,171,51,70,70,0,51,0,0.2252252252252252,0.28215767634854777,0.35572333485110574,0.2990656402292571,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3
tissuemnist,MobileNetV3,L30_G30,4,fioretto_ldf,fioretto_ldf,1,29,0.0001,5e-06,,2400,171,51,72,72,0,51,0,0.23423423423423423,0.2716049382716049,0.3482216997032419,0.30472939810774685,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4
tissuemnist,MobileNetV3,L30_G30,1,heuristic,heuristic,30,0,0.0001,5e-06,,2400,171,51,288,288,0,51,0,0.27027027027027023,0.4226579520697168,0.3972585537749573,0.4128772535422989,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/heuristic/seed_1
tissuemnist,MobileNetV3,L30_G30,2,heuristic,heuristic,30,0,0.0001,5e-06,,2400,171,51,262,262,0,51,0,0.3063063063063063,0.4064665127020785,0.389146903339143,0.40808576856403944,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/heuristic/seed_2
tissuemnist,MobileNetV3,L30_G30,3,heuristic,heuristic,30,0,0.0001,5e-06,,2400,171,51,218,218,0,51,0,0.25225225225225223,0.46272493573264784,0.4085596073067381,0.4226571721581698,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/heuristic/seed_3
tissuemnist,MobileNetV3,L30_G30,4,heuristic,heuristic,30,0,0.0001,5e-06,,2400,171,51,157,157,0,51,0,0.25225225225225223,0.4146341463414634,0.38734268821210893,0.3618138665338586,results/headroom/headroom_b30/lane0/MobileNetV3/tissuemnist/L30_G30/heuristic/seed_4
