dataset,model,cap,method,seed,K,pool,n_true,count_raw,fill,final_excess_recomputed,final_feasible,count_adj,log_rows,log_epoch_max,log_exc_last,log_exc_min,ever_feasible_intrain,first_feas_ep,n_feas_ep
tissuemnist,MobileNetV3,L50_G50,tralo,2,86,2400,171,58,0.6744186046511628,0,1,86,8,30.0,,,,,
tissuemnist,MobileNetV3,L50_G50,tralo,3,86,2400,171,63,0.7325581395348837,0,1,86,4,5.0,,,,,
tissuemnist,MobileNetV3,L50_G50,tralo,4,86,2400,171,68,0.7906976744186046,0,1,86,9,30.0,,,,,
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,67,2003,223,21,0.31343283582089554,0,1,67,21,20.0,0.0,0.0,1.0,16.0,5.0
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,67,2003,223,51,0.7611940298507462,0,1,67,19,18.0,0.0,0.0,1.0,14.0,5.0
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,67,2003,223,51,0.7611940298507462,0,1,67,20,19.0,0.0,0.0,1.0,15.0,5.0
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,67,2003,223,52,0.7761194029850746,2,0,67,29,28.0,2.0,2.0,0.0,,0.0
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,1,67,2003,223,16,0.23880597014925373,0,1,67,29,28.0,0.0,0.0,1.0,26.0,3.0
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,2,67,2003,223,5,0.07462686567164178,0,1,67,25,24.0,0.0,0.0,1.0,20.0,5.0
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,3,67,2003,223,8,0.11940298507462686,0,1,67,21,20.0,0.0,0.0,1.0,16.0,5.0
dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,67,2003,223,9,0.13432835820895522,0,1,67,26,25.0,0.0,0.0,1.0,21.0,5.0
dermmnist,RegNetY400MF,L30_G30,tralo,1,67,2003,223,124,1.8507462686567164,114,0,67,7,30.0,,,,,
dermmnist,RegNetY400MF,L30_G30,tralo,2,67,2003,223,152,2.2686567164179103,170,0,67,7,30.0,,,,,
dermmnist,RegNetY400MF,L30_G30,tralo,3,67,2003,223,96,1.4328358208955223,58,0,67,7,30.0,,,,,
dermmnist,RegNetY400MF,L30_G30,tralo,4,67,2003,223,90,1.3432835820895523,46,0,67,7,30.0,,,,,
