campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,1,danits_lp,,,1,300,0.0001,5e-06,,51,153,51,0,0.21801241785852032,0.15315315315315314,0.13513513513513514,0.18874486074328672,0.18373273886332075,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/danits_lp/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,2,danits_lp,,,1,300,0.0001,5e-06,,51,457,51,0,0.3290613922150012,0.26126126126126126,0.21621621621621623,0.28478114966925494,0.2755938469045507,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/danits_lp/seed_2
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,1,fioretto_ldf,,,1,300,0.0001,5e-06,,51,45,51,0,0.30050331628662186,0.23423423423423423,0.23423423423423423,0.3829232129387843,0.3829166006934543,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/fioretto_ldf/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,2,fioretto_ldf,,,1,300,0.0001,5e-06,,51,39,51,0,0.28446048950735264,0.24324324324324326,0.24324324324324326,0.4001038162635142,0.4001038162635142,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/fioretto_ldf/seed_2
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,1,tralo_bounded,,,1,300,0.0001,5e-06,True,51,48,51,0,0.30305046456630413,0.22522522522522523,0.23423423423423423,0.3849380988336925,0.3857489568809251,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/tralo_bounded/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,2,tralo_bounded,,,1,300,0.0001,5e-06,True,51,34,51,0,0.28814129414196954,0.24324324324324326,0.24324324324324326,0.39116622375249877,0.39116622375249877,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/tralo_bounded/seed_2
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,1,heuristic,,,1,300,0.0001,5e-06,,51,153,51,0,0.21801241785852032,0.13513513513513514,0.13513513513513514,0.18373273886332075,0.18373273886332075,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/heuristic/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L30_G30,MobileNetV3,2,heuristic,,,1,300,0.0001,5e-06,,51,457,51,0,0.3290613922150012,0.21621621621621623,0.21621621621621623,0.2755938469045507,0.2755938469045507,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L30_G30/w1/heuristic/seed_2
results/pending_runs/warmup1_probe,tissuemnist,L50_G50,MobileNetV3,1,hounie_rcl,,,1,300,0.0001,5e-06,,86,70,86,0,0.3109890158707671,0.3346303501945525,0.3346303501945525,0.39646252932278725,0.39646252932278725,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L50_G50/w1/hounie_rcl/seed_1
results/pending_runs/warmup1_probe,tissuemnist,L50_G50,MobileNetV3,2,hounie_rcl,,,1,300,0.0001,5e-06,,86,61,86,0,0.3159084790897624,0.35019455252918286,0.35019455252918286,0.41737941196955575,0.41737941196955575,results/pending_runs/warmup1_probe/MobileNetV3/tissuemnist/L50_G50/w1/hounie_rcl/seed_2
