campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,4,danits_lp,,danits_lp,30,0,0.0001,5e-06,,86,157,86,0,0.38274006452985887,0.3035019455252918,0.311284046692607,0.36729477902583463,0.3683546409143605,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/danits_lp/seed_4
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,3,danits_lp,,danits_lp,30,0,0.0001,5e-06,,86,218,86,0,0.411828463207173,0.3657587548638132,0.3657587548638132,0.4391614076110588,0.4391614076110588,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/danits_lp/seed_3
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,1,danits_lp,,danits_lp,30,0,0.0001,5e-06,,86,288,86,0,0.39853999493550796,0.35019455252918286,0.35019455252918286,0.4241039745962593,0.42422868333714003,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/danits_lp/seed_1
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,2,danits_lp,,danits_lp,30,0,0.0001,5e-06,,86,262,86,0,0.38482688231431644,0.35797665369649806,0.35019455252918286,0.415200488117365,0.41322398914316827,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/danits_lp/seed_2
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,4,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-06,,86,74,86,0,0.36295045079549143,0.32684824902723736,0.3346303501945525,0.314567158585433,0.31957032679786634,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,3,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-06,,86,70,86,0,0.3557233348511057,0.3035019455252918,0.3035019455252918,0.30847792443436584,0.308413780978731,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,1,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-06,,86,72,86,0,0.31524172067446754,0.29571984435797666,0.28793774319066145,0.38365100478488623,0.38041955887019535,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,2,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-06,,86,137,86,0,0.3866093652910375,0.31906614785992216,0.35019455252918286,0.3818501369522326,0.38756704944644405,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,4,heuristic,,heuristic,30,0,0.0001,5e-06,,86,157,86,0,0.38274006452985887,0.311284046692607,0.311284046692607,0.3683546409143605,0.3683546409143605,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/heuristic/seed_4
results/headroom/headroom_b30,tissuemnist,L50_G50,MobileNetV3,3,heuristic,,heuristic,30,0,0.0001,5e-06,,86,218,86,0,0.411828463207173,0.3657587548638132,0.3657587548638132,0.4391614076110588,0.4391614076110588,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/heuristic/seed_3
