dataset,model,cap,seed,fioretto_ldf,hounie_rcl,tralo,clip,bestdual,tralo_m_clip,bestdual_m_clip,tralo_m_bestdual,fio_m_clip,hou_m_clip,metric
tissuemnist,MobileNetV3,L30_G30,1,0.2882882882882883,0.2882882882882883,0.2882882882882883,0.2702702702702703,0.2882882882882883,0.018018018018018,0.018018018018018,0.0,0.018018018018018,0.018018018018018,ccF1eq
tissuemnist,MobileNetV3,L30_G30,2,0.23423423423423423,0.25225225225225223,0.32432432432432434,0.3063063063063063,0.25225225225225223,0.018018018018018056,-0.05405405405405406,0.07207207207207211,-0.07207207207207206,-0.05405405405405406,ccF1eq
tissuemnist,MobileNetV3,L30_G30,3,0.1981981981981982,0.2702702702702703,0.26126126126126126,0.25225225225225223,0.2702702702702703,0.009009009009009028,0.018018018018018056,-0.009009009009009028,-0.05405405405405403,0.018018018018018056,ccF1eq
tissuemnist,MobileNetV3,L30_G30,4,0.26126126126126126,0.2702702702702703,0.2882882882882883,0.25225225225225223,0.2702702702702703,0.03603603603603606,0.018018018018018056,0.018018018018018,0.009009009009009028,0.018018018018018056,ccF1eq
tissuemnist,MobileNetV3,L50_G50,1,0.29571984435797666,0.32684824902723736,0.35019455252918286,0.35019455252918286,0.32684824902723736,0.0,-0.023346303501945498,0.023346303501945498,-0.0544747081712062,-0.023346303501945498,ccF1eq
tissuemnist,MobileNetV3,L50_G50,2,0.3424124513618677,0.29571984435797666,0.38910505836575876,0.35019455252918286,0.3424124513618677,0.038910505836575904,-0.0077821011673151474,0.04669260700389105,-0.0077821011673151474,-0.0544747081712062,ccF1eq
tissuemnist,MobileNetV3,L50_G50,3,0.311284046692607,0.25680933852140075,0.3346303501945525,0.3657587548638132,0.311284046692607,-0.0311284046692607,-0.0544747081712062,0.023346303501945498,-0.0544747081712062,-0.10894941634241245,ccF1eq
tissuemnist,MobileNetV3,L50_G50,4,0.31906614785992216,0.28793774319066145,0.29571984435797666,0.311284046692607,0.31906614785992216,-0.01556420233463035,0.0077821011673151474,-0.023346303501945498,0.0077821011673151474,-0.023346303501945553,ccF1eq
tissuemnist,RegNetY400MF,L30_G30,1,0.24324324324324326,0.27927927927927926,0.2702702702702703,0.2882882882882883,0.27927927927927926,-0.018018018018018,-0.009009009009009028,-0.009009009009008973,-0.04504504504504503,-0.009009009009009028,ccF1eq
tissuemnist,RegNetY400MF,L30_G30,2,0.2972972972972973,0.2972972972972973,0.26126126126126126,0.24324324324324326,0.2972972972972973,0.018018018018018,0.05405405405405406,-0.03603603603603606,0.05405405405405406,0.05405405405405406,ccF1eq
tissuemnist,RegNetY400MF,L30_G30,3,0.2882882882882883,0.2702702702702703,0.26126126126126126,0.27927927927927926,0.2882882882882883,-0.018018018018018,0.009009009009009028,-0.02702702702702703,0.009009009009009028,-0.009009009009008973,ccF1eq
tissuemnist,RegNetY400MF,L30_G30,4,0.2702702702702703,0.2882882882882883,0.2702702702702703,0.2882882882882883,0.2882882882882883,-0.018018018018018,0.0,-0.018018018018018,-0.018018018018018,0.0,ccF1eq
tissuemnist,RegNetY400MF,L50_G50,1,0.29571984435797666,0.311284046692607,0.35797665369649806,0.3424124513618677,0.311284046692607,0.01556420233463035,-0.0311284046692607,0.04669260700389105,-0.04669260700389105,-0.0311284046692607,ccF1eq
tissuemnist,RegNetY400MF,L50_G50,2,0.35797665369649806,0.35797665369649806,0.3346303501945525,0.32684824902723736,0.35797665369649806,0.0077821011673151474,0.0311284046692607,-0.023346303501945553,0.0311284046692607,0.0311284046692607,ccF1eq
tissuemnist,RegNetY400MF,L50_G50,3,0.38132295719844356,0.35797665369649806,0.311284046692607,0.35019455252918286,0.38132295719844356,-0.03891050583657585,0.0311284046692607,-0.07003891050583655,0.0311284046692607,0.007782101167315203,ccF1eq
tissuemnist,RegNetY400MF,L50_G50,4,0.35019455252918286,0.32684824902723736,0.35797665369649806,0.3735408560311284,0.35019455252918286,-0.01556420233463035,-0.023346303501945553,0.007782101167315203,-0.023346303501945553,-0.04669260700389105,ccF1eq
dermmnist,MobileNetV3,L30_G30,1,0.557781578181268,0.5068057641748468,0.5908519673325173,0.6994360828307511,0.557781578181268,-0.10858411549823377,-0.14165450464948315,0.03307038915124938,-0.14165450464948315,-0.1926303186559043,AP
dermmnist,MobileNetV3,L30_G30,2,0.5539393406932882,0.43485538652617683,0.6222895028460954,0.6850627078056499,0.5539393406932882,-0.06277320495955452,-0.13112336711236172,0.0683501621528072,-0.13112336711236172,-0.2502073212794731,AP
dermmnist,MobileNetV3,L30_G30,3,0.5516436037750767,0.5486722039019932,0.6341374072393323,0.7056520413443165,0.5516436037750767,-0.07151463410498415,-0.15400843756923976,0.08249380346425561,-0.15400843756923976,-0.15697983744232324,AP
dermmnist,MobileNetV3,L30_G30,4,0.5923911134100882,0.44334112674430176,0.525257397427119,0.679767880298651,0.5923911134100882,-0.15451048287153202,-0.08737676688856277,-0.06713371598296924,-0.08737676688856277,-0.23642675355434922,AP
dermmnist,MobileNetV3,L50_G50,1,0.6420835526670444,0.48416291677517437,0.6335067813669428,0.6994360828307511,0.6420835526670444,-0.06592930146380827,-0.05735253016370667,-0.008576771300101593,-0.05735253016370667,-0.21527316605557673,AP
dermmnist,MobileNetV3,L50_G50,2,0.6517579261994727,0.6082769508687245,0.6591550666068976,0.6850627078056499,0.6517579261994727,-0.02590764119875233,-0.033304781606177225,0.007397140407424896,-0.033304781606177225,-0.07678575693692546,AP
dermmnist,MobileNetV3,L50_G50,3,0.6254235776780518,0.564949066665863,0.6558994453298156,0.7056520413443165,0.6254235776780518,-0.04975259601450088,-0.08022846366626468,0.0304758676517638,-0.08022846366626468,-0.1407029746784535,AP
dermmnist,MobileNetV3,L50_G50,4,0.635610149084322,0.5235007484841816,0.6431543255398516,0.679767880298651,0.635610149084322,-0.03661355475879935,-0.04415773121432898,0.007544176455529628,-0.04415773121432898,-0.15626713181446938,AP
dermmnist,RegNetY400MF,L30_G30,1,0.5673747534459136,0.5090260122722069,0.6965820998089212,0.7013511596879296,0.5673747534459136,-0.0047690598790084415,-0.133976406242016,0.12920734636300757,-0.133976406242016,-0.1923251474157227,AP
dermmnist,RegNetY400MF,L30_G30,2,0.5571203326042151,0.36470269415610734,0.6376213629758776,0.640130894062552,0.5571203326042151,-0.002509531086674399,-0.08301056145833685,0.08050103037166245,-0.08301056145833685,-0.2754281999064446,AP
dermmnist,RegNetY400MF,L30_G30,3,0.6063083218708846,0.37381258850952215,0.6039074658861605,0.7020126218145958,0.6063083218708846,-0.09810515592843527,-0.09570429994371121,-0.0024008559847240596,-0.09570429994371121,-0.32820003330507364,AP
dermmnist,RegNetY400MF,L30_G30,4,0.5004014913308018,0.34403368993858147,0.6007235320556298,0.7005271208528738,0.5004014913308018,-0.09980358879724405,-0.20012562952207202,0.10032204072482798,-0.20012562952207202,-0.35649343091429236,AP
dermmnist,RegNetY400MF,L50_G50,1,0.6183982790447494,0.5129203106947028,0.6470455530065607,0.7013511596879296,0.6183982790447494,-0.054305606681368856,-0.08295288064318018,0.028647273961811326,-0.08295288064318018,-0.18843084899322682,AP
dermmnist,RegNetY400MF,L50_G50,2,0.618833706892146,0.5211105933433501,0.6200126260675138,0.640130894062552,0.618833706892146,-0.02011826799503813,-0.021297187170405962,0.0011789191753678319,-0.021297187170405962,-0.11902030071920189,AP
dermmnist,RegNetY400MF,L50_G50,3,0.6050725719671165,0.5308312386335917,0.630866696444342,0.7020126218145958,0.6050725719671165,-0.07114592537025377,-0.09694004984747928,0.02579412447722551,-0.09694004984747928,-0.17118138318100407,AP
dermmnist,RegNetY400MF,L50_G50,4,0.5969347987551573,0.5026997410940586,0.6757518935962892,0.7005271208528738,0.5969347987551573,-0.024775227256584653,-0.10359232209771652,0.07881709484113186,-0.10359232209771652,-0.19782737975881526,AP
octmnist,MobileNetV3,L30_G30,1,0.7996058204591205,0.6724310077809804,0.6369146177540105,0.7580042313731934,0.7996058204591205,-0.12108961361918291,0.04160158908592715,-0.16269120270511006,0.04160158908592715,-0.08557322359221298,AP
octmnist,MobileNetV3,L30_G30,2,0.8113992231442291,0.7709434517479001,0.7359002455600738,0.8108231951833579,0.8113992231442291,-0.07492294962328405,0.0005760279608711949,-0.07549897758415525,0.0005760279608711949,-0.03987974343545775,AP
octmnist,MobileNetV3,L30_G30,3,0.768791431185973,0.7862795066722891,0.8021110309994195,0.8262172810605988,0.7862795066722891,-0.02410625006117928,-0.0399377743883097,0.01583152432713042,-0.057425849874625734,-0.0399377743883097,AP
octmnist,MobileNetV3,L30_G30,4,0.7812688709961337,0.7294685944169343,0.7536887594602821,0.72638479977456,0.7812688709961337,0.02730395968572208,0.05488407122157368,-0.027580111535851604,0.05488407122157368,0.0030837946423742935,AP
