campaign,dataset,model,cap,method,n_seeds,K,n_pool,n_true_cls,K_frac_pool,clip_raw,clip_raw_min,clip_raw_max,natural_rate,K_over_clip_raw,binds,ccF1eq,AP,macroEq,count_raw,count_adj,sat,n_collapsed,d_vs_bestdual,d_vs_clip,constraint_epochs_run,last_epoch,warmup,cepochs,ce_skip,lr,lr_constraint,stable_thr
headroom_b30,dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.45059880239520955,0.5461284659325171,0.47858026138658555,137.25,111.0,0.0,0,-0.00149700598802395,-0.09730538922155689,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L50_G50,heuristic,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.5464071856287425,0.6860054491044878,0.7391455083641927,172.25,111.0,0.0,0,-0.00149700598802395,-0.09730538922155689,0.0,,30,0,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L50_G50,hounie_rcl,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.45059880239520955,0.5465792410701128,0.4782938180269277,136.75,111.0,0.0,0,-0.00149700598802395,-0.09730538922155689,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,dermmnist,RegNetY400MF,L50_G50,tralo,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.4491017964071856,0.5462321072090399,0.47845693031144776,137.0,111.0,0.0,0,-0.00149700598802395,-0.09730538922155689,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L30_G30,danits_lp,4,75,1000,250,0.075,160.25,113,191,0.16025,0.46801872074882994,yes,0.4246153846153846,0.7803573768479275,0.7097756973379046,160.25,75.0,0.0,0,0.0,-0.06615384615384615,0.0,,30,0,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,75,1000,250,0.075,160.25,113,191,0.16025,0.46801872074882994,yes,0.3584615384615385,0.6440939695006361,0.6202764827161485,147.25,73.5,0.0,0,0.0,-0.06615384615384615,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L30_G30,heuristic,4,75,1000,250,0.075,160.25,113,191,0.16025,0.46801872074882994,yes,0.4246153846153846,0.7803573768479275,0.7097756973379046,160.25,75.0,0.0,0,0.0,-0.06615384615384615,0.0,,30,0,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,75,1000,250,0.075,160.25,113,191,0.16025,0.46801872074882994,yes,0.3584615384615385,0.6439973709603218,0.6202764827161485,146.75,73.5,0.0,0,0.0,-0.06615384615384615,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L30_G30,tralo,4,75,1000,250,0.075,160.25,113,191,0.16025,0.46801872074882994,yes,0.3584615384615385,0.6481396894933829,0.62033356058501,146.5,73.5,0.0,0,0.0,-0.06615384615384615,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L50_G50,danits_lp,4,125,1000,250,0.125,160.25,113,191,0.16025,0.7800312012480499,yes,0.5706666666666667,0.7803573768479275,0.7549613503528865,160.25,120.25,0.0,0,-0.005333333333333343,-0.10266666666666666,0.0,,30,0,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,125,1000,250,0.125,160.25,113,191,0.16025,0.7800312012480499,yes,0.4666666666666667,0.643072069865301,0.6451033058403963,147.25,125.0,0.0,0,-0.005333333333333343,-0.10266666666666666,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,octmnist,MobileNetV3,L50_G50,heuristic,4,125,1000,250,0.125,160.25,113,191,0.16025,0.7800312012480499,yes,0.5706666666666667,0.7803573768479275,0.7549613503528865,160.25,125.0,0.0,0,-0.005333333333333343,-0.10266666666666666,0.0,,30,0,,0.0001,5e-06,
