dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
dermmnist,RegNetY400MF,L30_G30,4,10.0,171.0,177.31,67.0,0.0,0.0,0.07,0.02861,1
dermmnist,RegNetY400MF,L30_G30,4,15.0,171.0,175.04,67.0,0.0,0.0,0.08,0.009821,1
dermmnist,RegNetY400MF,L30_G30,4,20.0,196.0,201.03,67.0,0.0,0.0,0.09,0.023804,1
dermmnist,RegNetY400MF,L30_G30,4,25.0,204.0,203.04,67.0,0.0,0.0,0.1,0.017135,1
dermmnist,RegNetY400MF,L30_G30,4,30.0,90.0,91.46,67.0,0.0,0.0,0.11,0.015794,1
octmnist,RegNetY400MF,L30_G30,1,2.0,142.0,150.92,75.0,0.0,0.0,0.05,0.453289,0
octmnist,RegNetY400MF,L30_G30,1,5.0,209.0,201.43,75.0,0.0,0.0,0.06,0.127984,1
octmnist,RegNetY400MF,L30_G30,1,10.0,140.0,142.98,75.0,0.0,0.0,0.07,0.048666,1
octmnist,RegNetY400MF,L30_G30,1,15.0,162.0,163.41,75.0,0.0,0.0,0.08,0.030902,1
octmnist,RegNetY400MF,L30_G30,1,20.0,213.0,218.67,75.0,0.0,0.0,0.09,0.026126,1
octmnist,RegNetY400MF,L30_G30,1,25.0,180.0,178.4,75.0,0.0,0.0,0.1,0.016534,1
octmnist,RegNetY400MF,L30_G30,1,30.0,159.0,166.75,75.0,0.0,0.0,0.11,0.020307,1
octmnist,RegNetY400MF,L30_G30,2,2.0,183.0,195.96,75.0,0.0,0.0,0.05,0.451029,0
octmnist,RegNetY400MF,L30_G30,2,5.0,164.0,171.43,75.0,0.0,0.0,0.06,0.120229,1
octmnist,RegNetY400MF,L30_G30,2,10.0,241.0,240.31,75.0,0.0,0.0,0.07,0.049152,1
octmnist,RegNetY400MF,L30_G30,2,15.0,154.0,149.24,75.0,0.0,0.0,0.08,0.032026,1
octmnist,RegNetY400MF,L30_G30,2,20.0,129.0,131.02,75.0,0.0,0.0,0.09,0.020356,1
octmnist,RegNetY400MF,L30_G30,2,25.0,155.0,156.62,75.0,0.0,0.0,0.1,0.019885,1
octmnist,RegNetY400MF,L30_G30,2,30.0,146.0,147.68,75.0,0.0,0.0,0.11,0.020363,1
octmnist,RegNetY400MF,L30_G30,3,2.0,216.0,216.11,75.0,0.0,0.0,0.05,0.478893,0
octmnist,RegNetY400MF,L30_G30,3,5.0,153.0,158.03,75.0,0.0,0.0,0.06,0.144149,1
octmnist,RegNetY400MF,L30_G30,3,10.0,126.0,130.62,75.0,0.0,0.0,0.07,0.059501,1
octmnist,RegNetY400MF,L30_G30,3,15.0,221.0,223.42,75.0,0.0,0.0,0.08,0.033649,1
octmnist,RegNetY400MF,L30_G30,3,20.0,149.0,150.18,75.0,0.0,0.0,0.09,0.02638,1
octmnist,RegNetY400MF,L30_G30,3,25.0,183.0,177.23,75.0,0.0,0.0,0.1,0.029848,1
octmnist,RegNetY400MF,L30_G30,3,30.0,142.0,145.32,75.0,0.0,0.0,0.11,0.022022,1
octmnist,RegNetY400MF,L30_G30,4,2.0,188.0,198.73,75.0,0.0,0.0,0.05,0.455922,0
octmnist,RegNetY400MF,L30_G30,4,5.0,180.0,187.29,75.0,0.0,0.0,0.06,0.131918,1
octmnist,RegNetY400MF,L30_G30,4,10.0,93.0,99.32,75.0,0.0,0.0,0.07,0.041645,1
octmnist,RegNetY400MF,L30_G30,4,15.0,151.0,153.85,75.0,0.0,0.0,0.08,0.034352,1
octmnist,RegNetY400MF,L30_G30,4,20.0,187.0,187.73,75.0,0.0,0.0,0.09,0.021073,1
octmnist,RegNetY400MF,L30_G30,4,25.0,186.0,181.96,75.0,0.0,0.0,0.1,0.017663,1
octmnist,RegNetY400MF,L30_G30,4,30.0,200.0,201.69,75.0,0.0,0.0,0.11,0.023351,1
tissuemnist,RegNetY400MF,L30_G30,1,2.0,145.0,173.72,51.0,0.0,0.0,0.05,1.12025,0
tissuemnist,RegNetY400MF,L30_G30,1,5.0,309.0,266.28,51.0,0.0,0.0,0.06,0.525738,1
tissuemnist,RegNetY400MF,L30_G30,1,10.0,162.0,177.78,51.0,0.0,0.0,0.07,0.097438,1
tissuemnist,RegNetY400MF,L30_G30,1,15.0,198.0,196.58,51.0,0.0,0.0,0.08,0.061849,1
tissuemnist,RegNetY400MF,L30_G30,1,20.0,285.0,289.51,51.0,0.0,0.0,0.09,0.049936,1
tissuemnist,RegNetY400MF,L30_G30,1,25.0,131.0,135.18,51.0,0.0,0.0,0.1,0.034191,1
tissuemnist,RegNetY400MF,L30_G30,1,30.0,128.0,136.22,51.0,0.0,0.0,0.11,0.038481,1
tissuemnist,RegNetY400MF,L30_G30,2,2.0,209.0,199.18,51.0,0.0,0.0,0.05,1.173995,0
tissuemnist,RegNetY400MF,L30_G30,2,5.0,123.0,141.9,51.0,0.0,0.0,0.06,0.553731,1
tissuemnist,RegNetY400MF,L30_G30,2,10.0,142.0,147.1,51.0,0.0,0.0,0.07,0.100068,1
tissuemnist,RegNetY400MF,L30_G30,2,15.0,235.0,242.64,51.0,0.0,0.0,0.08,0.039281,1
tissuemnist,RegNetY400MF,L30_G30,2,20.0,235.0,232.01,51.0,0.0,0.0,0.09,0.052832,1
tissuemnist,RegNetY400MF,L30_G30,2,25.0,165.0,166.06,51.0,0.0,0.0,0.1,0.040031,1
tissuemnist,RegNetY400MF,L30_G30,2,30.0,316.0,310.51,51.0,0.0,0.0,0.11,0.040804,1
tissuemnist,RegNetY400MF,L30_G30,3,2.0,158.0,179.78,51.0,0.0,0.0,0.05,1.160072,0
tissuemnist,RegNetY400MF,L30_G30,3,5.0,165.0,177.97,51.0,0.0,0.0,0.06,0.621422,1
tissuemnist,RegNetY400MF,L30_G30,3,10.0,151.0,165.95,51.0,0.0,0.0,0.07,0.110742,1
tissuemnist,RegNetY400MF,L30_G30,3,15.0,193.0,207.0,51.0,0.0,0.0,0.08,0.053955,1
tissuemnist,RegNetY400MF,L30_G30,3,20.0,140.0,143.94,51.0,0.0,0.0,0.09,0.065644,1
tissuemnist,RegNetY400MF,L30_G30,3,25.0,143.0,151.46,51.0,0.0,0.0,0.1,0.040621,1
tissuemnist,RegNetY400MF,L30_G30,3,30.0,176.0,177.96,51.0,0.0,0.0,0.11,0.034039,1
tissuemnist,RegNetY400MF,L30_G30,4,2.0,215.0,196.03,51.0,0.0,0.0,0.05,1.097908,0
tissuemnist,RegNetY400MF,L30_G30,4,5.0,171.0,173.1,51.0,0.0,0.0,0.06,0.490388,1
tissuemnist,RegNetY400MF,L30_G30,4,10.0,255.0,267.44,51.0,0.0,0.0,0.07,0.086706,1
tissuemnist,RegNetY400MF,L30_G30,4,15.0,212.0,214.3,51.0,0.0,0.0,0.08,0.054343,1
tissuemnist,RegNetY400MF,L30_G30,4,20.0,184.0,193.04,51.0,0.0,0.0,0.09,0.036854,1
tissuemnist,RegNetY400MF,L30_G30,4,25.0,242.0,245.1,51.0,0.0,0.0,0.1,0.026176,1
tissuemnist,RegNetY400MF,L30_G30,4,30.0,194.0,195.66,51.0,0.0,0.0,0.11,0.045378,1
dermmnist,RegNetY400MF,L50_G50,1,2.0,222.0,262.32,112.0,0.0,0.0,0.05,0.469585,0
dermmnist,RegNetY400MF,L50_G50,1,5.0,205.0,211.95,112.0,0.0,0.0,0.06,0.088198,1
dermmnist,RegNetY400MF,L50_G50,1,10.0,173.0,177.85,112.0,0.0,0.0,0.07,0.042875,1
dermmnist,RegNetY400MF,L50_G50,1,15.0,171.0,170.2,112.0,0.0,0.0,0.08,0.014144,1
dermmnist,RegNetY400MF,L50_G50,1,20.0,196.0,197.54,112.0,0.0,0.0,0.09,0.022878,1
dermmnist,RegNetY400MF,L50_G50,1,25.0,154.0,155.59,112.0,0.0,0.0,0.1,0.01283,1
dermmnist,RegNetY400MF,L50_G50,1,30.0,138.0,138.3,112.0,0.0,0.0,0.11,0.009108,1
dermmnist,RegNetY400MF,L50_G50,2,2.0,172.0,225.1,112.0,0.0,0.0,0.05,0.497525,0
dermmnist,RegNetY400MF,L50_G50,2,5.0,169.0,182.81,112.0,0.0,0.0,0.06,0.097105,1
dermmnist,RegNetY400MF,L50_G50,2,10.0,196.0,207.6,112.0,0.0,0.0,0.07,0.041434,1
dermmnist,RegNetY400MF,L50_G50,2,15.0,208.0,210.39,112.0,0.0,0.0,0.08,0.033735,1
dermmnist,RegNetY400MF,L50_G50,2,20.0,132.0,136.21,112.0,0.0,0.0,0.09,0.008632,1
dermmnist,RegNetY400MF,L50_G50,2,25.0,184.0,183.96,112.0,0.0,0.0,0.1,0.020334,1
dermmnist,RegNetY400MF,L50_G50,2,30.0,204.0,212.03,112.0,0.0,0.0,0.11,0.016269,1
dermmnist,RegNetY400MF,L50_G50,3,2.0,307.0,315.23,112.0,0.0,0.0,0.05,0.486292,0
dermmnist,RegNetY400MF,L50_G50,3,5.0,165.0,172.06,112.0,0.0,0.0,0.06,0.088377,1
dermmnist,RegNetY400MF,L50_G50,3,10.0,197.0,197.03,112.0,0.0,0.0,0.07,0.034022,1
dermmnist,RegNetY400MF,L50_G50,3,15.0,206.0,212.79,112.0,0.0,0.0,0.08,0.01847,1
dermmnist,RegNetY400MF,L50_G50,3,20.0,215.0,222.75,112.0,0.0,0.0,0.09,0.017701,1
dermmnist,RegNetY400MF,L50_G50,3,25.0,169.0,170.58,112.0,0.0,0.0,0.1,0.02371,1
dermmnist,RegNetY400MF,L50_G50,3,30.0,257.0,256.62,112.0,0.0,0.0,0.11,0.004565,1
dermmnist,RegNetY400MF,L50_G50,4,2.0,178.0,224.14,112.0,0.0,0.0,0.05,0.450824,0
dermmnist,RegNetY400MF,L50_G50,4,5.0,135.0,144.88,112.0,0.0,0.0,0.06,0.084401,1
dermmnist,RegNetY400MF,L50_G50,4,10.0,178.0,184.72,112.0,0.0,0.0,0.07,0.038476,1
dermmnist,RegNetY400MF,L50_G50,4,15.0,250.0,256.13,112.0,0.0,0.0,0.08,0.017671,1
dermmnist,RegNetY400MF,L50_G50,4,20.0,196.0,201.39,112.0,0.0,0.0,0.09,0.010682,1
dermmnist,RegNetY400MF,L50_G50,4,25.0,150.0,149.59,112.0,0.0,0.0,0.1,0.012091,1
dermmnist,RegNetY400MF,L50_G50,4,30.0,156.0,161.22,112.0,0.0,0.0,0.11,0.010219,1
octmnist,RegNetY400MF,L50_G50,1,2.0,142.0,150.92,125.0,0.0,0.0,0.05,0.453289,0
octmnist,RegNetY400MF,L50_G50,1,5.0,213.0,220.99,125.0,0.0,0.0,0.06,0.128568,1
octmnist,RegNetY400MF,L50_G50,1,10.0,187.0,181.92,125.0,0.0,0.0,0.07,0.055925,1
octmnist,RegNetY400MF,L50_G50,1,15.0,134.0,133.08,125.0,0.0,0.0,0.08,0.032898,1
octmnist,RegNetY400MF,L50_G50,1,16.0,110.0,115.74,125.0,1.0,1.0,0.08,0.025231,0
octmnist,RegNetY400MF,L50_G50,1,20.0,212.0,209.46,125.0,0.0,0.0,0.08,0.033545,1
octmnist,RegNetY400MF,L50_G50,1,25.0,200.0,202.25,125.0,0.0,0.0,0.08,0.021359,1
octmnist,RegNetY400MF,L50_G50,1,30.0,255.0,251.94,125.0,0.0,0.0,0.08,0.011734,1
octmnist,RegNetY400MF,L50_G50,2,2.0,183.0,195.96,125.0,0.0,0.0,0.05,0.451029,0
octmnist,RegNetY400MF,L50_G50,2,5.0,238.0,234.97,125.0,0.0,0.0,0.06,0.126545,1
octmnist,RegNetY400MF,L50_G50,2,7.0,108.0,112.49,125.0,1.0,1.0,0.06,0.07082,0
octmnist,RegNetY400MF,L50_G50,2,10.0,167.0,160.4,125.0,0.0,0.0,0.06,0.043829,1
octmnist,RegNetY400MF,L50_G50,2,15.0,136.0,140.71,125.0,0.0,0.0,0.06,0.034085,1
octmnist,RegNetY400MF,L50_G50,2,20.0,148.0,147.48,125.0,0.0,0.0,0.06,0.018205,1
octmnist,RegNetY400MF,L50_G50,2,22.0,107.0,106.1,125.0,1.0,1.0,0.06,0.030334,0
octmnist,RegNetY400MF,L50_G50,2,25.0,147.0,152.51,125.0,0.0,0.0,0.06,0.02108,1
octmnist,RegNetY400MF,L50_G50,2,30.0,110.0,107.48,125.0,1.0,1.0,0.06,0.023276,1
octmnist,RegNetY400MF,L50_G50,3,2.0,216.0,216.11,125.0,0.0,0.0,0.05,0.478893,0
octmnist,RegNetY400MF,L50_G50,3,4.0,109.0,125.12,125.0,1.0,1.0,0.05,0.232574,0
octmnist,RegNetY400MF,L50_G50,3,5.0,150.0,152.68,125.0,0.0,0.0,0.05,0.151154,1
octmnist,RegNetY400MF,L50_G50,3,10.0,142.0,146.23,125.0,0.0,0.0,0.05,0.047303,1
octmnist,RegNetY400MF,L50_G50,3,15.0,179.0,179.3,125.0,0.0,0.0,0.05,0.028432,1
octmnist,RegNetY400MF,L50_G50,3,20.0,129.0,134.23,125.0,0.0,0.0,0.05,0.030367,1
octmnist,RegNetY400MF,L50_G50,3,25.0,210.0,207.79,125.0,0.0,0.0,0.05,0.025941,1
octmnist,RegNetY400MF,L50_G50,3,30.0,148.0,152.56,125.0,0.0,0.0,0.05,0.018497,1
octmnist,RegNetY400MF,L50_G50,4,2.0,188.0,198.73,125.0,0.0,0.0,0.05,0.455922,0
octmnist,RegNetY400MF,L50_G50,4,5.0,280.0,276.26,125.0,0.0,0.0,0.06,0.133572,1
octmnist,RegNetY400MF,L50_G50,4,8.0,76.0,85.36,125.0,1.0,1.0,0.06,0.0547,0
octmnist,RegNetY400MF,L50_G50,4,10.0,151.0,150.2,125.0,0.0,0.0,0.06,0.050526,1
octmnist,RegNetY400MF,L50_G50,4,15.0,109.0,115.02,125.0,1.0,1.0,0.06,0.024371,1
octmnist,RegNetY400MF,L50_G50,4,20.0,170.0,167.25,125.0,0.0,0.0,0.06,0.020145,1
octmnist,RegNetY400MF,L50_G50,4,22.0,116.0,116.02,125.0,1.0,1.0,0.06,0.021459,0
octmnist,RegNetY400MF,L50_G50,4,25.0,125.0,127.18,125.0,1.0,0.0,0.06,0.022198,1
octmnist,RegNetY400MF,L50_G50,4,30.0,141.0,139.56,125.0,0.0,0.0,0.06,0.017271,1
tissuemnist,RegNetY400MF,L50_G50,1,2.0,145.0,173.72,86.0,0.0,0.0,0.05,1.12025,0
tissuemnist,RegNetY400MF,L50_G50,1,5.0,243.0,230.46,86.0,0.0,0.0,0.06,0.513274,1
tissuemnist,RegNetY400MF,L50_G50,1,10.0,235.0,228.21,86.0,0.0,0.0,0.07,0.09544,1
tissuemnist,RegNetY400MF,L50_G50,1,15.0,226.0,223.21,86.0,0.0,0.0,0.08,0.065452,1
tissuemnist,RegNetY400MF,L50_G50,1,20.0,302.0,307.72,86.0,0.0,0.0,0.09,0.037883,1
tissuemnist,RegNetY400MF,L50_G50,1,25.0,147.0,160.0,86.0,0.0,0.0,0.1,0.040215,1
tissuemnist,RegNetY400MF,L50_G50,1,30.0,206.0,208.41,86.0,0.0,0.0,0.11,0.036044,1
tissuemnist,RegNetY400MF,L50_G50,2,2.0,209.0,199.18,86.0,0.0,0.0,0.05,1.173995,0
tissuemnist,RegNetY400MF,L50_G50,2,5.0,153.0,174.86,86.0,0.0,0.0,0.06,0.563395,1
tissuemnist,RegNetY400MF,L50_G50,2,10.0,182.0,187.13,86.0,0.0,0.0,0.07,0.097092,1
tissuemnist,RegNetY400MF,L50_G50,2,15.0,146.0,141.88,86.0,0.0,0.0,0.08,0.048208,1
tissuemnist,RegNetY400MF,L50_G50,2,20.0,213.0,217.39,86.0,0.0,0.0,0.09,0.0385,1
tissuemnist,RegNetY400MF,L50_G50,2,25.0,253.0,264.36,86.0,0.0,0.0,0.1,0.057924,1
tissuemnist,RegNetY400MF,L50_G50,2,30.0,249.0,248.09,86.0,0.0,0.0,0.11,0.042677,1
tissuemnist,RegNetY400MF,L50_G50,3,2.0,158.0,179.78,86.0,0.0,0.0,0.05,1.160072,0
tissuemnist,RegNetY400MF,L50_G50,3,5.0,188.0,206.09,86.0,0.0,0.0,0.06,0.64644,1
tissuemnist,RegNetY400MF,L50_G50,3,10.0,214.0,220.94,86.0,0.0,0.0,0.07,0.109356,1
tissuemnist,RegNetY400MF,L50_G50,3,15.0,180.0,180.3,86.0,0.0,0.0,0.08,0.066038,1
tissuemnist,RegNetY400MF,L50_G50,3,20.0,104.0,113.23,86.0,0.0,0.0,0.09,0.056704,1
tissuemnist,RegNetY400MF,L50_G50,3,25.0,152.0,156.75,86.0,0.0,0.0,0.1,0.04109,1
tissuemnist,RegNetY400MF,L50_G50,3,30.0,137.0,141.85,86.0,0.0,0.0,0.11,0.038951,1
tissuemnist,RegNetY400MF,L50_G50,4,2.0,215.0,196.03,86.0,0.0,0.0,0.05,1.097908,0
tissuemnist,RegNetY400MF,L50_G50,4,5.0,207.0,199.15,86.0,0.0,0.0,0.06,0.49175,1
tissuemnist,RegNetY400MF,L50_G50,4,10.0,224.0,237.09,86.0,0.0,0.0,0.07,0.088904,1
tissuemnist,RegNetY400MF,L50_G50,4,15.0,136.0,148.3,86.0,0.0,0.0,0.08,0.057094,1
tissuemnist,RegNetY400MF,L50_G50,4,20.0,202.0,207.83,86.0,0.0,0.0,0.09,0.044484,1
tissuemnist,RegNetY400MF,L50_G50,4,25.0,242.0,245.54,86.0,0.0,0.0,0.1,0.044328,1
tissuemnist,RegNetY400MF,L50_G50,4,30.0,236.0,237.16,86.0,0.0,0.0,0.11,0.032707,1
