dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
octmnist,MobileNetV3,L50_G50,2,20.0,113.0,112.72,125.0,1.0,1.0,0.05,0.016255,1
octmnist,MobileNetV3,L50_G50,2,22.0,99.0,103.95,125.0,1.0,1.0,0.05,0.024864,0
octmnist,MobileNetV3,L50_G50,2,25.0,121.0,120.54,125.0,1.0,0.0,0.05,0.011776,1
octmnist,MobileNetV3,L50_G50,2,30.0,163.0,163.92,125.0,0.0,0.0,0.05,0.013689,1
octmnist,MobileNetV3,L50_G50,3,2.0,236.0,209.42,125.0,0.0,0.0,0.05,0.402271,0
octmnist,MobileNetV3,L50_G50,3,5.0,176.0,177.31,125.0,0.0,0.0,0.06,0.135568,1
octmnist,MobileNetV3,L50_G50,3,8.0,113.0,110.2,125.0,1.0,1.0,0.06,0.048987,0
octmnist,MobileNetV3,L50_G50,3,10.0,168.0,166.45,125.0,0.0,0.0,0.06,0.045005,1
octmnist,MobileNetV3,L50_G50,3,15.0,107.0,107.66,125.0,1.0,1.0,0.06,0.028088,1
octmnist,MobileNetV3,L50_G50,3,19.0,111.0,108.36,125.0,1.0,1.0,0.06,0.020405,0
octmnist,MobileNetV3,L50_G50,3,20.0,214.0,214.67,125.0,0.0,0.0,0.06,0.015591,1
octmnist,MobileNetV3,L50_G50,3,24.0,112.0,112.48,125.0,1.0,1.0,0.06,0.018768,0
octmnist,MobileNetV3,L50_G50,3,25.0,205.0,202.48,125.0,0.0,0.0,0.06,0.019248,1
octmnist,MobileNetV3,L50_G50,3,26.0,108.0,112.85,125.0,1.0,1.0,0.06,0.019579,0
octmnist,MobileNetV3,L50_G50,3,30.0,143.0,137.74,125.0,0.0,0.0,0.06,0.00991,1
octmnist,MobileNetV3,L50_G50,4,2.0,131.0,148.23,125.0,0.0,0.0,0.05,0.407532,0
octmnist,MobileNetV3,L50_G50,4,5.0,76.0,86.47,125.0,1.0,1.0,0.06,0.129846,1
octmnist,MobileNetV3,L50_G50,4,10.0,157.0,157.3,125.0,0.0,0.0,0.06,0.043508,1
octmnist,MobileNetV3,L50_G50,4,11.0,87.0,85.9,125.0,1.0,1.0,0.06,0.023505,0
octmnist,MobileNetV3,L50_G50,4,14.0,122.0,119.07,125.0,1.0,1.0,0.06,0.028847,0
octmnist,MobileNetV3,L50_G50,4,15.0,280.0,282.94,125.0,0.0,0.0,0.06,0.020053,1
octmnist,MobileNetV3,L50_G50,4,20.0,144.0,147.99,125.0,0.0,0.0,0.06,0.016999,1
octmnist,MobileNetV3,L50_G50,4,25.0,163.0,162.21,125.0,0.0,0.0,0.06,0.018704,1
octmnist,MobileNetV3,L50_G50,4,30.0,168.0,169.97,125.0,0.0,0.0,0.06,0.016336,1
tissuemnist,MobileNetV3,L50_G50,1,2.0,35.0,196.14,86.0,1.0,1.0,0.05,1.102201,0
tissuemnist,MobileNetV3,L50_G50,1,5.0,46.0,94.07,86.0,1.0,1.0,0.05,0.592507,1
tissuemnist,MobileNetV3,L50_G50,1,10.0,206.0,205.19,86.0,0.0,0.0,0.05,0.134495,1
tissuemnist,MobileNetV3,L50_G50,1,15.0,139.0,138.96,86.0,0.0,0.0,0.05,0.038269,1
tissuemnist,MobileNetV3,L50_G50,1,20.0,255.0,257.27,86.0,0.0,0.0,0.05,0.032573,1
tissuemnist,MobileNetV3,L50_G50,1,25.0,257.0,250.98,86.0,0.0,0.0,0.05,0.03135,1
tissuemnist,MobileNetV3,L50_G50,1,30.0,102.0,106.41,86.0,0.0,0.0,0.05,0.01362,1
tissuemnist,MobileNetV3,L50_G50,2,2.0,254.0,329.39,86.0,0.0,0.0,0.05,1.096688,0
tissuemnist,MobileNetV3,L50_G50,2,5.0,72.0,98.11,86.0,1.0,1.0,0.06,0.571762,1
tissuemnist,MobileNetV3,L50_G50,2,10.0,119.0,135.03,86.0,0.0,0.0,0.06,0.135846,1
tissuemnist,MobileNetV3,L50_G50,2,15.0,149.0,158.82,86.0,0.0,0.0,0.06,0.061678,1
tissuemnist,MobileNetV3,L50_G50,2,20.0,300.0,304.61,86.0,0.0,0.0,0.06,0.037599,1
tissuemnist,MobileNetV3,L50_G50,2,25.0,144.0,149.96,86.0,0.0,0.0,0.06,0.023096,1
tissuemnist,MobileNetV3,L50_G50,2,28.0,58.0,59.67,86.0,1.0,1.0,0.06,0.025018,0
tissuemnist,MobileNetV3,L50_G50,2,30.0,95.0,97.96,86.0,0.0,0.0,0.06,0.020682,1
tissuemnist,MobileNetV3,L50_G50,3,2.0,76.0,168.82,86.0,1.0,1.0,0.05,1.07426,0
tissuemnist,MobileNetV3,L50_G50,3,3.0,72.0,118.29,86.0,1.0,1.0,0.05,0.935749,0
tissuemnist,MobileNetV3,L50_G50,3,4.0,63.0,98.54,86.0,1.0,1.0,0.05,0.755305,0
tissuemnist,MobileNetV3,L50_G50,3,5.0,50.0,98.0,86.0,1.0,1.0,0.05,0.577662,1
tissuemnist,MobileNetV3,L50_G50,4,2.0,25.0,159.77,86.0,1.0,1.0,0.05,1.088043,0
tissuemnist,MobileNetV3,L50_G50,4,3.0,58.0,128.97,86.0,1.0,1.0,0.05,0.939811,0
tissuemnist,MobileNetV3,L50_G50,4,4.0,47.0,101.95,86.0,1.0,1.0,0.05,0.767571,0
tissuemnist,MobileNetV3,L50_G50,4,5.0,58.0,86.58,86.0,1.0,1.0,0.05,0.574119,1
tissuemnist,MobileNetV3,L50_G50,4,10.0,101.0,109.86,86.0,0.0,0.0,0.05,0.11663,1
tissuemnist,MobileNetV3,L50_G50,4,15.0,68.0,71.41,86.0,1.0,1.0,0.05,0.04425,1
tissuemnist,MobileNetV3,L50_G50,4,20.0,116.0,121.44,86.0,0.0,0.0,0.05,0.04618,1
tissuemnist,MobileNetV3,L50_G50,4,25.0,123.0,130.43,86.0,0.0,0.0,0.05,0.03854,1
tissuemnist,MobileNetV3,L50_G50,4,30.0,103.0,111.44,86.0,0.0,0.0,0.05,0.018242,1
dermmnist,RegNetY400MF,L30_G30,1,2.0,222.0,262.32,67.0,0.0,0.0,0.05,0.469585,0
dermmnist,RegNetY400MF,L30_G30,1,5.0,193.0,204.6,67.0,0.0,0.0,0.06,0.086124,1
dermmnist,RegNetY400MF,L30_G30,1,10.0,189.0,192.27,67.0,0.0,0.0,0.07,0.031678,1
dermmnist,RegNetY400MF,L30_G30,1,15.0,186.0,191.8,67.0,0.0,0.0,0.08,0.020744,1
dermmnist,RegNetY400MF,L30_G30,1,20.0,225.0,224.4,67.0,0.0,0.0,0.09,0.014665,1
dermmnist,RegNetY400MF,L30_G30,1,25.0,204.0,209.12,67.0,0.0,0.0,0.1,0.016266,1
dermmnist,RegNetY400MF,L30_G30,1,30.0,151.0,156.51,67.0,0.0,0.0,0.11,0.004035,1
dermmnist,RegNetY400MF,L30_G30,2,2.0,172.0,225.1,67.0,0.0,0.0,0.05,0.497525,0
dermmnist,RegNetY400MF,L30_G30,2,5.0,152.0,168.31,67.0,0.0,0.0,0.06,0.098515,1
dermmnist,RegNetY400MF,L30_G30,2,10.0,154.0,163.65,67.0,0.0,0.0,0.07,0.033052,1
dermmnist,RegNetY400MF,L30_G30,2,15.0,191.0,187.32,67.0,0.0,0.0,0.08,0.011764,1
dermmnist,RegNetY400MF,L30_G30,2,20.0,218.0,217.07,67.0,0.0,0.0,0.09,0.009522,1
dermmnist,RegNetY400MF,L30_G30,2,25.0,197.0,200.14,67.0,0.0,0.0,0.1,0.010617,1
dermmnist,RegNetY400MF,L30_G30,2,30.0,193.0,199.7,67.0,0.0,0.0,0.11,0.007726,1
dermmnist,RegNetY400MF,L30_G30,3,2.0,307.0,315.23,67.0,0.0,0.0,0.05,0.486292,0
dermmnist,RegNetY400MF,L30_G30,3,5.0,185.0,199.82,67.0,0.0,0.0,0.06,0.090409,1
dermmnist,RegNetY400MF,L30_G30,3,10.0,165.0,175.91,67.0,0.0,0.0,0.07,0.031455,1
dermmnist,RegNetY400MF,L30_G30,3,15.0,143.0,148.1,67.0,0.0,0.0,0.08,0.014278,1
dermmnist,RegNetY400MF,L30_G30,3,20.0,167.0,172.93,67.0,0.0,0.0,0.09,0.018698,1
dermmnist,RegNetY400MF,L30_G30,3,25.0,192.0,203.51,67.0,0.0,0.0,0.1,0.007714,1
dermmnist,RegNetY400MF,L30_G30,3,30.0,187.0,189.88,67.0,0.0,0.0,0.11,0.010555,1
dermmnist,RegNetY400MF,L30_G30,4,2.0,178.0,224.14,67.0,0.0,0.0,0.05,0.450824,0
dermmnist,RegNetY400MF,L30_G30,4,5.0,116.0,130.47,67.0,0.0,0.0,0.06,0.085131,1
