campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,cls,n_pool,n_true,K,K_local_sum,n_groups,count_raw,count_adj,count_eq,deficit,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,4,fioretto_ldf,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,39,51,51,0,0.26394484488734066,0.22522522522522523,0.22522522522522523,0.3477567870257635,0.3477567870257635,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/fioretto_ldf/seed_4
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,3,heuristic,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,249,51,51,0,0.3513048384589492,0.23423423423423423,0.23423423423423423,0.2913807025328383,0.2913807025328383,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/heuristic/seed_3
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,4,heuristic,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,145,51,51,0,0.30554255283796516,0.2072072072072072,0.2072072072072072,0.2760418005320797,0.2760418005320797,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/heuristic/seed_4
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,3,hounie_rcl,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,25,51,51,0,0.3217280783160241,0.26126126126126126,0.26126126126126126,0.38029051758394267,0.38029051758394267,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/hounie_rcl/seed_3
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,4,hounie_rcl,,,1,300,0.0001,5e-06,,4,2400,171,51,51,2,29,51,51,0,0.2449778513099815,0.2072072072072072,0.2072072072072072,0.3471424547630768,0.3471424547630768,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/hounie_rcl/seed_4
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,3,tralo,,,1,300,0.0001,5e-06,True,4,2400,171,51,51,2,43,51,51,0,0.3594338573141012,0.3063063063063063,0.3063063063063063,0.3905608430215649,0.3905608430215649,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/tralo/seed_3
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,4,tralo,,,1,300,0.0001,5e-06,True,4,2400,171,51,51,2,46,51,51,0,0.2813763543112294,0.25225225225225223,0.25225225225225223,0.3453325446814998,0.3453325446814998,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/tralo/seed_4
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,3,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2400,171,51,51,2,38,51,51,0,0.34811909869171903,0.2882882882882883,0.2882882882882883,0.3854767846832985,0.3848370727443383,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/tralo_bounded/seed_3
warmup1_probe_s34,tissuemnist,L30_G30,MobileNetV3,4,tralo_bounded,,,1,300,0.0001,5e-06,True,4,2400,171,51,51,2,38,51,51,0,0.25931324273017053,0.21621621621621623,0.21621621621621623,0.3401855579291996,0.3401855579291996,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L30_G30/w1/tralo_bounded/seed_4
warmup1_probe_s34,tissuemnist,L50_G50,MobileNetV3,3,danits_lp,,,1,300,0.0001,5e-06,,4,2400,171,86,86,2,249,86,86,0,0.3513048384589492,0.3035019455252918,0.28793774319066145,0.30141617402046306,0.29501773910234175,results/pending_runs/warmup1_probe_s34/MobileNetV3/tissuemnist/L50_G50/w1/danits_lp/seed_3
