dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,lam0,lam_max,lam_final,soft0,soft_min,soft_final,n_ep_lam_frozen,cstr_loss_max,u_recursion_maxerr,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat
tissuemnist,MobileNetV3,L30_G30,3,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.019409,,0,0,50.0,4.0,168.0,0.20492610837438419,0.20492610837438419,,53,0.000491,0.012733,0.012733,168.83999999999997,64.41599999999976,132.23039999999997,,0.002923,8.100000000000075e-07,29.0,0.0,0.000564,0.0008257747876994066,1.263058823529407,2.59275294117647,0.0,-0.05517241379310344,,,
tissuemnist,MobileNetV3,L30_G30,4,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.018944,1.0,2,1,0.0,0.0,122.0,0.3601872491670275,0.3601872491670275,,47,0.000453,0.014354,0.014354,159.72,95.9879999999998,112.87920000000011,,0.003215,7.700000000000011e-07,29.0,0.0,0.00061,0.0008531705573916624,1.8821176470588197,2.2133176470588256,0.0,0.22512315270935954,,159.72,46.84079999999989
dermmnist,MobileNetV3,L50_G50,1,fioretto_ldf,112,2003,223,24,24,UNSET->default True,20.0,5,0.011527,14.0,6,1,69.0,0.0,0.0,-0.6782236584179973,-0.3929824561403509,,78,0.368101,6.152846,6.152846,185.6202,127.1332,,7.0,1630.194748,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,2,fioretto_ldf,112,2003,223,29,29,UNSET->default True,15.0,15,0.010974,,0,0,57.0,1.0,1.0,-0.7880824662518191,0.23956043956043957,-0.43301270189221924,110,0.410326,4.535734,4.535734,194.0652,116.73259999999999,,15.0,1044.529076,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,3,fioretto_ldf,112,2003,223,20,20,UNSET->default True,15.0,6,0.012603,16.0,5,0,313.0,0.0,0.0,-0.9196680698588462,-0.7885481683836404,-0.6546536707079772,76,0.866293,6.142482,6.142482,285.2586,118.07740000000004,,6.0,1348.567184,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,4,fioretto_ldf,112,2003,223,21,21,UNSET->default True,17.0,5,0.00844,17.0,5,0,125.0,0.0,0.0,-0.6954396908692829,-0.3294117647058824,,97,0.498038,5.856017,5.856017,211.6076,114.36020000000003,,5.0,1449.335754,,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,1,hounie_rcl,112,2003,223,29,29,UNSET->default True,12.0,18,0.013184,27.0,3,0,69.0,0.0,0.0,-0.433206428438756,0.19090909090909092,-0.8657429635365042,54,0.000368,0.007864,0.00722,185.7104,65.46430099999998,65.46430099999998,,0.002353,8.200000000000023e-07,24.0,5.0,0.000367,0.0006115349540296123,0.5845026874999998,0.5845026874999998,5.0,-0.10000000000000002,-0.8802889576883385,85.48228299999985,20.017981999999876
dermmnist,MobileNetV3,L50_G50,2,hounie_rcl,112,2003,223,29,29,UNSET->default True,23.0,7,0.008803,26.0,4,0,57.0,0.0,0.0,-0.5807020202375751,-0.054298720703538986,-0.9063269671749657,71,0.00041,0.006559,0.006125,194.123,78.16532400000011,78.16532400000011,,0.002589,7.300000000000015e-07,25.0,4.0,0.000308,0.0005680809801427962,0.6979046785714296,0.6979046785714296,4.0,-0.2907961603613778,-1.0,104.38058800000013,26.21526400000002
dermmnist,MobileNetV3,L50_G50,3,hounie_rcl,112,2003,223,25,25,UNSET->default True,15.0,11,0.01134,21.0,5,0,313.0,0.0,0.0,-0.8486549742709344,-0.4769230769230769,-0.9534625892455922,38,0.000865,0.006752,0.005588,285.2595,46.920526999999964,46.920526999999964,,0.002464,6.499999999999887e-07,19.0,7.0,0.000313,0.0006350425182615728,0.41893327678571396,0.41893327678571396,7.0,-0.48571428571428577,-1.0,91.18081799999993,44.26029099999997
dermmnist,MobileNetV3,L50_G50,4,hounie_rcl,112,2003,223,28,28,UNSET->default True,14.0,15,0.012651,8.0,6,1,125.0,0.0,0.0,-0.7133522482936828,-0.20329670329670327,-0.9819805060619657,52,0.000497,0.005601,0.004573,211.5491,59.635570999999935,59.635570999999935,,0.001655,8.100000000000007e-07,21.0,8.0,0.000262,0.000490867599256663,0.5324604553571423,0.5324604553571423,8.0,-0.42857142857142855,-1.0,111.18077299999996,51.545202000000025
octmnist,MobileNetV3,L50_G50,1,fioretto_ldf,125,1000,250,29,29,UNSET->default True,,0,0.009297,2.0,6,4,236.0,0.0,120.0,-0.21521537467797625,-0.21521537467797625,,108,0.41953,5.422317,5.422317,208.906,126.99199999999999,189.33159999999987,7.0,1284.315308,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,2,fioretto_ldf,125,1000,250,29,29,UNSET->default True,26.0,4,0.010066,2.0,11,5,6.0,0.0,0.0,-0.08181453181710034,0.26328663540926195,,111,0.130697,4.564279,4.564279,151.1394,134.35660000000001,,11.0,1213.777374,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,3,fioretto_ldf,125,1000,250,29,29,UNSET->default True,,0,0.010329,26.0,1,1,222.0,0.0,88.0,-0.18085500804047996,-0.18085500804047996,,111,0.422124,5.907403,5.907403,209.4248,126.18179999999998,168.73180000000013,3.0,1338.976257,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,4,fioretto_ldf,125,1000,250,29,29,UNSET->default True,26.0,4,0.012306,5.0,7,3,12.0,0.0,0.0,-0.297415344507774,0.01886430132637795,,117,0.116157,5.633906,5.633906,148.2314,127.21739999999997,,7.0,1352.363068,,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,1,hounie_rcl,125,1000,250,29,29,UNSET->default True,29.0,1,0.010743,2.0,3,3,236.0,0.0,144.0,0.32532353679785,0.28919628851098983,,96,0.000839,0.01187,0.01187,208.9,98.05000000000001,196.95500000000004,,0.008876,7.699999999999808e-07,29.0,5.0,0.000483,0.0008756203515222794,0.7844000000000001,1.5756400000000004,5.0,0.2260536398467433,,108.80799999999999,-88.14700000000005
octmnist,MobileNetV3,L50_G50,2,hounie_rcl,125,1000,250,29,29,UNSET->default True,,0,0.00936,2.0,2,1,6.0,0.0,60.0,0.07440256446541882,0.07440256446541882,,113,0.000261,0.009058,0.009058,151.1,113.90299999999999,153.485,,0.005768,5.399999999999914e-07,29.0,4.0,0.000399,0.0007353903725233285,0.9112239999999999,1.22788,4.0,-0.0004926108374384235,,113.90299999999999,-39.58200000000002
octmnist,MobileNetV3,L50_G50,3,hounie_rcl,125,1000,250,29,29,UNSET->default True,26.0,4,0.008657,11.0,4,3,222.0,0.0,0.0,-0.6206989601092882,-0.4925866212151526,-1.0,86,0.000844,0.008074,0.007644,209.4,99.27700000000003,104.47499999999991,,0.005924,7.700000000000079e-07,24.0,7.0,0.000376,0.0006799698522728784,0.7942160000000003,0.8357999999999993,7.0,-0.4923076923076923,-1.0,99.27700000000003,-5.19799999999988
