path,dataset,cap,model,seed,method,warmup,K,cls,count_raw,AP,precAtK,recAtK,n_uniq_score,frac_score_below_1e6,max_score,sat_epoch_raw,restored_from_raw,restore_kind,min_excess_raw,min_total_excess,last_c,eval_c,n_active_total,n_sat_total,dose_active,dose_sat,dose_frac,n_transitions,first_sat_c,peak_lambda,restored,unspent,is_tralo,traj_min_over_K,traj_max_over_K,traj_range_K,cum_excess_K,campaign,lr_c,AP_ce,precAtK_ce,dAP,dPrecK,over_unspent,abs_unspent
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,L50_G50,MobileNetV3,1,fioretto_ldf,1,112,4,147,0.5432105794103793,0.6517857142857143,0.3273542600896861,2002,0.000998502246630055,0.9070213,,1.0,min_excess,1.0,72.0,29,1,29,0,1,0,1.0,0,,12.520529,1,-0.3125,0,,1.6428571428571428,0.0,0.6428571428571429,b30_lrc5e-06,5e-06,0.6994360828307511,0.8837953091684434,-0.15622550342037178,-0.2320095948827291,0.0,0.3125
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,L50_G50,MobileNetV3,2,fioretto_ldf,1,112,4,142,0.5517097200216945,0.6607142857142857,0.33183856502242154,2002,0.00199700449326011,0.9247387,,3.0,min_excess,3.0,61.0,29,3,29,0,3,0,1.0,0,,13.240553,1,-0.26785714285714285,0,,2.0267857142857144,0.48214285714285715,2.294642857142857,b30_lrc5e-06,5e-06,0.6850627078056499,0.818230277185501,-0.13335298778395543,-0.1575159914712153,0.0,0.26785714285714285
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,1,112,4,126,0.5163201087274673,0.6160714285714286,0.3094170403587444,2002,0.0,0.9178479,,1.0,min_excess,1.0,33.0,29,1,29,0,1,0,1.0,0,,13.523868,1,-0.125,0,,1.2946428571428572,0.0,0.29464285714285715,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.2691897654584221,0.0,0.125
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,1,112,4,146,0.5613145102806214,0.7053571428571429,0.3542600896860987,2002,0.00199700449326011,0.91522837,,5.0,min_excess,5.0,70.0,29,5,29,0,5,0,1.0,0,,13.713331,1,-0.30357142857142855,0,,1.9732142857142858,0.3482142857142857,4.116071428571429,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.11845337001802958,-0.1546508528784648,0.0,0.30357142857142855
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,1,112,4,147,0.5432105794103793,0.6517857142857143,0.3273542600896861,2002,0.000998502246630055,0.9070213,,1.0,min_excess,1.0,72.0,29,1,29,0,1,0,1.0,0,,0.012744,1,-0.3125,0,,1.6428571428571428,0.0,0.6428571428571429,b30_lrc5e-06,5e-06,0.6994360828307511,0.8837953091684434,-0.15622550342037178,-0.2320095948827291,0.0,0.3125
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,1,112,4,142,0.5516735419208363,0.6607142857142857,0.33183856502242154,2002,0.00199700449326011,0.9247541,,3.0,min_excess,3.0,61.0,29,3,29,0,3,0,1.0,0,,0.013395,1,-0.26785714285714285,0,,2.0267857142857144,0.48214285714285715,2.294642857142857,b30_lrc5e-06,5e-06,0.6850627078056499,0.818230277185501,-0.13338916588481364,-0.1575159914712153,0.0,0.26785714285714285
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,1,112,4,126,0.5163201087274673,0.6160714285714286,0.3094170403587444,2002,0.0,0.9178479,,1.0,min_excess,1.0,33.0,29,1,29,0,1,0,1.0,0,,0.01371,1,-0.125,0,,1.2946428571428572,0.0,0.29464285714285715,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.2691897654584221,0.0,0.125
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,1,112,4,146,0.5608211311755842,0.6964285714285714,0.34977578475336324,2002,0.00199700449326011,0.9153777,,5.0,min_excess,5.0,70.0,29,5,29,0,5,0,1.0,0,,0.013936,1,-0.30357142857142855,0,,1.9732142857142858,0.3482142857142857,4.0625,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.1189467491230668,-0.16357942430703631,0.0,0.30357142857142855
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,dermmnist,L50_G50,MobileNetV3,1,tralo,1,112,4,143,0.5788164986398014,0.6875,0.3452914798206278,2001,0.0029955067398901645,0.9578354,,7.0,min_excess,7.0,63.0,29,6,29,0,6,0,1.0,0,,0.11,1,-0.2767857142857143,1,1.3125,1.3839285714285714,0.07142857142857142,0.6964285714285714,b30_lrc5e-06,5e-06,0.6994360828307511,0.8837953091684434,-0.12061958419094965,-0.1962953091684434,0.0,0.2767857142857143
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,dermmnist,L50_G50,MobileNetV3,2,tralo,1,112,4,138,0.5520523186718963,0.6607142857142857,0.33183856502242154,2001,0.0024962556165751375,0.924474,,4.0,min_excess,4.0,53.0,29,3,29,0,3,0,1.0,0,,0.11,1,-0.23214285714285715,1,1.3482142857142858,1.3482142857142858,0.0,0.3482142857142857,b30_lrc5e-06,5e-06,0.6850627078056499,0.818230277185501,-0.13301038913375363,-0.1575159914712153,0.0,0.23214285714285715
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,dermmnist,L50_G50,MobileNetV3,3,tralo,1,112,4,126,0.5163201087274673,0.6160714285714286,0.3094170403587444,2002,0.0,0.9178479,,2.0,min_excess,2.0,33.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.125,1,1.125,1.125,0.0,0.125,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.2691897654584221,0.0,0.125
results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,dermmnist,L50_G50,MobileNetV3,4,tralo,1,112,4,138,0.5609166120489655,0.7053571428571429,0.3542600896860987,2002,0.00199700449326011,0.9133616,,6.0,min_excess,6.0,54.0,29,5,29,0,5,0,1.0,0,,0.11,1,-0.23214285714285715,1,1.3482142857142858,1.4196428571428572,0.07142857142857142,0.7678571428571429,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.1188512682496855,-0.1546508528784648,0.0,0.23214285714285715
