path,dataset,model,cap,method,seed,K,count_raw,count_adj,ratio,ccF1eq,AP,macroEq,epochs_run,rows_logged,inferred_tail,n_sat,frac_sat,first_sat,n_down,n_up,held_tail,early_stop,ex_first,ex_min,ex_last,ex_rises,final_excess,final_sat,flips,sat_epoch_csv,min_excess_epoch,min_total_excess,restored_from,restore_kind,ce_skip_e,ce_skip_cfg,n_local_groups,klass,d_ccF1eq,d_AP,d_macroEq,max_run_sat,cnt_min,cnt_max,cnt_first,cnt_last,coll,rb,adjK,k3,k5,k7,cestop
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,MobileNetV3,L30_G30,tralo,1,75,42,42,0.56,0.4184615384615384,0.6369146177540105,0.7075015926393828,29,8,False,1,0.0344827586206896,2.0,1,1,False,False,335.0,0.0,99.0,3,0.0,1.0,0.0,3.0,3.0,0.0,3.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT,-0.014358974358974375,-0.11715226226076836,-0.003811016896601127,1,42.0,243.0,243.0,125.0,False,0.33-0.60,0.56,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,MobileNetV3,L30_G30,tralo,2,75,55,55,0.7333333333333333,0.4369230769230769,0.7359002455600738,0.7273981925712102,29,8,False,1,0.0344827586206896,2.0,1,1,False,False,59.0,0.0,275.0,3,0.0,1.0,0.0,3.0,3.0,0.0,3.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT,0.004102564102564155,-0.01816663445470501,0.016085583035226225,1,55.0,228.0,105.0,213.0,False,0.60-0.85,0.7333333333333333,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,MobileNetV3,L30_G30,tralo,3,75,77,75,1.0266666666666666,0.4246153846153846,0.8021110309994195,0.7255519340140391,29,7,False,0,0.0,,0,0,False,False,321.0,115.0,119.0,2,4.0,0.0,2.0,,12.0,4.0,12.0,min_excess,,False,3.0,NEVER_SAT,-0.008205128205128143,0.048044150984640654,0.014239324478055093,0,133.0,236.0,236.0,135.0,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_4,octmnist,MobileNetV3,L30_G30,tralo,4,75,77,71,1.0266666666666666,0.4246153846153846,0.7536887594602821,0.6803470159212821,29,7,False,0,0.0,,0,0,False,False,111.0,8.0,111.0,2,8.0,0.0,6.0,,10.0,8.0,10.0,min_excess,,False,3.0,NEVER_SAT,-0.008205128205128143,-0.0003781205544967081,-0.03096559361470186,0,77.0,237.0,131.0,131.0,False,1.00-1.25,0.9466666666666667,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,1,51,35,51,0.6862745098039216,0.2882882882882883,0.3954645792438441,0.271492375243205,29,29,False,1,0.0344827586206896,1.0,1,0,False,False,0.0,0.0,186.0,15,0.0,1.0,16.0,1.0,1.0,0.0,1.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT,0.019519519519519524,0.021580773707975176,-0.0903716358890374,1,,,,,False,0.60-0.85,1.0,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,2,51,55,51,1.0784313725490196,0.2342342342342342,0.3406587642309829,0.3776169236975036,29,29,False,0,0.0,,0,0,False,False,406.0,9.0,260.0,15,9.0,0.0,10.0,,11.0,9.0,11.0,min_excess,,ABSENT(default True),,NEVER_SAT,-0.03453453453453456,-0.033225041304886016,0.01575291256526118,0,,,,,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,3,51,20,51,0.392156862745098,0.1981981981981982,0.258845735436132,0.3703002524250822,29,29,False,1,0.0344827586206896,24.0,1,1,False,False,50.0,0.0,44.0,14,0.0,1.0,31.0,24.0,24.0,0.0,24.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT,-0.07057057057057056,-0.11503807009973693,0.008436241292839763,1,,,,,False,0.33-0.60,1.0,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,MobileNetV3,L30_G30,fioretto_ldf,4,51,44,51,0.8627450980392157,0.2612612612612612,0.3860343293557206,0.4145150712983469,29,29,False,3,0.1034482758620689,1.0,1,0,False,False,0.0,0.0,280.0,15,0.0,1.0,7.0,1.0,1.0,0.0,3.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT,-0.00750750750750756,0.012150523819851655,0.05265106016610449,3,,,,,False,0.85-1.00,1.0,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,1,51,35,51,0.6862745098039216,0.2882882882882883,0.3954645792438441,0.271492375243205,29,29,False,1,0.0344827586206896,1.0,1,0,False,False,0.0,0.0,226.0,15,0.0,1.0,16.0,1.0,1.0,0.0,1.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT,0.019519519519519524,0.021580773707975176,-0.0903716358890374,1,,,,,False,0.60-0.85,1.0,SAT_THEN_DRIFT,SAT_THEN_DRIFT,SAT_THEN_DRIFT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,51,80,51,1.568627450980392,0.2522522522522522,0.3616225775042386,0.4047882685544954,29,29,False,0,0.0,,0,0,False,False,406.0,58.0,184.0,18,58.0,0.0,29.0,,17.0,58.0,17.0,min_excess,,ABSENT(default True),,NEVER_SAT,-0.01651651651651659,-0.012261228031630322,0.042924257422252976,0,,,,,False,>1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,51,53,51,1.03921568627451,0.2702702702702703,0.3783671529456615,0.3676691044795339,29,29,False,0,0.0,,0,0,False,False,50.0,4.0,168.0,15,4.0,0.0,4.0,,3.0,4.0,3.0,min_excess,,ABSENT(default True),,NEVER_SAT,0.0015015015015015232,0.00448334740979256,0.005805093347291457,0,,,,,False,1.00-1.25,1.0,NEVER_SAT,NEVER_SAT,NEVER_SAT,False
