dataset,cap,model,seed,method,warmup,cepochs,K,count,count_raw,sat,AP,ccF1eq,macroEq,cls,n_pool,n_true_cls,last_epoch,ce_skip,lr,lr_constraint,stable_thr,campaign,collapsed,constraint_epochs_run
octmnist,L50_G50,MobileNetV3,4,hounie_rcl,1,29,125,125,134,0,0.43086635518190897,0.288,0.5012360138649224,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,3,hounie_rcl,1,29,125,125,132,0,0.5911626348643209,0.42133333333333334,0.5595970111795816,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,1,hounie_rcl,1,29,125,125,164,0,0.7678299227915589,0.576,0.7688154867013784,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,2,hounie_rcl,1,29,125,125,153,0,0.8095806268481923,0.6026666666666667,0.7827585427522238,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,4,tralo,1,29,125,125,144,0,0.43410640570626075,0.288,0.4892222244067912,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,3,tralo,1,29,125,125,128,0,0.5573885508163413,0.39466666666666667,0.5371969439876547,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,1,tralo,1,29,125,125,161,0,0.7718928148594085,0.5866666666666667,0.7754229768850335,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,2,tralo,1,29,125,125,151,0,0.8079092098115036,0.6026666666666667,0.7808264801215512,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,4,danits_lp,30,0,125,125,149,0,0.72638479977456,0.5226666666666666,0.7318012512635788,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,3,danits_lp,30,0,125,125,188,0,0.8262172810605988,0.608,0.7744618742888358,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,1,danits_lp,30,0,125,106,113,0,0.7580042313731934,0.56,0.740510254501105,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,2,danits_lp,30,0,125,125,191,0,0.8108231951833579,0.592,0.7730720213580264,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,4,fioretto_ldf,1,29,125,125,144,0,0.43410640570626075,0.288,0.4892222244067912,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,3,fioretto_ldf,1,29,125,125,128,0,0.5573885508163413,0.39466666666666667,0.5371969439876547,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,1,fioretto_ldf,1,29,125,125,163,0,0.7728205123149603,0.5813333333333334,0.7711889493426696,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,2,fioretto_ldf,1,29,125,125,154,0,0.8079728106236416,0.6026666666666667,0.7828051056244696,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L50_G50,MobileNetV3,4,heuristic,30,0,125,125,149,0,0.72638479977456,0.5226666666666666,0.7318012512635788,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,3,heuristic,30,0,125,125,188,0,0.8262172810605988,0.608,0.7744618742888358,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,1,heuristic,30,0,125,125,113,0,0.7580042313731934,0.56,0.740510254501105,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L50_G50,MobileNetV3,2,heuristic,30,0,125,125,191,0,0.8108231951833579,0.592,0.7730720213580264,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,4,hounie_rcl,1,29,67,67,145,0,0.5755695723460872,0.36551724137931035,0.5216392010267038,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,3,hounie_rcl,1,29,67,67,152,0,0.5836500019270765,0.3448275862068966,0.5174413575080286,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,1,hounie_rcl,1,29,67,67,154,0,0.5495148794425885,0.3586206896551724,0.4936978075472873,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,2,hounie_rcl,1,29,67,67,97,0,0.47539561398979624,0.3448275862068966,0.324650781176371,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,4,tralo,1,29,67,67,146,0,0.5680656118373475,0.3448275862068966,0.517183625840352,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,3,tralo,1,29,67,67,151,0,0.5828955536052339,0.3448275862068966,0.5186103707924771,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,1,tralo,1,29,67,67,152,0,0.549681107218592,0.3586206896551724,0.4944130770749166,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,2,tralo,1,29,67,67,97,0,0.47539561398979624,0.3448275862068966,0.324650781176371,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,4,danits_lp,30,0,67,67,182,0,0.7005271208528738,0.4,0.7070703876534047,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,3,danits_lp,30,0,67,67,153,0,0.7020126218145958,0.4068965517241379,0.7283322484106687,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,1,danits_lp,30,0,67,67,170,0,0.7013511596879296,0.4068965517241379,0.7065199143464719,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,2,danits_lp,30,0,67,67,184,0,0.640130894062552,0.38620689655172413,0.7027304869980979,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,4,fioretto_ldf,1,29,67,67,145,0,0.5746860468571985,0.3724137931034483,0.5221244954200367,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,3,fioretto_ldf,1,29,67,67,151,0,0.585420906316723,0.3586206896551724,0.520515225753191,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,1,fioretto_ldf,1,29,67,67,154,0,0.5496560924784925,0.3586206896551724,0.491982416985885,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,2,fioretto_ldf,1,29,67,67,97,0,0.47539561398979624,0.3448275862068966,0.324650781176371,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L30_G30,RegNetY400MF,4,heuristic,30,0,67,67,182,0,0.7005271208528738,0.4,0.7070703876534047,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,3,heuristic,30,0,67,67,153,0,0.7020126218145958,0.4068965517241379,0.7283322484106687,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,1,heuristic,30,0,67,67,170,0,0.7013511596879296,0.4068965517241379,0.7065199143464719,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L30_G30,RegNetY400MF,2,heuristic,30,0,67,67,184,0,0.640130894062552,0.38620689655172413,0.7027304869980979,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,4,hounie_rcl,1,29,51,51,133,0,0.4369495681964433,0.2972972972972973,0.42360330297243354,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,3,hounie_rcl,1,29,51,51,132,0,0.41321954313649967,0.3063063063063063,0.4113093780157843,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,1,hounie_rcl,1,29,51,51,133,0,0.3748917714372076,0.23423423423423423,0.36012927061813527,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,2,hounie_rcl,1,29,51,51,123,0,0.34693962624465396,0.24324324324324326,0.3560539245611453,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,4,tralo,1,29,51,51,133,0,0.4349210897825113,0.2702702702702703,0.423518368335303,4,2400,171,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,3,tralo,1,29,51,51,126,0,0.4055870762032498,0.2702702702702703,0.4073926868622042,4,2400,171,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,1,tralo,1,29,51,51,132,0,0.36679882165949684,0.25225225225225223,0.3663599030942444,4,2400,171,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,2,tralo,1,29,51,51,123,0,0.3471547545101021,0.24324324324324326,0.35423238441736327,4,2400,171,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,4,danits_lp,30,0,51,51,148,0,0.4114904495777295,0.2882882882882883,0.4287163415199384,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,3,danits_lp,30,0,51,51,210,0,0.3973471766257748,0.27927927927927926,0.4345307554005374,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,1,danits_lp,30,0,51,51,172,0,0.3815545842815669,0.2882882882882883,0.39386802048374037,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,2,danits_lp,30,0,51,51,142,0,0.3462893098101365,0.24324324324324326,0.4018759945774708,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,4,fioretto_ldf,1,29,51,51,134,0,0.4366819016100322,0.2882882882882883,0.42248983735873247,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,3,fioretto_ldf,1,29,51,51,127,0,0.4063163376000651,0.2972972972972973,0.3926908611319916,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,1,fioretto_ldf,1,29,51,51,132,0,0.36679882165949684,0.25225225225225223,0.3663599030942444,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,2,fioretto_ldf,1,29,51,51,123,0,0.34662210672393307,0.23423423423423423,0.3554388215204184,4,2400,171,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
tissuemnist,L30_G30,RegNetY400MF,4,heuristic,30,0,51,51,148,0,0.4114904495777295,0.2882882882882883,0.4287163415199384,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,3,heuristic,30,0,51,51,210,0,0.3973471766257748,0.27927927927927926,0.4345307554005374,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,1,heuristic,30,0,51,51,172,0,0.3815545842815669,0.2882882882882883,0.39386802048374037,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
tissuemnist,L30_G30,RegNetY400MF,2,heuristic,30,0,51,51,142,0,0.3462893098101365,0.24324324324324326,0.4018759945774708,4,2400,171,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,4,hounie_rcl,1,29,75,75,157,0,0.7110959870939545,0.36923076923076925,0.6873678770430419,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,3,hounie_rcl,1,29,75,75,160,0,0.7158867921942127,0.40615384615384614,0.700098005594523,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,1,hounie_rcl,1,29,75,75,160,0,0.7174580878315604,0.4,0.6969736492014222,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,2,hounie_rcl,1,29,75,75,142,0,0.6889747530528278,0.38153846153846155,0.6907062243640575,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,4,tralo,1,29,75,75,160,0,0.7064970213615076,0.36923076923076925,0.6799884966976459,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,3,tralo,1,29,75,75,160,0,0.7151561084144132,0.4,0.6980361017054503,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,1,tralo,1,29,75,75,159,0,0.7230393794404992,0.4,0.7009161360606471,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,2,tralo,1,29,75,75,141,0,0.6971942825930206,0.39384615384615385,0.6928750236414256,2,1000,250,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,4,danits_lp,30,0,75,75,163,0,0.7490056135725762,0.39384615384615385,0.7025736112196178,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,3,danits_lp,30,0,75,75,133,0,0.680427716868293,0.38153846153846155,0.7000326235061585,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,1,danits_lp,30,0,75,75,167,0,0.7130774306587018,0.4,0.6912000777355045,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,2,danits_lp,30,0,75,75,155,0,0.754518911767582,0.4123076923076923,0.7124158063974089,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,4,fioretto_ldf,1,29,75,75,162,0,0.6933487598533459,0.36923076923076925,0.6872381536793695,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,3,fioretto_ldf,1,29,75,75,160,0,0.7185508772615092,0.4,0.6953563784568287,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,1,fioretto_ldf,1,29,75,75,157,0,0.7113377084986499,0.38769230769230767,0.6934537634115829,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,2,fioretto_ldf,1,29,75,75,142,0,0.6937246552381665,0.39384615384615385,0.6935598058033292,2,1000,250,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
octmnist,L30_G30,RegNetY400MF,4,heuristic,30,0,75,75,163,0,0.7490056135725762,0.39384615384615385,0.7025736112196178,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,3,heuristic,30,0,75,75,133,0,0.680427716868293,0.38153846153846155,0.7000326235061585,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,1,heuristic,30,0,75,75,167,0,0.7130774306587018,0.4,0.6912000777355045,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
octmnist,L30_G30,RegNetY400MF,2,heuristic,30,0,75,75,155,0,0.754518911767582,0.4123076923076923,0.7124158063974089,2,1000,250,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,RegNetY400MF,4,hounie_rcl,1,29,112,111,145,0,0.5757420376227959,0.46706586826347307,0.5366147070967564,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,3,hounie_rcl,1,29,112,111,151,0,0.5849547190364013,0.48502994011976047,0.5418412414221034,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,1,hounie_rcl,1,29,112,111,154,0,0.5502245936314577,0.41916167664670656,0.49637323033390096,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,2,hounie_rcl,1,29,112,111,97,0,0.47539561398979624,0.4311377245508982,0.3383460932549501,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,4,tralo,1,29,112,111,145,0,0.5749778697129968,0.46107784431137727,0.5338621580794716,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,3,tralo,1,29,112,111,152,0,0.584660938620917,0.48502994011976047,0.5424268237698227,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,1,tralo,1,29,112,111,154,0,0.5498940065124495,0.41916167664670656,0.4991926461415467,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,2,tralo,1,29,112,111,97,0,0.47539561398979624,0.4311377245508982,0.3383460932549501,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,RegNetY400MF,4,danits_lp,30,0,112,111,182,0,0.7005271208528738,0.5508982035928144,0.7387823207767367,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,RegNetY400MF,3,danits_lp,30,0,112,111,153,0,0.7020126218145958,0.5449101796407185,0.75359961412113,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,RegNetY400MF,1,danits_lp,30,0,112,111,170,0,0.7013511596879296,0.562874251497006,0.7381695625459648,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,RegNetY400MF,2,danits_lp,30,0,112,111,184,0,0.640130894062552,0.5269461077844312,0.7260305360129392,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,RegNetY400MF,4,fioretto_ldf,1,29,112,111,145,0,0.5746860468571985,0.46706586826347307,0.5364843991704025,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
