path,dataset,cap,model,seed,method,warmup,K,cls,count_raw,AP,precAtK,recAtK,n_uniq_score,frac_score_below_1e6,max_score,sat_epoch_raw,restored_from_raw,restore_kind,min_excess_raw,min_total_excess,last_c,eval_c,n_active_total,n_sat_total,dose_active,dose_sat,dose_frac,n_transitions,first_sat_c,peak_lambda,restored,unspent,is_tralo,traj_min_over_K,traj_max_over_K,traj_range_K,cum_excess_K,AP_ce,precAtK_ce,recAtK_ce,count_raw_ce,n_uniq_score_ce,dAP,dPrecK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_2,tissuemnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,51,4,55,0.3406587642309829,0.5294117647058824,0.15789473684210525,1969,0.28708333333333336,0.99899393,,11.0,min_excess,11.0,9.0,29,11,29,0,11,0,1.0,0,,20.279484,1,-0.0784313725490196,0,,15.470588235294118,14.294117647058824,62.88235294117647,0.38482688231431644,0.6065891472868217,0.23684210526315788,262.0,1900.0,-0.04416811808333354,-0.07717738258093931
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_3,tissuemnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,51,4,20,0.25884573543613204,0.47058823529411764,0.14035087719298245,1531,0.4875,0.99938047,24.0,24.0,fully_satisfied,24.0,0.0,29,24,28,1,23,1,0.9583333333333334,2,24.0,15.221057,1,0.6078431372549019,0,,16.333333333333332,15.333333333333334,90.07843137254902,0.411828463207173,0.5691974464204286,0.22807017543859648,218.0,1539.0,-0.15298272777104094,-0.09860921112631094
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/fioretto_ldf/seed_4,tissuemnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,51,4,44,0.3860343293557206,0.5686274509803921,0.1695906432748538,2400,0.0008333333333333334,0.802076,1.0,3.0,fully_satisfied,1.0,0.0,29,3,26,3,0,3,0.0,1,1.0,15.939243,1,0.13725490196078433,0,,1.0,0.0,0.0,0.38274006452985887,0.4990880072959416,0.19883040935672514,157.0,1249.0,0.0032942648258617035,0.06953944368445053
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_1,tissuemnist,L30_G30,MobileNetV3,1,hounie_rcl,1,51,4,35,0.3954645792438441,0.6470588235294118,0.19298245614035087,2400,0.0,0.4245388,1.0,1.0,fully_satisfied,1.0,0.0,29,1,28,1,0,1,0.0,1,1.0,0.018077,1,0.3137254901960784,0,,1.0,0.0,0.0,0.39853999493550796,0.5557455540355678,0.21929824561403508,288.0,1728.0,-0.003075415691663863,0.091313269493844
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,L30_G30,MobileNetV3,2,hounie_rcl,1,51,4,80,0.36162257750423865,0.5490196078431373,0.16374269005847952,1414,0.5254166666666666,0.99998736,,17.0,min_excess,17.0,58.0,29,17,29,0,17,0,1.0,0,,0.017967,1,-0.5686274509803921,0,,13.666666666666666,11.529411764705882,99.84313725490196,0.38482688231431644,0.6065891472868217,0.23684210526315788,262.0,1900.0,-0.02320430481007779,-0.05756953944368437
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,L30_G30,MobileNetV3,3,hounie_rcl,1,51,4,53,0.37836715294566153,0.6078431372549019,0.18128654970760233,2398,0.005833333333333334,0.7250193,,3.0,min_excess,3.0,4.0,29,3,29,0,3,0,1.0,0,,0.012733,1,-0.0392156862745098,0,,2.372549019607843,1.2941176470588236,2.4313725490196076,0.411828463207173,0.5691974464204286,0.22807017543859648,218.0,1539.0,-0.033461310261511445,0.038645690834473334
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,tissuemnist,L30_G30,MobileNetV3,4,hounie_rcl,1,51,4,47,0.3808957268250199,0.5686274509803921,0.1695906432748538,2400,0.0,0.5758037,1.0,2.0,fully_satisfied,1.0,0.0,29,2,27,2,0,2,0.0,1,1.0,0.014354,1,0.0784313725490196,0,,1.0,0.0,0.0,0.38274006452985887,0.4990880072959416,0.19883040935672514,157.0,1249.0,-0.0018443377048389942,0.06953944368445053
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,L30_G30,MobileNetV3,1,tralo,1,51,4,35,0.3954645792438441,0.6470588235294118,0.19298245614035087,2400,0.0,0.4245388,2.0,2.0,fully_satisfied,2.0,0.0,29,1,28,1,0,1,0.0,1,1.0,0.05,1,0.3137254901960784,1,0.6862745098039216,0.6862745098039216,0.0,0.0,0.39853999493550796,0.5557455540355678,0.21929824561403508,288.0,1728.0,-0.003075415691663863,0.091313269493844
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,L30_G30,MobileNetV3,2,tralo,1,51,4,73,0.444779157439954,0.6862745098039216,0.2046783625730994,1351,0.5491666666666667,0.99999666,,29.0,min_excess,29.0,44.0,29,28,29,0,28,0,1.0,0,,0.11,1,-0.43137254901960786,1,1.6470588235294117,4.980392156862745,3.3333333333333335,11.431372549019608,0.38482688231431644,0.6065891472868217,0.23684210526315788,262.0,1900.0,0.059952275125637555,0.0796853625170999
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,L30_G30,MobileNetV3,3,tralo,1,51,4,36,0.3267056656925248,0.5490196078431373,0.16374269005847952,1515,0.49041666666666667,0.99996686,9.0,17.0,fully_satisfied,9.0,0.0,29,16,27,2,14,2,0.875,4,8.0,0.06,1,0.29411764705882354,1,0.5882352941176471,3.980392156862745,3.392156862745098,5.392156862745098,0.411828463207173,0.5691974464204286,0.22807017543859648,218.0,1539.0,-0.08512279751464819,-0.020177838577291274
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,L30_G30,MobileNetV3,4,tralo,1,51,4,42,0.42230281926866087,0.6274509803921569,0.1871345029239766,2347,0.07416666666666667,0.95665157,2.0,5.0,fully_satisfied,2.0,0.0,29,4,26,3,1,3,0.25,3,1.0,0.05,1,0.17647058823529413,1,0.49019607843137253,0.8235294117647058,0.3333333333333333,0.0,0.38274006452985887,0.4990880072959416,0.19883040935672514,157.0,1249.0,0.039562754738802,0.12836297309621525
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,L50_G50,MobileNetV3,1,fioretto_ldf,1,112,4,78,0.6420835526670444,0.8125,0.4080717488789238,752,0.7199201198202696,0.9999995,14.0,,nan,14.0,0.0,24,24,18,6,18,6,0.75,3,14.0,6.152846,0,0.30357142857142855,0,,4.473214285714286,3.4732142857142856,20.321428571428573,0.6994360828307511,0.8837953091684434,0.35201793721973096,184.0,763.0,-0.05735253016370667,-0.0712953091684434
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,L50_G50,MobileNetV3,2,fioretto_ldf,1,112,4,110,0.6517579261994727,0.8125,0.4080717488789238,850,0.6789815277084373,1.0,,,nan,16.0,1.0,29,29,29,0,29,0,1.0,0,,4.535734,0,0.017857142857142856,0,,3.0982142857142856,2.0892857142857144,14.366071428571429,0.6850627078056499,0.818230277185501,0.3251121076233184,198.0,1027.0,-0.033304781606177225,-0.005730277185501009
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,1,112,4,76,0.6254235776780518,0.7410714285714286,0.3721973094170404,950,0.6195706440339491,0.9999988,16.0,,nan,16.0,0.0,20,20,15,5,15,5,0.75,1,16.0,6.142482,0,0.32142857142857145,0,,4.491071428571429,3.4910714285714284,20.633928571428573,0.7056520413443165,0.8852611940298507,0.3542600896860987,167.0,804.0,-0.08022846366626468,-0.1441897654584221
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,1,112,4,97,0.635610149084322,0.8125,0.4080717488789238,868,0.673489765351972,1.0,17.0,,nan,17.0,0.0,21,21,16,5,16,5,0.7619047619047619,1,17.0,5.856017,0,0.13392857142857142,0,,3.580357142857143,2.580357142857143,18.330357142857142,0.679767880298651,0.8600079957356077,0.33856502242152464,164.0,898.0,-0.04415773121432898,-0.04750799573560771
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,1,112,4,54,0.48416291677517437,0.6428571428571429,0.32286995515695066,660,0.7598602096854717,1.0,27.0,,nan,27.0,0.0,29,29,26,3,26,3,0.896551724137931,1,27.0,0.007864,0,0.5178571428571429,0,,2.8839285714285716,1.8839285714285714,26.0625,0.6994360828307511,0.8837953091684434,0.35201793721973096,184.0,763.0,-0.21527316605557673,-0.2409381663113005
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,1,112,4,71,0.6082769508687245,0.7767857142857143,0.3901345291479821,728,0.7309036445332002,1.0,26.0,,nan,26.0,0.0,29,29,25,4,25,4,0.8620689655172413,1,26.0,0.006559,0,0.36607142857142855,0,,2.919642857142857,1.9196428571428572,21.008928571428573,0.6850627078056499,0.818230277185501,0.3251121076233184,198.0,1027.0,-0.07678575693692546,-0.04144456289978671
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,1,112,4,38,0.564949066665863,0.7232142857142857,0.3632286995515695,586,0.7903145282076884,0.9999994,21.0,,nan,21.0,0.0,25,25,20,5,20,5,0.8,1,21.0,0.006752,0,0.6607142857142857,0,,4.008928571428571,3.0089285714285716,23.776785714285715,0.7056520413443165,0.8852611940298507,0.3542600896860987,167.0,804.0,-0.1407029746784535,-0.162046908315565
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,1,112,4,52,0.5235007484841816,0.6607142857142857,0.33183856502242154,975,0.6385421867199201,0.99999547,8.0,,nan,8.0,0.0,28,28,22,6,22,6,0.7857142857142857,3,8.0,0.005601,0,0.5357142857142857,0,,3.2410714285714284,2.2410714285714284,18.098214285714285,0.679767880298651,0.8600079957356077,0.33856502242152464,164.0,898.0,-0.15626713181446938,-0.199293710021322
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,dermmnist,L50_G50,MobileNetV3,1,tralo,1,112,4,80,0.6335067813669428,0.8214285714285714,0.4125560538116592,665,0.7408886669995007,0.9999994,4.0,26.0,fully_satisfied,4.0,0.0,29,25,23,6,19,6,0.76,12,3.0,0.05,1,0.2857142857142857,1,0.7053571428571429,1.7767857142857142,1.0714285714285714,2.2857142857142856,0.6994360828307511,0.8837953091684434,0.35201793721973096,184.0,763.0,-0.06592930146380827,-0.062366737739872
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,dermmnist,L50_G50,MobileNetV3,2,tralo,1,112,4,95,0.6591550666068976,0.8125,0.4080717488789238,664,0.7578632051922117,1.0,3.0,,nan,3.0,0.0,29,29,19,10,19,10,0.6551724137931034,17,2.0,0.05,0,0.15178571428571427,1,0.6607142857142857,2.3392857142857144,1.6785714285714286,2.482142857142857,0.6850627078056499,0.818230277185501,0.3251121076233184,198.0,1027.0,-0.02590764119875233,-0.005730277185501009
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,dermmnist,L50_G50,MobileNetV3,3,tralo,1,112,4,99,0.6558994453298156,0.8125,0.4080717488789238,571,0.782326510234648,1.0,10.0,,nan,10.0,0.0,29,29,24,5,24,5,0.8275862068965517,10,9.0,0.06,0,0.11607142857142858,1,0.7321428571428571,2.5089285714285716,1.7767857142857142,3.9285714285714284,0.7056520413443165,0.8852611940298507,0.3542600896860987,167.0,804.0,-0.04975259601450088,-0.0727611940298507
