E,hard,soft,lam,sat,cep,dataset,model,cap,seed
2,178,224.14,0.05,0,1,dermmnist,RegNetY400MF,L30_G30,4
5,116,130.47,0.06,0,4,dermmnist,RegNetY400MF,L30_G30,4
10,171,177.31,0.07,0,9,dermmnist,RegNetY400MF,L30_G30,4
15,171,175.04,0.08,0,14,dermmnist,RegNetY400MF,L30_G30,4
20,196,201.03,0.09,0,19,dermmnist,RegNetY400MF,L30_G30,4
25,204,203.04,0.1,0,24,dermmnist,RegNetY400MF,L30_G30,4
30,90,91.46,0.11,0,29,dermmnist,RegNetY400MF,L30_G30,4
2,307,315.23,0.05,0,1,dermmnist,RegNetY400MF,L30_G30,3
5,185,199.82,0.06,0,4,dermmnist,RegNetY400MF,L30_G30,3
10,165,175.91,0.07,0,9,dermmnist,RegNetY400MF,L30_G30,3
15,143,148.1,0.08,0,14,dermmnist,RegNetY400MF,L30_G30,3
20,167,172.93,0.09,0,19,dermmnist,RegNetY400MF,L30_G30,3
25,192,203.51,0.1,0,24,dermmnist,RegNetY400MF,L30_G30,3
30,187,189.88,0.11,0,29,dermmnist,RegNetY400MF,L30_G30,3
2,222,262.32,0.05,0,1,dermmnist,RegNetY400MF,L30_G30,1
5,193,204.6,0.06,0,4,dermmnist,RegNetY400MF,L30_G30,1
10,189,192.27,0.07,0,9,dermmnist,RegNetY400MF,L30_G30,1
15,186,191.8,0.08,0,14,dermmnist,RegNetY400MF,L30_G30,1
20,225,224.4,0.09,0,19,dermmnist,RegNetY400MF,L30_G30,1
25,204,209.12,0.1,0,24,dermmnist,RegNetY400MF,L30_G30,1
30,151,156.51,0.11,0,29,dermmnist,RegNetY400MF,L30_G30,1
2,172,225.1,0.05,0,1,dermmnist,RegNetY400MF,L30_G30,2
5,152,168.31,0.06,0,4,dermmnist,RegNetY400MF,L30_G30,2
10,154,163.65,0.07,0,9,dermmnist,RegNetY400MF,L30_G30,2
15,191,187.32,0.08,0,14,dermmnist,RegNetY400MF,L30_G30,2
20,218,217.07,0.09,0,19,dermmnist,RegNetY400MF,L30_G30,2
25,197,200.14,0.1,0,24,dermmnist,RegNetY400MF,L30_G30,2
30,193,199.7,0.11,0,29,dermmnist,RegNetY400MF,L30_G30,2
2,215,196.03,0.05,0,1,tissuemnist,RegNetY400MF,L30_G30,4
5,171,173.1,0.06,0,4,tissuemnist,RegNetY400MF,L30_G30,4
10,255,267.44,0.07,0,9,tissuemnist,RegNetY400MF,L30_G30,4
15,212,214.3,0.08,0,14,tissuemnist,RegNetY400MF,L30_G30,4
20,184,193.04,0.09,0,19,tissuemnist,RegNetY400MF,L30_G30,4
25,242,245.1,0.1,0,24,tissuemnist,RegNetY400MF,L30_G30,4
30,194,195.66,0.11,0,29,tissuemnist,RegNetY400MF,L30_G30,4
2,158,179.78,0.05,0,1,tissuemnist,RegNetY400MF,L30_G30,3
