path,dataset,model,cap,method,seed,K,count_raw,count_adj,ratio,ccF1eq,AP,macroEq,epochs_run,rows_logged,inferred_tail,n_sat,frac_sat,first_sat,n_down,n_up,held_tail,early_stop,ex_first,ex_min,ex_last,ex_rises,final_excess,final_sat,flips,sat_epoch_csv,min_excess_epoch,min_total_excess,restored_from,restore_kind,ce_skip_e,ce_skip_cfg,n_local_groups,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,dermmnist,MobileNetV3,L50_G50,tralo,1,112,80,111,0.7142857142857143,0.5568862275449101,0.6335067813669428,0.7356062435619075,29,13,False,6,0.20689655172413793,3.0,6,6,False,False,69.0,0.0,2.0,5,0.0,1.0,31.0,4.0,4.0,0.0,26.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,dermmnist,MobileNetV3,L50_G50,tralo,2,112,95,111,0.8482142857142857,0.5449101796407185,0.6591550666068976,0.7296964057088103,29,16,False,10,0.3448275862068966,2.0,8,9,False,False,57.0,0.0,0.0,5,0.0,1.0,16.0,3.0,3.0,0.0,,,,False,3.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,dermmnist,MobileNetV3,L50_G50,tralo,3,112,99,111,0.8839285714285714,0.5508982035928144,0.6558994453298156,0.7224192154795624,29,11,False,5,0.1724137931034483,9.0,5,5,False,False,313.0,0.0,15.0,5,0.0,1.0,12.0,10.0,10.0,0.0,,,,False,3.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,dermmnist,MobileNetV3,L50_G50,tralo,4,112,66,111,0.5892857142857143,0.5389221556886228,0.6431543255398516,0.7340865626018778,29,14,False,7,0.2413793103448276,3.0,7,7,False,False,125.0,0.0,38.0,5,0.0,1.0,45.0,4.0,4.0,0.0,23.0,fully_satisfied,,False,3.0,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,octmnist,MobileNetV3,L50_G50,fioretto_ldf,1,125,108,125,0.864,0.5333333333333333,0.7215008445074367,0.7363432394430335,29,29,False,6,0.20689655172413793,2.0,4,4,False,False,236.0,0.0,120.0,11,0.0,1.0,17.0,2.0,2.0,0.0,28.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,octmnist,MobileNetV3,L50_G50,fioretto_ldf,2,125,111,125,0.888,0.6186666666666667,0.8295688576114865,0.784711012564671,29,29,False,11,0.3793103448275862,2.0,5,6,True,False,6.0,0.0,0.0,10,0.0,1.0,14.0,2.0,2.0,0.0,,,26.0,ABSENT(default True),,OSC_THEN_LOCK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,octmnist,MobileNetV3,L50_G50,fioretto_ldf,3,125,111,125,0.888,0.5653333333333334,0.7651043720875812,0.7401553927277432,29,29,False,1,0.034482758620689655,26.0,1,1,False,False,222.0,0.0,88.0,12,0.0,1.0,14.0,26.0,26.0,0.0,26.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,125,117,125,0.936,0.592,0.8121980585359813,0.7789671003792058,29,29,False,7,0.2413793103448276,5.0,3,4,False,False,12.0,0.0,0.0,10,0.0,1.0,8.0,5.0,5.0,0.0,,,26.0,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,octmnist,MobileNetV3,L50_G50,hounie_rcl,1,125,96,125,0.768,0.5973333333333334,0.7869481365119021,0.7278064789015896,29,29,False,3,0.10344827586206896,2.0,3,3,False,False,236.0,0.0,144.0,14,0.0,1.0,29.0,2.0,2.0,0.0,13.0,fully_satisfied,29.0,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,octmnist,MobileNetV3,L50_G50,hounie_rcl,2,125,113,125,0.904,0.6133333333333333,0.8264072779293988,0.7766215903763518,29,29,False,2,0.06896551724137931,2.0,1,1,False,False,6.0,0.0,60.0,14,0.0,1.0,12.0,2.0,2.0,0.0,3.0,fully_satisfied,,ABSENT(default True),,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,octmnist,MobileNetV3,L50_G50,hounie_rcl,3,125,86,125,0.688,0.5706666666666667,0.7534063613721464,0.73790534964568,29,29,False,4,0.13793103448275862,11.0,3,4,False,False,222.0,0.0,0.0,12,0.0,1.0,39.0,11.0,11.0,0.0,,,26.0,ABSENT(default True),,SAT_THEN_DRIFT
