campaign,dataset,model,cap,seed,K,gated,gate_ep,n_off,n_rows,satisfied,first_sat,n_sat,exc_final,exc_min,soft_final,soft_min,raw_count,lam_peak_ep,lam_max,lam_final,lam_still_rising,overshoot_final,undercount_raw,tail4,tail5,tail7,tail9,tail11,tail13,ratio_after_lampeak,npts_after_lampeak,ratio_before_lampeak
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,1,67,1,21.0,8,29,1,26.0,3,0.0,0.0,27.21641400000008,27.21641400000008,16,25,0.015795,0.015408,0,0.5937848656716406,0.7611940298507462,1.0,1.0,1.0,1.0,0.6839543193169304,0.5386632400806198,1.0,4.0,0.21506851619134995
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,2,67,1,15.0,10,25,1,20.0,5,0.0,0.0,11.052204000000096,11.052204000000096,5,18,0.010066,0.008991,0,0.8350417313432822,0.9253731343283582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.34932037634843166
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,3,67,1,13.0,8,21,1,16.0,5,0.0,0.0,17.14332700000005,17.14332700000005,8,15,0.008937,0.008109,0,0.7441294477611933,0.8805970149253731,1.0,1.0,1.0,1.0,1.0,0.6188484196429235,1.0,6.0,0.396827062098178
lrc1e-4,dermmnist,RegNetY400MF,L30_G30,4,67,1,15.0,11,26,1,21.0,5,0.0,0.0,12.564468999999754,12.564468999999754,9,20,0.0113,0.01032,0,0.8124706119403022,0.8656716417910447,1.0,1.0,1.0,1.0,1.0,0.6953974607865014,1.0,6.0,0.24977553494773388
lrc1e-4,octmnist,RegNetY400MF,L30_G30,1,75,0,,0,29,0,,0,163.0,63.0,165.587,111.42499999999987,107,28,0.026427,0.026427,1,-1.2078266666666666,-0.4266666666666667,0.005531857479424669,0.2327931332671443,0.23766729562508293,0.04340589524833575,0.03352151172358513,0.015069277765655734,,,0.018089020099048086
lrc1e-4,octmnist,RegNetY400MF,L30_G30,2,75,1,28.0,1,29,0,,0,237.0,65.0,190.659,110.32199999999999,108,28,0.028363,0.028363,1,-1.54212,-0.44,0.08028463144868186,0.23813593221571677,0.17556461863378925,0.07261392376979976,0.02048549010232647,0.0018959770940733432,,,0.004502541267674859
lrc1e-4,octmnist,RegNetY400MF,L30_G30,3,75,1,28.0,1,29,0,,0,63.0,63.0,112.86400000000003,112.86400000000003,69,28,0.025368,0.025368,1,-0.5048533333333338,0.08,0.7100458796781645,0.8521003034659022,0.06776308941396837,0.09382292447880618,0.16682598260447487,0.0035558202694481768,,,0.11590616670745922
lrc1e-4,octmnist,RegNetY400MF,L30_G30,4,75,0,,0,29,0,,0,73.0,67.0,112.18899999999992,112.18899999999992,94,28,0.028196,0.028196,1,-0.4958533333333323,-0.25333333333333335,0.42636553293716334,0.3014211243537884,0.5597780897727733,0.0527720021344332,0.1432945674554932,0.05421054618201065,,,0.08683689888150238
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,1,51,0,,0,29,0,,0,140.0,104.0,126.13440000000017,110.13359999999997,103,28,0.016624,0.016624,1,-1.473223529411768,-1.0196078431372548,0.01784140537788125,0.12243862319981752,0.049277504711926455,0.15302145394863095,0.1422844036352848,0.11977449364107384,,,0.028519805660736107
lrc1e-4,tissuemnist,RegNetY400MF,L30_G30,2,51,0,,0,29,0,,0,226.0,100.0,169.47359999999946,125.64479999999985,101,28,0.015842,0.015842,1,-2.3230117647058717,-0.9803921568627451,0.18962772785622253,0.12239099965908201,0.22944354588939952,0.029830515085911804,0.0004444603749246651,0.03352977584026353,,,0.018045851911666928
