Epoch,hard,soft,lam,sat,lg,cep,dataset,model,cap,seed
20,300,304.61,0.06,0,0.759251,19,tissuemnist,MobileNetV3,L50_G50,2
25,144,149.96,0.06,0,0.319587,24,tissuemnist,MobileNetV3,L50_G50,2
28,58,59.67,0.06,1,0.0,27,tissuemnist,MobileNetV3,L50_G50,2
30,95,97.96,0.06,0,0.022585,29,tissuemnist,MobileNetV3,L50_G50,2
2,131,148.23,0.05,0,0.016183,1,octmnist,MobileNetV3,L50_G50,4
5,76,86.47,0.06,1,0.0,4,octmnist,MobileNetV3,L50_G50,4
10,157,157.3,0.06,0,0.063458,9,octmnist,MobileNetV3,L50_G50,4
11,87,85.9,0.06,1,0.0,10,octmnist,MobileNetV3,L50_G50,4
14,122,119.07,0.06,1,0.0,13,octmnist,MobileNetV3,L50_G50,4
15,280,282.94,0.06,0,0.541817,14,octmnist,MobileNetV3,L50_G50,4
20,144,147.99,0.06,0,0.035875,19,octmnist,MobileNetV3,L50_G50,4
25,163,162.21,0.06,0,0.08045,24,octmnist,MobileNetV3,L50_G50,4
30,168,169.97,0.06,0,0.109976,29,octmnist,MobileNetV3,L50_G50,4
2,236,209.42,0.05,0,0.098472,1,octmnist,MobileNetV3,L50_G50,3
5,176,177.31,0.06,0,0.140286,4,octmnist,MobileNetV3,L50_G50,3
8,113,110.2,0.06,1,0.0,7,octmnist,MobileNetV3,L50_G50,3
10,168,166.45,0.06,0,0.166843,9,octmnist,MobileNetV3,L50_G50,3
15,107,107.66,0.06,1,0.0,14,octmnist,MobileNetV3,L50_G50,3
19,111,108.36,0.06,1,0.0,18,octmnist,MobileNetV3,L50_G50,3
20,214,214.67,0.06,0,0.545247,19,octmnist,MobileNetV3,L50_G50,3
24,112,112.48,0.06,1,0.0,23,octmnist,MobileNetV3,L50_G50,3
25,205,202.48,0.06,0,0.447983,24,octmnist,MobileNetV3,L50_G50,3
26,108,112.85,0.06,1,0.0,25,octmnist,MobileNetV3,L50_G50,3
30,143,137.74,0.06,0,0.021463,29,octmnist,MobileNetV3,L50_G50,3
2,243,208.91,0.05,0,0.097737,1,octmnist,MobileNetV3,L50_G50,1
3,53,86.88,0.05,1,0.0,2,octmnist,MobileNetV3,L50_G50,1
5,145,152.98,0.05,0,0.030045,4,octmnist,MobileNetV3,L50_G50,1
10,161,158.94,0.05,0,0.04066,9,octmnist,MobileNetV3,L50_G50,1
15,134,136.28,0.05,0,0.00778,14,octmnist,MobileNetV3,L50_G50,1
19,102,105.49,0.05,1,0.0,18,octmnist,MobileNetV3,L50_G50,1
20,136,136.63,0.05,0,0.008115,19,octmnist,MobileNetV3,L50_G50,1
23,118,119.13,0.05,1,0.0,22,octmnist,MobileNetV3,L50_G50,1
25,161,160.19,0.05,0,0.043026,24,octmnist,MobileNetV3,L50_G50,1
28,98,97.41,0.05,1,0.0,27,octmnist,MobileNetV3,L50_G50,1
30,120,123.07,0.05,1,0.0,29,octmnist,MobileNetV3,L50_G50,1
2,105,151.14,0.05,1,0.019122,1,octmnist,MobileNetV3,L50_G50,2
3,47,88.22,0.05,1,0.0,2,octmnist,MobileNetV3,L50_G50,2
4,111,127.0,0.05,1,0.000895,3,octmnist,MobileNetV3,L50_G50,2
5,116,123.96,0.05,1,0.0,4,octmnist,MobileNetV3,L50_G50,2
8,105,107.84,0.05,1,0.0,7,octmnist,MobileNetV3,L50_G50,2
9,112,114.66,0.05,1,0.0,8,octmnist,MobileNetV3,L50_G50,2
10,147,150.65,0.05,0,0.025239,9,octmnist,MobileNetV3,L50_G50,2
15,180,179.78,0.05,0,0.081897,14,octmnist,MobileNetV3,L50_G50,2
20,113,112.72,0.05,1,0.0,19,octmnist,MobileNetV3,L50_G50,2
22,99,103.95,0.05,1,0.0,21,octmnist,MobileNetV3,L50_G50,2
25,121,120.54,0.05,1,0.0,24,octmnist,MobileNetV3,L50_G50,2
30,163,163.92,0.05,0,0.048433,29,octmnist,MobileNetV3,L50_G50,2
2,178,224.14,0.05,0,0.246595,1,dermmnist,RegNetY400MF,L30_G30,4
5,116,130.47,0.06,0,0.419965,4,dermmnist,RegNetY400MF,L30_G30,4
10,171,177.31,0.07,0,1.545648,9,dermmnist,RegNetY400MF,L30_G30,4
15,171,175.04,0.08,0,2.658889,14,dermmnist,RegNetY400MF,L30_G30,4
20,196,201.03,0.09,0,4.458534,19,dermmnist,RegNetY400MF,L30_G30,4
25,204,203.04,0.1,0,6.271848,24,dermmnist,RegNetY400MF,L30_G30,4
30,90,91.46,0.11,0,1.233695,29,dermmnist,RegNetY400MF,L30_G30,4
2,307,315.23,0.05,0,0.272396,1,dermmnist,RegNetY400MF,L30_G30,3
5,185,199.82,0.06,0,0.699141,4,dermmnist,RegNetY400MF,L30_G30,3
10,165,175.91,0.07,0,1.535018,9,dermmnist,RegNetY400MF,L30_G30,3
15,143,148.1,0.08,0,2.191028,14,dermmnist,RegNetY400MF,L30_G30,3
20,167,172.93,0.09,0,3.981834,19,dermmnist,RegNetY400MF,L30_G30,3
25,192,203.51,0.1,0,6.280228,24,dermmnist,RegNetY400MF,L30_G30,3
30,187,189.88,0.11,0,7.971645,29,dermmnist,RegNetY400MF,L30_G30,3
2,222,262.32,0.05,0,0.260908,1,dermmnist,RegNetY400MF,L30_G30,1
5,193,204.6,0.06,0,0.708876,4,dermmnist,RegNetY400MF,L30_G30,1
10,189,192.27,0.07,0,1.64454,9,dermmnist,RegNetY400MF,L30_G30,1
15,186,191.8,0.08,0,2.856875,14,dermmnist,RegNetY400MF,L30_G30,1
20,225,224.4,0.09,0,4.717514,19,dermmnist,RegNetY400MF,L30_G30,1
25,204,209.12,0.1,0,6.37581,24,dermmnist,RegNetY400MF,L30_G30,1
30,151,156.51,0.11,0,6.631576,29,dermmnist,RegNetY400MF,L30_G30,1
2,172,225.1,0.05,0,0.247056,1,dermmnist,RegNetY400MF,L30_G30,2
5,152,168.31,0.06,0,0.611378,4,dermmnist,RegNetY400MF,L30_G30,2
10,154,163.65,0.07,0,1.430136,9,dermmnist,RegNetY400MF,L30_G30,2
15,191,187.32,0.08,0,2.809384,14,dermmnist,RegNetY400MF,L30_G30,2
20,218,217.07,0.09,0,4.646275,19,dermmnist,RegNetY400MF,L30_G30,2
25,197,200.14,0.1,0,6.218443,24,dermmnist,RegNetY400MF,L30_G30,2
30,193,199.7,0.11,0,8.240572,29,dermmnist,RegNetY400MF,L30_G30,2
2,215,196.03,0.05,0,0.259479,1,tissuemnist,RegNetY400MF,L30_G30,4
5,171,173.1,0.06,0,0.746493,4,tissuemnist,RegNetY400MF,L30_G30,4
10,255,267.44,0.07,0,2.004732,9,tissuemnist,RegNetY400MF,L30_G30,4
15,212,214.3,0.08,0,3.353055,14,tissuemnist,RegNetY400MF,L30_G30,4
20,184,193.04,0.09,0,4.936075,19,tissuemnist,RegNetY400MF,L30_G30,4
25,242,245.1,0.1,0,7.291022,24,tissuemnist,RegNetY400MF,L30_G30,4
30,194,195.66,0.11,0,9.197686,29,tissuemnist,RegNetY400MF,L30_G30,4
2,158,179.78,0.05,0,0.251921,1,tissuemnist,RegNetY400MF,L30_G30,3
5,165,177.97,0.06,0,0.754949,4,tissuemnist,RegNetY400MF,L30_G30,3
10,151,165.95,0.07,0,1.766631,9,tissuemnist,RegNetY400MF,L30_G30,3
15,193,207.0,0.08,0,3.324603,14,tissuemnist,RegNetY400MF,L30_G30,3
20,140,143.94,0.09,0,4.283393,19,tissuemnist,RegNetY400MF,L30_G30,3
25,143,151.46,0.1,0,6.196142,24,tissuemnist,RegNetY400MF,L30_G30,3
30,176,177.96,0.11,0,8.903877,29,tissuemnist,RegNetY400MF,L30_G30,3
2,145,173.72,0.05,0,0.248504,1,tissuemnist,RegNetY400MF,L30_G30,1
5,309,266.28,0.06,0,0.831495,4,tissuemnist,RegNetY400MF,L30_G30,1
10,162,177.78,0.07,0,1.819848,9,tissuemnist,RegNetY400MF,L30_G30,1
15,198,196.58,0.08,0,3.27752,14,tissuemnist,RegNetY400MF,L30_G30,1
20,285,289.51,0.09,0,5.331365,19,tissuemnist,RegNetY400MF,L30_G30,1
25,131,135.18,0.1,0,5.701948,24,tissuemnist,RegNetY400MF,L30_G30,1
30,128,136.22,0.11,0,7.615475,29,tissuemnist,RegNetY400MF,L30_G30,1
2,209,199.18,0.05,0,0.260721,1,tissuemnist,RegNetY400MF,L30_G30,2
5,123,141.9,0.06,0,0.667429,4,tissuemnist,RegNetY400MF,L30_G30,2
10,142,147.1,0.07,0,1.650132,9,tissuemnist,RegNetY400MF,L30_G30,2
15,235,242.64,0.08,0,3.437392,14,tissuemnist,RegNetY400MF,L30_G30,2
20,235,232.01,0.09,0,5.163556,19,tissuemnist,RegNetY400MF,L30_G30,2
