dataset,model,cap,method,seed,nrows,max_ep0,ce_skip_in_cfg,path,epochs_run,dense,n_ce_off,ce_off_ep,nan_suffix,frac_ce_off,first_sat,train_acc_max,train_acc_final,tralo_would_gate
octmnist,MobileNetV3,L50_G50,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,29,True,1,29.0,True,0.034482758620689655,2.0,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,29,True,0,,False,0.0,2.0,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,29,True,4,26.0,True,0.13793103448275862,11.0,,,
octmnist,MobileNetV3,L50_G50,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,29,True,7,23.0,True,0.2413793103448276,8.0,,,
octmnist,MobileNetV3,L50_G50,tralo,1,11,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,30,False,0,,False,0.0,3.0,0.9962,0.9902,True
octmnist,MobileNetV3,L50_G50,tralo,2,12,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,30,False,0,,False,0.0,2.0,0.9962,0.9951,True
octmnist,MobileNetV3,L50_G50,tralo,3,11,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,30,False,0,,False,0.0,8.0,0.9962,0.9962,True
octmnist,MobileNetV3,L50_G50,tralo,4,9,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,30,False,0,,False,0.0,5.0,0.9943,0.9939,False
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,29,True,2,28.0,True,0.06896551724137931,1.0,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,29,True,0,,False,0.0,11.0,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,1,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2,29,True,0,,False,0.0,,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,3,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L50_G50,hounie_rcl,4,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4,29,True,0,,False,0.0,1.0,,,
tissuemnist,MobileNetV3,L50_G50,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,30,False,0,,False,0.0,2.0,0.9958,0.9958,True
tissuemnist,MobileNetV3,L50_G50,tralo,2,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,30,False,0,,False,0.0,5.0,0.9926,0.9926,False
tissuemnist,MobileNetV3,L50_G50,tralo,3,4,5,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,5,False,0,,False,0.0,2.0,0.7893,0.7893,False
tissuemnist,MobileNetV3,L50_G50,tralo,4,9,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,30,False,0,,False,0.0,2.0,0.9942,0.9942,False
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,1,21,20,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1,21,True,7,15.0,True,0.3333333333333333,17.0,,,
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,2,19,18,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2,19,True,6,14.0,True,0.3157894736842105,15.0,,,
dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,3,20,19,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3,20,True,7,14.0,True,0.35,16.0,,,
