dataset,model,cap,seed,method,K,raw_count,max_epoch,log_rows,warmup,cep,AP,ccF1eq,k_used,TP,n_true,fill,AP_ce,ccF1eq_ce,TP_ce,raw_ce,AP_ce_lp,ccF1eq_ce_lp,TP_ce_lp,raw_ce_lp,dAP,dcc
dermmnist,RegNetY400MF,L50_G50,1,fioretto_ldf,112,91,19.0,20,1,29,0.6183982790447494,0.49700598802395207,111,83,223,0.8125,0.7013511596879296,0.562874251497006,94,170,0.7013511596879296,0.562874251497006,94,170,-0.08295288064318018,-0.06586826347305391
dermmnist,RegNetY400MF,L50_G50,2,fioretto_ldf,112,69,21.0,22,1,29,0.618833706892146,0.49101796407185627,111,82,223,0.6160714285714286,0.640130894062552,0.5269461077844312,88,184,0.640130894062552,0.5269461077844312,88,184,-0.021297187170405962,-0.03592814371257491
tissuemnist,RegNetY400MF,L50_G50,4,hounie_rcl,86,102,28.0,29,1,29,0.3541704193938009,0.32684824902723736,86,42,171,1.186046511627907,0.4114904495777295,0.3735408560311284,48,148,0.4114904495777295,0.3735408560311284,48,148,-0.057320030183928616,-0.04669260700389105
tissuemnist,RegNetY400MF,L50_G50,3,hounie_rcl,86,93,28.0,29,1,29,0.4244925949660376,0.35797665369649806,86,46,171,1.0813953488372092,0.3973471766257748,0.35019455252918286,45,210,0.3973471766257748,0.35019455252918286,45,210,0.027145418340262795,0.007782101167315203
tissuemnist,RegNetY400MF,L50_G50,1,hounie_rcl,86,81,28.0,29,1,29,0.3585065445090276,0.311284046692607,86,40,171,0.9418604651162791,0.3815545842815669,0.3424124513618677,44,172,0.3815545842815669,0.3424124513618677,44,172,-0.02304803977253933,-0.0311284046692607
tissuemnist,RegNetY400MF,L50_G50,2,hounie_rcl,86,101,28.0,29,1,29,0.41595866292658606,0.35797665369649806,86,46,171,1.1744186046511629,0.3462893098101365,0.32684824902723736,42,142,0.3462893098101365,0.32684824902723736,42,142,0.06966935311644956,0.0311284046692607
tissuemnist,RegNetY400MF,L50_G50,4,tralo,86,91,30.0,7,1,29,0.3578201538927332,0.35797665369649806,86,46,171,1.058139534883721,0.4114904495777295,0.3735408560311284,48,148,0.4114904495777295,0.3735408560311284,48,148,-0.053670295684996316,-0.01556420233463035
tissuemnist,RegNetY400MF,L50_G50,3,tralo,86,82,30.0,7,1,29,0.333484059597683,0.311284046692607,86,40,171,0.9534883720930233,0.3973471766257748,0.35019455252918286,45,210,0.3973471766257748,0.35019455252918286,45,210,-0.06386311702809178,-0.03891050583657585
tissuemnist,RegNetY400MF,L50_G50,1,tralo,86,100,30.0,7,1,29,0.3974722289625047,0.35797665369649806,86,46,171,1.1627906976744187,0.3815545842815669,0.3424124513618677,44,172,0.3815545842815669,0.3424124513618677,44,172,0.015917644680937815,0.01556420233463035
tissuemnist,RegNetY400MF,L50_G50,2,tralo,86,114,30.0,7,1,29,0.4229122626676135,0.3346303501945525,86,43,171,1.3255813953488371,0.3462893098101365,0.32684824902723736,42,142,0.3462893098101365,0.32684824902723736,42,142,0.076622952857477,0.0077821011673151474
