dataset,model,cap,seed,dir,K,budget,warm,cep,last_ep,n_rows,truncated,n_sat,n_gsat,ever_sat,first_sat,last_sat,r_last,r_min,r_max,r_first,cnt_last,cnt_min,cross,cross_grid,swing_all,swing_grid,above_all,above_grid,n_grid,lam_last,lam_first,ce_last,ce_first,soft_last,raw_cnt,sat_ep_ev,best_sat_ep,min_exc_ep,min_exc,restored_ep,restore_kind,raw_exc,flips,raw_all_sat,unspent
octmnist,RegNetY400MF,L30_G30,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_3,75.0,30,1,29,30.0,7,0,0,0,0,,,1.8933333333333333,1.68,2.9466666666666668,2.88,142.0,126.0,0,0,0.7377777777777778,0.7173333333333333,1.0,1.0,6,0.11,0.05,0.022022,0.478893,145.32,126,,,10.0,101.0,,nan,101.0,51.0,0.0,-51.0
octmnist,RegNetY400MF,L30_G30,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_4,75.0,30,1,29,30.0,7,0,0,0,0,,,2.6666666666666665,1.24,2.6666666666666665,2.506666666666667,200.0,93.0,0,0,0.4533333333333333,0.5226666666666667,1.0,1.0,6,0.11,0.05,0.023351,0.455922,201.69,89,,,8.0,27.0,8.0,min_excess,27.0,14.0,0.0,-14.0
tissuemnist,RegNetY400MF,L30_G30,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_1,51.0,30,1,29,30.0,7,0,0,0,0,,,2.5098039215686274,2.5098039215686274,6.0588235294117645,2.843137254901961,128.0,128.0,0,0,1.9313725490196079,1.6745098039215687,1.0,1.0,6,0.11,0.05,0.038481,1.12025,136.22,105,,,17.0,108.0,17.0,min_excess,108.0,54.0,0.0,-54.0
tissuemnist,RegNetY400MF,L30_G30,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_2,51.0,30,1,29,30.0,7,0,0,0,0,,,6.196078431372549,2.411764705882353,6.196078431372549,4.098039215686274,316.0,123.0,0,0,1.3692810457516338,1.3058823529411763,1.0,1.0,6,0.11,0.05,0.040804,1.173995,310.51,123,,,5.0,144.0,5.0,min_excess,144.0,72.0,0.0,-72.0
tissuemnist,RegNetY400MF,L30_G30,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_3,51.0,30,1,29,30.0,7,0,0,0,0,,,3.450980392156863,2.7450980392156863,3.784313725490196,3.0980392156862746,176.0,140.0,0,0,0.4967320261437908,0.5686274509803921,1.0,1.0,6,0.11,0.05,0.034039,1.160072,177.96,111,,,4.0,120.0,4.0,min_excess,120.0,60.0,0.0,-60.0
tissuemnist,RegNetY400MF,L30_G30,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_4,51.0,30,1,29,30.0,7,0,0,0,0,,,3.803921568627451,3.3529411764705883,5.0,4.215686274509804,194.0,171.0,0,0,0.9967320261437909,1.023529411764706,1.0,1.0,6,0.11,0.05,0.045378,1.097908,195.66,136,,,28.0,170.0,28.0,min_excess,170.0,85.0,0.0,-85.0
dermmnist,RegNetY400MF,L50_G50,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_1,112.0,30,1,29,30.0,7,0,0,0,0,,,1.2321428571428572,1.2321428571428572,1.9821428571428572,1.9821428571428572,138.0,138.0,0,0,0.1994047619047619,0.2089285714285714,1.0,1.0,6,0.11,0.05,0.009108,0.469585,138.3,114,,,17.0,8.0,,nan,7.0,9.0,0.0,-2.0
dermmnist,RegNetY400MF,L50_G50,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_2,112.0,30,1,29,30.0,7,0,0,0,0,,,1.8214285714285714,1.1785714285714286,1.8571428571428572,1.5357142857142858,204.0,132.0,0,0,0.28273809523809523,0.3339285714285714,1.0,1.0,6,0.11,0.05,0.016269,0.497525,212.03,132,,,20.0,41.0,20.0,min_excess,41.0,21.0,0.0,-20.0
dermmnist,RegNetY400MF,L50_G50,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_3,112.0,30,1,29,30.0,7,0,0,0,0,,,2.294642857142857,1.4732142857142858,2.7410714285714284,2.7410714285714284,257.0,165.0,0,0,0.4851190476190476,0.32857142857142857,1.0,1.0,6,0.11,0.05,0.004565,0.486292,256.62,116,,,4.0,12.0,4.0,min_excess,12.0,15.0,0.0,-4.0
dermmnist,RegNetY400MF,L50_G50,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_4,112.0,30,1,29,30.0,7,0,0,0,0,,,1.3928571428571428,1.2053571428571428,2.232142857142857,1.5892857142857142,156.0,135.0,0,0,0.39285714285714285,0.3946428571428572,1.0,1.0,6,0.11,0.05,0.010219,0.450824,161.22,112,,,11.0,15.0,,nan,4.0,7.0,0.0,0.0
octmnist,RegNetY400MF,L50_G50,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_1,125.0,30,1,29,30.0,8,0,1,1,1,16.0,16.0,2.04,0.88,2.04,1.136,255.0,110.0,2,0,0.392,0.3584,0.875,1.0,6,0.08,0.05,0.011734,0.453289,251.94,110,16.0,16.0,16.0,0.0,16.0,fully_satisfied,0.0,15.0,1.0,15.0
octmnist,RegNetY400MF,L50_G50,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_2,125.0,30,1,29,30.0,9,0,3,3,1,7.0,30.0,0.88,0.856,1.904,1.464,110.0,107.0,5,1,0.405,0.2432,0.6666666666666666,0.8333333333333334,6,0.06,0.05,0.023276,0.451029,107.48,108,7.0,30.0,7.0,0.0,,nan,0.0,17.0,1.0,17.0
octmnist,RegNetY400MF,L50_G50,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_3,125.0,30,1,29,30.0,8,0,1,1,1,4.0,4.0,1.184,0.872,1.728,1.728,148.0,109.0,2,0,0.44114285714285717,0.3808,0.875,1.0,6,0.05,0.05,0.018497,0.478893,152.56,109,4.0,4.0,4.0,0.0,4.0,fully_satisfied,0.0,16.0,1.0,16.0
octmnist,RegNetY400MF,L50_G50,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/tralo/seed_4,125.0,30,1,29,30.0,9,0,3,4,1,8.0,22.0,1.128,0.608,2.24,1.504,141.0,76.0,6,2,0.553,0.4688,0.5555555555555556,0.6666666666666666,6,0.06,0.05,0.017271,0.455922,139.56,112,8.0,22.0,8.0,0.0,,nan,0.0,13.0,1.0,13.0
tissuemnist,RegNetY400MF,L50_G50,1,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_1,86.0,30,1,29,30.0,7,0,0,0,0,,,2.395348837209302,1.686046511627907,3.511627906976744,1.686046511627907,206.0,145.0,0,0,0.7848837209302325,0.713953488372093,1.0,1.0,6,0.11,0.05,0.036044,1.12025,208.41,100,,,6.0,28.0,6.0,min_excess,28.0,26.0,0.0,-14.0
tissuemnist,RegNetY400MF,L50_G50,2,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_2,86.0,30,1,29,30.0,7,0,0,0,0,,,2.895348837209302,1.697674418604651,2.941860465116279,2.4302325581395348,249.0,146.0,0,0,0.44961240310077516,0.4093023255813954,1.0,1.0,6,0.11,0.05,0.042677,1.173995,248.09,114,,,3.0,56.0,3.0,min_excess,56.0,42.0,0.0,-28.0
tissuemnist,RegNetY400MF,L50_G50,3,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_3,86.0,30,1,29,30.0,7,0,0,0,0,,,1.5930232558139534,1.2093023255813953,2.488372093023256,1.8372093023255813,137.0,104.0,0,0,0.44379844961240306,0.46279069767441855,1.0,1.0,6,0.11,0.05,0.038951,1.160072,141.85,82,,,7.0,3.0,7.0,min_excess,3.0,10.0,0.0,4.0
tissuemnist,RegNetY400MF,L50_G50,4,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_4,86.0,30,1,29,30.0,7,0,0,0,0,,,2.744186046511628,1.5813953488372092,2.813953488372093,2.5,236.0,136.0,0,0,0.436046511627907,0.5046511627906977,1.0,1.0,6,0.11,0.05,0.032707,1.097908,237.16,91,,,11.0,11.0,11.0,min_excess,11.0,11.0,0.0,-5.0
