path,dataset,model,cap,method,seed,NCE,max_e_logged,rows,E_lit,maxrun_lit,n_sat_lit,E_inf,maxrun_inf,n_sat_inf,inferred_tail,early_stop,first_sat,sat_epoch_csv,final_sat_csv,flips,enable_ce_skip_cfg,n_sat_epochs_logged,sat_epochs_with_CE_off,sat_epochs_with_zero_cstr,sat_epochs_fully_frozen,ce_skip_first_e,cnt_min,cnt_max
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_4,tissuemnist,RegNetY400MF,L30_G30,hounie_rcl,4,29,29,29,29,0,0,29,0,0,False,False,,,0.0,36.0,ABSENT->default True,0,0,0,0,,,
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,RegNetY400MF,L30_G30,tralo,1,29,29,7,29,0,0,29,0,0,False,False,,,0.0,53.0,True,0,0,0,0,,132.0,210.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,RegNetY400MF,L30_G30,tralo,2,29,29,7,29,0,0,29,0,0,False,False,,,0.0,84.0,True,0,0,0,0,,135.0,225.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,RegNetY400MF,L30_G30,tralo,3,29,29,7,29,0,0,29,0,0,False,False,,,0.0,59.0,True,0,0,0,0,,110.0,201.0
results/headroom/headroom_b30_lrc5e-05/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,RegNetY400MF,L30_G30,tralo,4,29,29,7,29,0,0,29,0,0,False,False,,,0.0,50.0,True,0,0,0,0,,133.0,227.0
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,1,29,21,21,21,5,5,21,5,5,False,True,17.0,17.0,1.0,41.0,ABSENT->default True,5,5,5,5,13.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,2,29,29,29,29,0,0,29,0,0,False,False,,,0.0,21.0,ABSENT->default True,0,0,0,0,14.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,3,29,20,20,20,5,5,20,5,5,False,True,16.0,16.0,1.0,32.0,ABSENT->default True,5,5,5,5,13.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_4,dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,29,20,20,20,5,5,20,5,5,False,True,16.0,16.0,1.0,26.0,ABSENT->default True,5,5,5,5,13.0,,
results/headroom/headroom_b30_lrc5e-05/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_1,dermmnist,RegNetY400MF,L50_G50,hounie_rcl,1,29,24,24,24,5,5,24,5,5,False,True,20.0,20.0,1.0,71.0,ABSENT->default True,5,5,0,0,13.0,,
