dataset,model,cap,seed,method,dir,n_log_rows,max_cep,excess_first,excess_last,excess_min,first_sat_cep,n_sat_rows,lam_last,ce_last,hard_first,hard_last,hard_min,soft_first,soft_last,soft_minus_hard_last,lam_max,tracc_last,tracc_first
tissuemnist,RegNetY400MF,L30_G30,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_1,7,29.0,,,,,0,0.11,0.038481,145.0,128.0,128.0,173.72,136.22,8.219999999999999,0.11,0.9878,0.5881
tissuemnist,RegNetY400MF,L30_G30,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_2,7,29.0,,,,,0,0.11,0.040804,209.0,316.0,123.0,199.18,310.51,-5.490000000000009,0.11,0.9861,0.5672
tissuemnist,RegNetY400MF,L30_G30,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_4,29,29.0,328.0,442.0,112.0,,0,20.499089,0.02624,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_3,29,29.0,214.0,206.0,54.0,,0,18.468748,0.038038,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_1,29,29.0,188.0,262.0,46.0,,0,21.250313,0.033934,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/fioretto_ldf/seed_2,29,29.0,316.0,238.0,100.0,,0,18.932156,0.043934,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_4,29,29.0,225.0,73.0,67.0,,0,,0.022512,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_3,29,29.0,281.0,63.0,63.0,,0,,,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_1,29,29.0,133.0,163.0,63.0,,0,,0.01766,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_2,29,29.0,215.0,237.0,65.0,,0,,,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_4,7,29.0,,,,,0,0.11,0.023351,188.0,200.0,93.0,198.73,201.69,1.6899999999999977,0.11,0.992,0.823
octmnist,RegNetY400MF,L30_G30,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_3,7,29.0,,,,,0,0.11,0.022022,216.0,142.0,126.0,216.11,145.32,3.319999999999993,0.11,0.9922,0.8063
octmnist,RegNetY400MF,L30_G30,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_1,7,29.0,,,,,0,0.11,0.020307,142.0,159.0,140.0,150.92,166.75,7.75,0.11,0.9935,0.8193
octmnist,RegNetY400MF,L30_G30,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/tralo/seed_2,7,29.0,,,,,0,0.11,0.020363,183.0,146.0,129.0,195.96,147.68,1.6800000000000068,0.11,0.9929,0.8204
octmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_4,29,29.0,225.0,187.0,103.0,,0,13.515015,0.014206,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_3,29,29.0,281.0,235.0,61.0,,0,14.73422,0.016873,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_1,29,29.0,133.0,255.0,99.0,,0,15.7655,0.019601,,,,,,,,,
octmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_2,29,29.0,215.0,0.0,0.0,29.0,1,12.276099,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_4,26,26.0,133.0,0.0,0.0,22.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_3,26,26.0,391.0,0.0,0.0,22.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_1,24,24.0,221.0,0.0,0.0,20.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/hounie_rcl/seed_2,29,29.0,121.0,0.0,0.0,25.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_4,7,29.0,,,,,0,0.11,0.010219,178.0,156.0,135.0,224.14,161.22,5.219999999999999,0.11,0.9974,0.8442
dermmnist,RegNetY400MF,L50_G50,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_3,7,29.0,,,,,0,0.11,0.004565,307.0,257.0,165.0,315.23,256.62,-0.37999999999999545,0.11,0.9988,0.833
dermmnist,RegNetY400MF,L50_G50,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_1,7,29.0,,,,,0,0.11,0.009108,222.0,138.0,138.0,262.32,138.3,0.30000000000001137,0.11,0.9975,0.8372
dermmnist,RegNetY400MF,L50_G50,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/tralo/seed_2,7,29.0,,,,,0,0.11,0.016269,172.0,204.0,132.0,225.1,212.03,8.030000000000001,0.11,0.9946,0.826
dermmnist,RegNetY400MF,L50_G50,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_4,19,19.0,133.0,0.0,0.0,15.0,5,4.862887,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_3,21,21.0,391.0,0.0,0.0,17.0,5,6.6591,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_1,20,20.0,221.0,0.0,0.0,16.0,5,6.337145,,,,,,,,,,
dermmnist,RegNetY400MF,L50_G50,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/dermmnist/L50_G50/fioretto_ldf/seed_2,22,22.0,121.0,0.0,0.0,18.0,5,5.997639,,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_4,29,29.0,258.0,58.0,32.0,,0,,0.027941,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_3,29,29.0,144.0,266.0,14.0,,0,,0.047957,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_1,29,29.0,118.0,192.0,3.0,,0,,0.038055,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/hounie_rcl/seed_2,29,29.0,246.0,286.0,30.0,,0,,0.025739,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_4,7,29.0,,,,,0,0.11,0.032707,215.0,236.0,136.0,196.03,237.16,1.1599999999999966,0.11,0.9884,0.6085
tissuemnist,RegNetY400MF,L50_G50,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_3,7,29.0,,,,,0,0.11,0.038951,158.0,137.0,104.0,179.78,141.85,4.849999999999994,0.11,0.987,0.5814
tissuemnist,RegNetY400MF,L50_G50,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_1,7,29.0,,,,,0,0.11,0.036044,145.0,206.0,145.0,173.72,208.41,2.4099999999999966,0.11,0.9875,0.5881
tissuemnist,RegNetY400MF,L50_G50,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/tralo/seed_2,7,29.0,,,,,0,0.11,0.042677,209.0,249.0,146.0,199.18,248.09,-0.9099999999999966,0.11,0.9864,0.5672
tissuemnist,RegNetY400MF,L50_G50,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_4,29,29.0,258.0,158.0,42.0,,0,14.240368,0.02796,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_3,29,29.0,144.0,398.0,0.0,3.0,1,13.275712,0.04708,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_1,29,29.0,118.0,156.0,0.0,5.0,1,15.469774,0.023788,,,,,,,,,
tissuemnist,RegNetY400MF,L50_G50,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/tissuemnist/L50_G50/fioretto_ldf/seed_2,29,29.0,246.0,290.0,30.0,,0,15.134693,0.037579,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_4,29,29.0,126.0,9.0,2.0,,0,,0.022195,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_3,29,29.0,182.0,158.0,0.0,3.0,2,,0.018624,,,,,,,,,
octmnist,RegNetY400MF,L50_G50,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane3/RegNetY400MF/octmnist/L50_G50/hounie_rcl/seed_1,29,29.0,34.0,114.0,20.0,,0,,0.016883,,,,,,,,,
