path,dataset,model,cap,method,seed,cls,n_pool,K_cfg,count_raw,E,max_e,inferred,nrows,n_sat,first_sat,n_down,s,sat_epoch_csv,restore_kind,gp_raw,K,key,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,2,4,2400,,80,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_2,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,3,4,2400,,53,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_3,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,tissuemnist,MobileNetV3,L30_G30,hounie_rcl,4,4,2400,,47,29,29,False,29,2,1.0,1,11000000000000000000000000000,1.0,fully_satisfied,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/hounie_rcl/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,tissuemnist,MobileNetV3,L30_G30,tralo,1,4,2400,,35,29,29,False,7,1,1.0,1,10000000000000000000000000000,2.0,fully_satisfied,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,tissuemnist,MobileNetV3,L30_G30,tralo,2,4,2400,,73,29,29,False,7,0,,0,00000000000000000000000000000,,min_excess,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_2,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,tissuemnist,MobileNetV3,L30_G30,tralo,3,4,2400,,36,29,29,False,9,2,8.0,2,00000001000000010000000000000,9.0,fully_satisfied,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_3,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,tissuemnist,MobileNetV3,L30_G30,tralo,4,4,2400,,42,29,29,False,8,3,1.0,2,10110000000000000000000000000,2.0,fully_satisfied,0.3,51,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/tissuemnist/L30_G30/tralo/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,4,2003,,78,24,24,False,24,6,14.0,1,000000000000010000011111,14.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,OSC_THEN_LOCK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,4,2003,,110,29,29,False,29,0,,0,00000000000000000000000000000,,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,4,2003,,76,20,20,False,20,5,16.0,0,00000000000000011111,16.0,,0.5,112,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,LOCK_AND_HOLD
