dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
octmnist,L50_G50,MobileNetV3,3,tralo,30.0,1,29,125,125,108,0.8145282858354329,0.5973333333333334,0.5973333333333334,0.7798023054399704,0.9264405732374469,0.9266666666666666,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3
octmnist,L50_G50,MobileNetV3,1,tralo,30.0,1,29,125,125,103,0.7709309982736356,0.576,0.576,0.7270758304154319,0.8531961260235558,0.8533333333333334,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1
octmnist,L50_G50,MobileNetV3,2,tralo,30.0,1,29,125,125,99,0.7560338499848368,0.544,0.544,0.7354825864860565,0.8851313513376754,0.8853333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2
octmnist,L50_G50,MobileNetV3,4,fioretto_ldf,28.0,1,29,125,125,117,0.8121980585359813,0.592,0.592,0.7789671003792058,0.9253228730107366,0.9253333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4
octmnist,L50_G50,MobileNetV3,3,fioretto_ldf,28.0,1,29,125,125,111,0.7651043720875812,0.5653333333333334,0.5653333333333334,0.7401553927277432,0.8830681071722878,0.8813333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3
octmnist,L50_G50,MobileNetV3,1,fioretto_ldf,28.0,1,29,125,125,108,0.7215008445074367,0.5333333333333333,0.5333333333333333,0.7363432394430335,0.8972741057792032,0.8973333333333333,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1
octmnist,L50_G50,MobileNetV3,2,fioretto_ldf,28.0,1,29,125,125,111,0.8295688576114865,0.6186666666666667,0.6186666666666667,0.784711012564671,0.9121595304788581,0.912,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2
dermmnist,L30_G30,RegNetY400MF,4,hounie_rcl,25.0,1,29,67,67,9,0.34403368993858147,0.2827586206896552,0.2827586206896552,0.5804516055245933,0.6711379404977643,0.8629213483146068,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_4
dermmnist,L30_G30,RegNetY400MF,3,hounie_rcl,20.0,1,29,67,67,8,0.37381258850952215,0.2689655172413793,0.2689655172413793,0.6097409135685086,0.698794372817669,0.8814606741573033,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_3
dermmnist,L30_G30,RegNetY400MF,1,hounie_rcl,28.0,1,29,67,67,16,0.5090260122722069,0.3586206896551724,0.3586206896551724,0.6489867752201384,0.7289160687074343,0.9,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_1
dermmnist,L30_G30,RegNetY400MF,2,hounie_rcl,24.0,1,29,67,67,5,0.36470269415610734,0.2413793103448276,0.2413793103448276,0.6157227653644753,0.7230017097633697,0.8825842696629214,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_2
dermmnist,L30_G30,RegNetY400MF,4,tralo,30.0,1,29,67,67,90,0.6007235320556298,0.3931034482758621,0.3931034482758621,0.7029446374348323,0.7836102703605358,0.9078651685393259,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4
dermmnist,L30_G30,RegNetY400MF,3,tralo,30.0,1,29,67,67,96,0.6039074658861605,0.4068965517241379,0.4068965517241379,0.6103296415670602,0.6771572172519257,0.8887640449438202,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3
dermmnist,L30_G30,RegNetY400MF,1,tralo,30.0,1,29,67,67,124,0.6965820998089212,0.43448275862068964,0.43448275862068964,0.6977928217742075,0.7738693831992466,0.9129213483146067,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1
dermmnist,L30_G30,RegNetY400MF,2,tralo,30.0,1,29,67,67,152,0.6376213629758776,0.38620689655172413,0.38620689655172413,0.6503114442823917,0.7357725857231175,0.903370786516854,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2
dermmnist,L30_G30,RegNetY400MF,4,fioretto_ldf,28.0,1,29,67,67,52,0.5004014913308018,0.3448275862068966,0.3448275862068966,0.6777103272506845,0.772506761783672,0.9095505617977528,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4
dermmnist,L30_G30,RegNetY400MF,3,fioretto_ldf,19.0,1,29,67,67,51,0.6063083218708846,0.4,0.4,0.6362610526390272,0.7082611476758336,0.8910112359550562,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3
dermmnist,L30_G30,RegNetY400MF,1,fioretto_ldf,20.0,1,29,67,67,21,0.5673747534459136,0.4,0.4,0.6447995230044238,0.725848161162285,0.8887640449438202,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1
dermmnist,L30_G30,RegNetY400MF,2,fioretto_ldf,18.0,1,29,67,67,51,0.5571203326042151,0.3586206896551724,0.3586206896551724,0.6689971169303742,0.7523466139912666,0.9011235955056179,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2
tissuemnist,L30_G30,RegNetY400MF,4,hounie_rcl,28.0,1,29,51,51,105,0.3562319557558725,0.2882882882882883,0.2882882882882883,0.42042992399966916,0.46197895386101223,0.5648272768057425,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_4
tissuemnist,L30_G30,RegNetY400MF,3,hounie_rcl,28.0,1,29,51,51,86,0.4429713849593309,0.2702702702702703,0.2702702702702703,0.426064875901248,0.47337022262403894,0.6025123373710184,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_3
tissuemnist,L30_G30,RegNetY400MF,1,hounie_rcl,28.0,1,29,51,51,103,0.3865354881989905,0.27927927927927926,0.27927927927927926,0.40561815923953803,0.4469612593839461,0.5554060116644235,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_1
