path,dataset,model,cap,method,seed,warmup,cepochs,sct,ce_skip_cfg,n_rows,n_repeat_hdr,max_e,first_e,E,inferred_tail,n_sat,first_sat,n_down,held_tail,n_local_groups,ex_first,ex_min,sat_epoch_csv,sat_epoch_present,sat_epoch_raw,min_total_excess,min_excess_epoch,best_sat_epoch,restored_from,off_sched_unsat,off_sched_sat,missing_sched,obs_frac
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,octmnist,MobileNetV3,L50_G50,fioretto_ldf,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,7,5.0,3,False,,12.0,0.0,5.0,True,5.0,0.0,5.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,octmnist,MobileNetV3,L50_G50,hounie_rcl,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,3,2.0,3,False,,236.0,0.0,2.0,True,2,0.0,2.0,,13.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,octmnist,MobileNetV3,L50_G50,hounie_rcl,2,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,2,2.0,1,False,,6.0,0.0,2.0,True,2,0.0,2.0,,3.0,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,octmnist,MobileNetV3,L50_G50,hounie_rcl,3,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,4,11.0,3,False,,222.0,0.0,11.0,True,11.0,0.0,11.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,octmnist,MobileNetV3,L50_G50,hounie_rcl,4,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,4,8.0,2,False,,12.0,0.0,8.0,True,8.0,0.0,8.0,,,0,0,0,1.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,octmnist,MobileNetV3,L50_G50,tralo,1,1,29,ABSENT(5),False,11,0,29,1,29,False,4,2.0,4,False,3.0,236.0,0.0,3.0,True,3.0,0.0,3.0,,,0,4,0,0.3793103448275862
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,octmnist,MobileNetV3,L50_G50,tralo,2,1,29,ABSENT(5),False,12,0,29,1,29,False,7,2.0,4,False,3.0,6.0,0.0,3.0,True,3,0.0,3.0,,22.0,0,5,0,0.41379310344827586
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,octmnist,MobileNetV3,L50_G50,tralo,3,1,29,ABSENT(5),False,11,0,29,1,29,False,5,7.0,5,False,3.0,222.0,0.0,8.0,True,8,0.0,8.0,,26.0,0,4,0,0.3793103448275862
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,octmnist,MobileNetV3,L50_G50,tralo,4,1,29,ABSENT(5),False,9,0,29,1,29,False,3,4.0,3,False,3.0,12.0,0.0,5.0,True,5,0.0,5.0,,14.0,0,2,0,0.3103448275862069
results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,tissuemnist,MobileNetV3,L50_G50,fioretto_ldf,1,1,29,ABSENT(5),ABSENT(True),29,0,29,1,29,False,1,1.0,1,False,,0.0,0.0,1.0,True,1.0,0.0,1.0,,,0,0,0,1.0
