method,dataset,backbone,cap,seed,ce_skip,max_epoch,n_rows,n_nan,first_nan,ce_col,missing
hounie_rcl,dermmnist,RegNetY400MF,L50_G50,3,UNSET,25.0,26,10,16.0,ce_loss,False
hounie_rcl,dermmnist,RegNetY400MF,L50_G50,1,UNSET,23.0,24,10,14.0,ce_loss,False
hounie_rcl,dermmnist,RegNetY400MF,L50_G50,2,UNSET,28.0,29,11,18.0,ce_loss,False
tralo,dermmnist,RegNetY400MF,L50_G50,4,False,30.0,7,0,,L_CE,False
tralo,dermmnist,RegNetY400MF,L50_G50,3,False,30.0,7,0,,L_CE,False
tralo,dermmnist,RegNetY400MF,L50_G50,1,False,30.0,7,0,,L_CE,False
tralo,dermmnist,RegNetY400MF,L50_G50,2,False,30.0,7,0,,L_CE,False
fioretto_ldf,dermmnist,RegNetY400MF,L50_G50,4,UNSET,18.0,19,6,13.0,ce_loss,False
fioretto_ldf,dermmnist,RegNetY400MF,L50_G50,3,UNSET,20.0,21,8,13.0,ce_loss,False
fioretto_ldf,dermmnist,RegNetY400MF,L50_G50,1,UNSET,19.0,20,6,14.0,ce_loss,False
fioretto_ldf,dermmnist,RegNetY400MF,L50_G50,2,UNSET,21.0,22,6,16.0,ce_loss,False
hounie_rcl,tissuemnist,RegNetY400MF,L50_G50,4,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,RegNetY400MF,L50_G50,3,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,RegNetY400MF,L50_G50,1,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,tissuemnist,RegNetY400MF,L50_G50,2,UNSET,28.0,29,0,,ce_loss,False
tralo,tissuemnist,RegNetY400MF,L50_G50,4,False,30.0,7,0,,L_CE,False
tralo,tissuemnist,RegNetY400MF,L50_G50,3,False,30.0,7,0,,L_CE,False
tralo,tissuemnist,RegNetY400MF,L50_G50,1,False,30.0,7,0,,L_CE,False
tralo,tissuemnist,RegNetY400MF,L50_G50,2,False,30.0,7,0,,L_CE,False
fioretto_ldf,tissuemnist,RegNetY400MF,L50_G50,4,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,RegNetY400MF,L50_G50,3,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,RegNetY400MF,L50_G50,1,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,tissuemnist,RegNetY400MF,L50_G50,2,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L50_G50,4,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L50_G50,3,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L50_G50,1,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,octmnist,RegNetY400MF,L50_G50,2,UNSET,28.0,29,0,,ce_loss,False
tralo,octmnist,RegNetY400MF,L50_G50,4,False,30.0,9,0,,L_CE,False
tralo,octmnist,RegNetY400MF,L50_G50,3,False,30.0,8,0,,L_CE,False
tralo,octmnist,RegNetY400MF,L50_G50,1,False,30.0,8,0,,L_CE,False
tralo,octmnist,RegNetY400MF,L50_G50,2,False,30.0,9,0,,L_CE,False
fioretto_ldf,octmnist,RegNetY400MF,L50_G50,4,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,RegNetY400MF,L50_G50,3,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,RegNetY400MF,L50_G50,1,UNSET,28.0,29,0,,ce_loss,False
fioretto_ldf,octmnist,RegNetY400MF,L50_G50,2,UNSET,28.0,29,0,,ce_loss,False
hounie_rcl,dermmnist,MobileNetV3,L30_G30,4,UNSET,26.0,27,13,14.0,ce_loss,False
