backbone,dataset,constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,satisfied_pct
EfficientNetB0,tissuemnist,L70_G70,heuristic,4,0.43105,0.027829,11.25,4.2647,0.539575,50.0
EfficientNetB0,tissuemnist,L80_G80,tralo,4,0.439825,0.01379,15.75,11.987,0.5399,100.0
EfficientNetB0,tissuemnist,L80_G80,tralo_bounded,4,0.445225,0.019434,18.75,13.6634,0.5466,100.0
EfficientNetB0,tissuemnist,L80_G80,fioretto_ldf,4,0.44355,0.012235,7.0,2.1213,0.54375,100.0
EfficientNetB0,tissuemnist,L80_G80,hounie_rcl,4,0.440925,0.013803,14.5,12.4197,0.540525,100.0
EfficientNetB0,tissuemnist,L80_G80,danits_lp,4,0.4313,0.026443,0.75,0.8292,0.539675,75.0
EfficientNetB0,tissuemnist,L80_G80,heuristic,4,0.43155,0.0295,20.75,5.8896,0.539775,75.0
EfficientNetB0,dermmnist,L20_G20,tralo,4,0.7311,0.009572,1.0,0.7071,0.84345,100.0
EfficientNetB0,dermmnist,L20_G20,tralo_bounded,4,0.728825,0.008884,11.25,2.681,0.84145,100.0
EfficientNetB0,dermmnist,L20_G20,fioretto_ldf,4,0.728925,0.009421,10.5,3.2016,0.841075,75.0
EfficientNetB0,dermmnist,L20_G20,hounie_rcl,4,0.724625,0.009998,13.75,3.562,0.8411,100.0
EfficientNetB0,dermmnist,L20_G20,danits_lp,4,0.727075,0.01369,155.75,36.9755,0.845325,0.0
EfficientNetB0,dermmnist,L20_G20,heuristic,4,0.72655,0.014008,155.75,36.9755,0.8452,0.0
EfficientNetB0,dermmnist,L30_G30,tralo,4,0.749225,0.013914,1.5,1.5,0.854075,100.0
EfficientNetB0,dermmnist,L30_G30,tralo_bounded,4,0.751525,0.012934,10.25,3.7666,0.8532,50.0
EfficientNetB0,dermmnist,L30_G30,fioretto_ldf,4,0.750825,0.012392,9.0,5.7879,0.85245,75.0
EfficientNetB0,dermmnist,L30_G30,hounie_rcl,4,0.752125,0.01363,16.75,4.603,0.853575,100.0
EfficientNetB0,dermmnist,L30_G30,danits_lp,4,0.747075,0.013549,133.75,36.9755,0.8547,0.0
EfficientNetB0,dermmnist,L30_G30,heuristic,4,0.7472,0.013334,133.75,36.9755,0.85495,0.0
EfficientNetB0,dermmnist,L50_G50,tralo,4,0.772925,0.013152,5.25,5.2619,0.87045,100.0
EfficientNetB0,dermmnist,L50_G50,tralo_bounded,4,0.77475,0.01439,11.25,4.1458,0.871325,50.0
EfficientNetB0,dermmnist,L50_G50,fioretto_ldf,4,0.774725,0.011931,11.25,5.7609,0.870825,50.0
EfficientNetB0,dermmnist,L50_G50,hounie_rcl,4,0.77495,0.012759,18.5,3.8406,0.870575,100.0
EfficientNetB0,dermmnist,L50_G50,danits_lp,4,0.77755,0.010531,89.75,36.9755,0.8707,0.0
EfficientNetB0,dermmnist,L50_G50,heuristic,4,0.7771,0.010946,89.75,36.9755,0.87045,0.0
EfficientNetB0,dermmnist,L70_G70,tralo,4,0.7949,0.011503,5.25,1.299,0.88195,100.0
EfficientNetB0,dermmnist,L70_G70,tralo_bounded,4,0.795325,0.011649,13.75,3.2692,0.8822,100.0
EfficientNetB0,dermmnist,L70_G70,fioretto_ldf,4,0.795225,0.010462,16.25,3.562,0.8822,100.0
EfficientNetB0,dermmnist,L70_G70,hounie_rcl,4,0.793275,0.01445,14.25,2.586,0.881575,100.0
EfficientNetB0,dermmnist,L70_G70,danits_lp,4,0.7909,0.010644,47.5,32.9128,0.877575,25.0
EfficientNetB0,dermmnist,L70_G70,heuristic,4,0.792275,0.009514,50.25,29.0635,0.8787,25.0
EfficientNetB0,dermmnist,L80_G80,tralo,4,0.79485,0.010967,6.75,2.3848,0.88295,100.0
EfficientNetB0,dermmnist,L80_G80,tralo_bounded,4,0.796675,0.011142,13.0,2.9155,0.884075,100.0
EfficientNetB0,dermmnist,L80_G80,fioretto_ldf,4,0.7955,0.010251,14.5,5.0249,0.88395,100.0
EfficientNetB0,dermmnist,L80_G80,hounie_rcl,4,0.7957,0.00953,13.5,4.3875,0.88395,100.0
EfficientNetB0,dermmnist,L80_G80,danits_lp,4,0.793975,0.009646,32.0,25.3476,0.880325,25.0
EfficientNetB0,dermmnist,L80_G80,heuristic,4,0.79645,0.008984,41.25,17.297,0.8822,25.0
