constrained_class,constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
2,L50_G50,hounie_rcl,4,0.737225,0.009631,39.7500,5.5000,0.846325,0.004151,100.00
2,L50_G50,heuristic,4,0.738250,0.013993,104.0000,26.5832,0.846200,0.004143,0.00
2,L50_G50,danits_lp,4,0.737900,0.014128,104.0000,26.5832,0.846450,0.003753,0.00
2,L70_G70,tralo,4,0.772950,0.005741,3.7500,1.8930,0.865825,0.002136,100.00
2,L70_G70,tralo_bounded,4,0.772700,0.007108,16.5000,3.3166,0.865575,0.001548,100.00
2,L70_G70,fioretto_ldf,4,0.773850,0.007022,15.5000,4.4347,0.866075,0.003010,100.00
2,L70_G70,hounie_rcl,4,0.775400,0.009514,29.5000,8.3467,0.866075,0.002175,100.00
2,L70_G70,heuristic,4,0.761850,0.013223,60.5000,25.6840,0.860200,0.002915,0.00
2,L70_G70,danits_lp,4,0.759950,0.014717,60.2500,26.1327,0.859825,0.002926,0.00
2,L80_G80,tralo,4,0.781400,0.006038,3.5000,3.7859,0.869950,0.001323,100.00
2,L80_G80,tralo_bounded,4,0.782950,0.004579,13.7500,4.1932,0.870450,0.002062,100.00
2,L80_G80,fioretto_ldf,4,0.783450,0.004734,14.2500,1.5000,0.870450,0.001848,75.00
2,L80_G80,hounie_rcl,4,0.781425,0.005380,23.7500,6.2383,0.869700,0.002646,100.00
2,L80_G80,heuristic,4,0.765350,0.016249,43.5000,18.8591,0.862950,0.004481,0.00
2,L80_G80,danits_lp,4,0.763675,0.015583,41.2500,22.6035,0.862325,0.004110,0.00
