path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,details
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,BasicNN,0.9_0.8,5e-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,198,True,True,0.733,"Converged at epoch 198. Global loss: 0.001686, Local loss: 0.063637"
BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,BasicNN,0.9_0.8,5e-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,174,True,True,0.7059,Both constraints satisfied at epoch 174
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.5_0.3,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,216,True,True,0.586,Both constraints satisfied at epoch 216
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.5_0.3,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,184,True,True,0.586,"Converged at epoch 184. Global loss: 0.045231, Local loss: 0.609823"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.5_0.3,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,217,True,True,0.6041,"Converged at epoch 217. Global loss: 0.088127, Local loss: 0.496886"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.5_0.3,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,201,True,True,0.5882,Both constraints satisfied at epoch 201
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.5_0.3,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,171,True,True,0.5566,"Converged at epoch 171. Global loss: 0.113374, Local loss: 0.501485"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.5_0.3,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,198,True,True,0.5792,"Converged at epoch 198. Global loss: 0.067630, Local loss: 0.479990"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.5_0.3,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,171,True,True,0.5633,"Converged at epoch 171. Global loss: 0.034192, Local loss: 0.801817"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.5_0.3,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,178,True,True,0.5475,"Converged at epoch 178. Global loss: 0.022682, Local loss: 0.890549"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.5_0.3,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,156,True,True,0.5995,"Converged at epoch 156. Global loss: 0.307628, Local loss: 0.308816"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.5_0.3,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,178,True,True,0.5407,"Converged at epoch 178. Global loss: 0.185835, Local loss: 0.497133"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.5_0.3,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,182,True,True,0.552,"Converged at epoch 182. Global loss: 0.086214, Local loss: 0.606905"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.5_0.3,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,163,True,True,0.5724,"Converged at epoch 163. Global loss: 0.119692, Local loss: 0.671652"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.5_0.3,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,195,True,True,0.5995,"Converged at epoch 195. Global loss: 0.090706, Local loss: 0.718010"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.5_0.3,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,329,True,True,0.5882,"Converged at epoch 329. Global loss: 0.016050, Local loss: 0.788188"
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.5_0.3,5e-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,261,True,True,0.6131,Both constraints satisfied at epoch 261
FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.5_0.3,5e-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,303,True,True,0.6063,Both constraints satisfied at epoch 303
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.8_0.2,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,True,,"Reached max epochs without both constraints satisfied. Global loss: 0.224546, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,408,True,True,0.5792,Both constraints satisfied at epoch 408
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,584,True,True,0.5747,"Converged at epoch 584. Global loss: 0.019488, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,638,True,True,0.5633,"Converged at epoch 638. Global loss: 0.018910, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,283,True,True,0.5611,"Converged at epoch 283. Global loss: 0.115854, Local loss: 0.004942"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,204,True,True,0.5498,"Converged at epoch 204. Global loss: 0.325672, Local loss: 0.002455"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,336,True,True,0.543,"Converged at epoch 336. Global loss: 0.085616, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,258,True,True,0.5498,"Converged at epoch 258. Global loss: 0.121717, Local loss: 0.000035"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,291,True,True,0.5452,"Converged at epoch 291. Global loss: 0.183968, Local loss: 0.000728"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,285,True,True,0.5181,"Converged at epoch 285. Global loss: 0.220880, Local loss: 0.001339"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,260,True,True,0.5339,"Converged at epoch 260. Global loss: 0.204257, Local loss: 0.005843"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,311,True,True,0.5588,"Converged at epoch 311. Global loss: 0.262962, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.8_0.2,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,837,True,True,0.5633,"Converged at epoch 837. Global loss: 0.032409, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.8_0.2,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,342,True,True,0.5611,Both constraints satisfied at epoch 342
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.8_0.2,5e-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,762,True,True,0.5701,Both constraints satisfied at epoch 762
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.8_0.2,5e-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,875,True,True,0.5724,"Converged at epoch 875. Global loss: 0.024966, Local loss: 0.000000"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.9_0.8,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,89,True,True,0.7059,"Converged at epoch 89. Global loss: 0.005138, Local loss: 0.028698"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.9_0.8,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,77,True,True,0.724,"Converged at epoch 77. Global loss: 0.027020, Local loss: 0.122961"
FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.9_0.8,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,81,True,True,0.7104,Both constraints satisfied at epoch 81
