ds,tight,method,seed,F1m,Acc,ECE,Brier,Flips,Sat%,SatEp,Time
dermmnist,L20_G20,tralo_bounded,1,0.6898,0.8263,0.1476,0.3159,9.0,1.0,71.0,23.7639
dermmnist,L20_G20,tralo_bounded,2,0.7149,0.8328,0.1473,0.3102,13.0,1.0,71.0,23.6362
dermmnist,L20_G20,tralo_bounded,3,0.7139,0.8362,0.1359,0.2913,9.0,0.0,,66.8863
dermmnist,L20_G20,tralo_bounded,4,0.6996,0.8228,0.1613,0.3407,18.0,1.0,70.0,23.004
dermmnist,L30_G30,danits_lp,1,0.7335,0.8437,0.1047,0.2319,129.0,0.0,,0.5157
dermmnist,L30_G30,danits_lp,2,0.7098,0.8437,0.108,0.2387,132.0,0.0,,0.5215
dermmnist,L30_G30,danits_lp,3,0.74,0.8532,0.0908,0.2199,141.0,0.0,,0.5144
dermmnist,L30_G30,danits_lp,4,0.7064,0.8437,0.1012,0.2354,144.0,0.0,,0.3911
dermmnist,L30_G30,fioretto_ldf,1,0.7152,0.8392,0.1348,0.291,12.0,1.0,17.0,19.9377
dermmnist,L30_G30,fioretto_ldf,2,0.7285,0.8392,0.1351,0.2862,11.0,0.0,,64.4452
dermmnist,L30_G30,fioretto_ldf,3,0.7374,0.8487,0.1236,0.2749,9.0,0.0,,64.1239
dermmnist,L30_G30,fioretto_ldf,4,0.7409,0.8452,0.1341,0.29,12.0,1.0,16.0,18.9048
dermmnist,L30_G30,heuristic,1,0.7335,0.8437,0.1047,0.2319,129.0,0.0,,0.491
dermmnist,L30_G30,heuristic,2,0.7096,0.8437,0.108,0.2387,132.0,0.0,,0.4741
dermmnist,L30_G30,heuristic,3,0.74,0.8532,0.0908,0.2199,141.0,0.0,,0.4679
dermmnist,L30_G30,heuristic,4,0.7064,0.8437,0.1012,0.2354,144.0,0.0,,0.3417
dermmnist,L30_G30,hounie_rcl,1,0.7205,0.8422,0.1307,0.2852,9.0,1.0,49.0,46.9493
dermmnist,L30_G30,hounie_rcl,2,0.7369,0.8432,0.1413,0.3027,31.0,1.0,59.0,54.2613
dermmnist,L30_G30,hounie_rcl,3,0.7325,0.8462,0.1276,0.2805,18.0,1.0,46.0,44.0099
dermmnist,L30_G30,hounie_rcl,4,0.7321,0.8412,0.139,0.3003,15.0,1.0,49.0,46.5312
dermmnist,L30_G30,tralo,1,0.7217,0.8447,0.1265,0.274,0.0,1.0,67.0,26.3312
dermmnist,L30_G30,tralo,2,0.7372,0.8422,0.1381,0.2955,21.0,1.0,70.0,236.4084
dermmnist,L30_G30,tralo,3,0.7333,0.8457,0.1277,0.2775,10.0,1.0,67.0,239.9141
dermmnist,L30_G30,tralo,4,0.7281,0.8442,0.1312,0.2799,1.0,1.0,65.0,28.536
dermmnist,L30_G30,tralo_bounded,1,0.7205,0.8422,0.1295,0.2813,4.0,1.0,67.0,20.6786
dermmnist,L30_G30,tralo_bounded,2,0.7405,0.8452,0.1343,0.2861,14.0,0.0,,66.3481
dermmnist,L30_G30,tralo_bounded,3,0.7417,0.8492,0.1245,0.2682,9.0,0.0,,64.631
dermmnist,L30_G30,tralo_bounded,4,0.736,0.8452,0.1338,0.2839,5.0,1.0,65.0,18.7562
dermmnist,L50_G50,danits_lp,1,0.7576,0.8582,0.1047,0.2319,85.0,0.0,,0.5201
dermmnist,L50_G50,danits_lp,2,0.7337,0.8522,0.108,0.2387,88.0,0.0,,0.5219
dermmnist,L50_G50,danits_lp,3,0.7684,0.8677,0.0908,0.2199,97.0,0.0,,0.5186
dermmnist,L50_G50,danits_lp,4,0.7289,0.8542,0.1012,0.2354,100.0,0.0,,0.3925
dermmnist,L50_G50,fioretto_ldf,1,0.7586,0.8612,0.1088,0.2462,8.0,1.0,13.0,16.3797
dermmnist,L50_G50,fioretto_ldf,2,0.7562,0.8592,0.1173,0.2556,11.0,0.0,,61.052
dermmnist,L50_G50,fioretto_ldf,3,0.7776,0.8652,0.1081,0.2397,12.0,1.0,12.0,15.7746
dermmnist,L50_G50,fioretto_ldf,4,0.7652,0.8642,0.1113,0.2467,8.0,1.0,10.0,15.2707
