ds,model,cls,grp,tight,L,G,method,seed,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,phase
aider,MobileNetV3,0,synth_group,L50_G20,50,20,heuristic,3,0.8007,0.902,0.9235,0.0101,0.0206,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,danits_lp,1,0.8878,0.9414,0.9479,0.0134,0.0309,60.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,danits_lp,2,0.8895,0.9439,0.9504,0.0123,0.0225,52.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,danits_lp,3,0.8924,0.9431,0.9496,0.0101,0.0206,52.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,danits_lp,4,0.9029,0.9465,0.9529,0.0106,0.0207,50.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,fioretto_ldf,1,0.8797,0.9339,0.9403,0.0553,0.114,5.0,1.0,25.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,fioretto_ldf,2,0.8813,0.9347,0.9412,0.0546,0.1131,6.0,1.0,16.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,fioretto_ldf,3,0.8887,0.9398,0.9462,0.0522,0.1113,12.0,1.0,15.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,fioretto_ldf,4,0.8925,0.9415,0.9479,0.0543,0.1142,12.0,1.0,19.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,heuristic,1,0.8878,0.9414,0.9479,0.0134,0.0309,60.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,heuristic,2,0.8895,0.9439,0.9504,0.0123,0.0225,52.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,heuristic,3,0.8924,0.9431,0.9496,0.0101,0.0206,52.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L50_G50,50,50,heuristic,4,0.9029,0.9465,0.9529,0.0106,0.0207,50.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,hounie_rcl,1,0.8735,0.9296,0.9361,0.0768,0.1574,28.0,1.0,120.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L50_G50,50,50,hounie_rcl,2,0.835,0.9115,0.9202,0.0969,0.1982,43.0,1.0,52.0,paperv2_phase1
