ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
dermmnist,L70_G70,fioretto_ldf,4,0.78735,0.00489115,0.8722,0.00238048,0.10035,0.00297377,0.225025,0.00427502,12,5.2915,1,0,7.75,0.5,12.8012,0.484339
dermmnist,L70_G70,heuristic,4,0.76425,0.0146566,0.865325,0.00510514,0.101175,0.00745313,0.231475,0.00820097,47.5,7.14143,0,0,,,0.445475,0.0623796
dermmnist,L70_G70,hounie_rcl,4,0.78545,0.00878237,0.8722,0.00248328,0.101425,0.00335894,0.226625,0.00433618,17,6.27163,1,0,41.5,4.12311,40.7159,2.96605
dermmnist,L70_G70,tralo,4,0.788425,0.00512014,0.8732,0.0034641,0.099125,0.00299819,0.223725,0.0047521,4.25,2.62996,1,0,57.25,0.5,81.9444,103.687
dermmnist,L70_G70,tralo_bounded,4,0.785575,0.00606815,0.872075,0.00217466,0.10035,0.00343171,0.2244,0.00428252,9.5,3.69685,0.75,0.5,56.6667,0.57735,24.3204,23.4168
dermmnist,L80_G80,danits_lp,4,0.766725,0.0148057,0.865825,0.00473242,0.101175,0.00745313,0.231475,0.00820097,26,7.87401,0,0,,,0.474025,0.0870921
dermmnist,L80_G80,fioretto_ldf,4,0.788825,0.00340722,0.872825,0.00344903,0.096575,0.0026663,0.2203,0.00393785,15,2.94392,1,0,5,0.816497,10.4253,0.698981
dermmnist,L80_G80,heuristic,4,0.768225,0.0144412,0.866575,0.00493921,0.101175,0.00745313,0.231475,0.00820097,26.5,8.66025,0,0,,,0.435325,0.0867153
dermmnist,L80_G80,hounie_rcl,4,0.78925,0.00423832,0.873075,0.00344903,0.095525,0.0023782,0.219125,0.00432155,9,4.08248,1,0,32.25,17.4428,33.6833,12.8654
dermmnist,L80_G80,tralo,4,0.78915,0.00920815,0.87295,0.00569356,0.097925,0.00437598,0.2187,0.00536718,4.5,2.38048,1,0,54.5,2.08167,20.2977,9.18435
dermmnist,L80_G80,tralo_bounded,4,0.78745,0.00620779,0.87295,0.00405175,0.096675,0.00236977,0.22005,0.00357445,12.5,1.29099,1,0,54,1.63299,10.0118,1.24955
tissuemnist,L20_G20,danits_lp,4,0.33825,0.0211972,0.4751,0.00836939,0.4105,0.00863674,0.900825,0.0141236,117,59.324,0,0,,,0.5441,0.0980582
