ds,tight,seed,tralo__F1m,tralo__Acc,tralo__ECE,tralo__Brier,tralo__Flips,tralo__Sat%,tralo__SatEp,tralo__Time,tralo_bounded__F1m,tralo_bounded__Acc,tralo_bounded__ECE,tralo_bounded__Brier,tralo_bounded__Flips,tralo_bounded__Sat%,tralo_bounded__SatEp,tralo_bounded__Time,fioretto_ldf__F1m,fioretto_ldf__Acc,fioretto_ldf__ECE,fioretto_ldf__Brier,fioretto_ldf__Flips,fioretto_ldf__Sat%,fioretto_ldf__SatEp,fioretto_ldf__Time,hounie_rcl__F1m,hounie_rcl__Acc,hounie_rcl__ECE,hounie_rcl__Brier,hounie_rcl__Flips,hounie_rcl__Sat%,hounie_rcl__SatEp,hounie_rcl__Time,danits_lp__F1m,danits_lp__Acc,danits_lp__ECE,danits_lp__Brier,danits_lp__Flips,danits_lp__Sat%,danits_lp__SatEp,danits_lp__Time,heuristic__F1m,heuristic__Acc,heuristic__ECE,heuristic__Brier,heuristic__Flips,heuristic__Sat%,heuristic__SatEp,heuristic__Time
dermmnist,L20_G20,4,0.708,0.8318,0.1439,0.3086,3,1,70,235.879,0.6996,0.8228,0.1613,0.3407,18,1,70,23.004,0.6974,0.8183,0.1701,0.3496,18,1,21,22.512,0.6949,0.8193,0.167,0.3547,21,1,68,60.2887,0.6877,0.8347,0.1012,0.2354,166,0,,0.3839,0.6877,0.8347,0.1012,0.2354,166,0,,0.3471
dermmnist,L30_G30,1,0.7217,0.8447,0.1265,0.274,0,1,67,26.3312,0.7205,0.8422,0.1295,0.2813,4,1,67,20.6786,0.7152,0.8392,0.1348,0.291,12,1,17,19.9377,0.7205,0.8422,0.1307,0.2852,9,1,49,46.9493,0.7335,0.8437,0.1047,0.2319,129,0,,0.5157,0.7335,0.8437,0.1047,0.2319,129,0,,0.491
dermmnist,L30_G30,2,0.7372,0.8422,0.1381,0.2955,21,1,70,236.408,0.7405,0.8452,0.1343,0.2861,14,0,,66.3481,0.7285,0.8392,0.1351,0.2862,11,0,,64.4452,0.7369,0.8432,0.1413,0.3027,31,1,59,54.2613,0.7098,0.8437,0.108,0.2387,132,0,,0.5215,0.7096,0.8437,0.108,0.2387,132,0,,0.4741
dermmnist,L30_G30,3,0.7333,0.8457,0.1277,0.2775,10,1,67,239.914,0.7417,0.8492,0.1245,0.2682,9,0,,64.631,0.7374,0.8487,0.1236,0.2749,9,0,,64.1239,0.7325,0.8462,0.1276,0.2805,18,1,46,44.0099,0.74,0.8532,0.0908,0.2199,141,0,,0.5144,0.74,0.8532,0.0908,0.2199,141,0,,0.4679
dermmnist,L30_G30,4,0.7281,0.8442,0.1312,0.2799,1,1,65,28.536,0.736,0.8452,0.1338,0.2839,5,1,65,18.7562,0.7409,0.8452,0.1341,0.29,12,1,16,18.9048,0.7321,0.8412,0.139,0.3003,15,1,49,46.5312,0.7064,0.8437,0.1012,0.2354,144,0,,0.3911,0.7064,0.8437,0.1012,0.2354,144,0,,0.3417
dermmnist,L50_G50,1,0.7649,0.8642,0.1074,0.2412,3,1,63,235.429,0.7633,0.8642,0.1072,0.2418,7,0,,61.563,0.7586,0.8612,0.1088,0.2462,8,1,13,16.3797,0.7562,0.8612,0.115,0.2542,23,1,49,46.5143,0.7576,0.8582,0.1047,0.2319,85,0,,0.5201,0.7576,0.8582,0.1047,0.2319,85,0,,0.4748
dermmnist,L50_G50,2,0.7598,0.8592,0.1194,0.2549,0,1,63,165.142,0.7539,0.8577,0.1185,0.2562,10,1,63,16.808,0.7562,0.8592,0.1173,0.2556,11,0,,61.052,0.7546,0.8582,0.1222,0.2609,19,1,50,47.4237,0.7337,0.8522,0.108,0.2387,88,0,,0.5219,0.7337,0.8522,0.108,0.2387,88,0,,0.4851
dermmnist,L50_G50,3,0.7707,0.8627,0.1086,0.2393,8,1,62,29.5569,0.779,0.8662,0.1079,0.2416,17,1,62,16.018,0.7776,0.8652,0.1081,0.2397,12,1,12,15.7746,0.7826,0.8667,0.1094,0.2463,21,1,38,38.107,0.7684,0.8677,0.0908,0.2199,97,0,,0.5186,0.7682,0.8677,0.0908,0.2199,97,0,,0.4827
dermmnist,L50_G50,4,0.7628,0.8637,0.1123,0.2445,5,1,60,18.275,0.7603,0.8627,0.1128,0.2451,6,1,60,14.9779,0.7652,0.8642,0.1113,0.2467,8,1,10,15.2707,0.7631,0.8642,0.1134,0.2504,15,1,41,40.4585,0.7289,0.8542,0.1012,0.2354,100,0,,0.3925,0.7291,0.8542,0.1012,0.2354,100,0,,0.3191
dermmnist,L70_G70,1,0.7854,0.8722,0.0995,0.224,2,1,57,50.0213,0.7823,0.8702,0.0981,0.2228,5,1,57,12.8733,0.7826,0.8707,0.0986,0.2231,7,1,8,13.3035,0.7831,0.8707,0.0986,0.224,9,1,44,42.4768,0.7767,0.8672,0.1047,0.2319,40,0,,0.5149,0.7762,0.8672,0.1047,0.2319,40,0,,0.4878
dermmnist,L70_G70,2,0.7829,0.8722,0.1032,0.2303,2,1,57,236.098,0.779,0.8717,0.1054,0.2303,14,1,57,12.8838,0.7837,0.8717,0.1048,0.231,19,1,8,12.883,0.7747,0.8697,0.1063,0.2331,19,1,38,38.1594,0.7499,0.8587,0.108,0.2387,43,0,,0.5177,0.7503,0.8592,0.108,0.2387,43,0,,0.4718
dermmnist,L70_G70,3,0.7916,0.8702,0.0973,0.221,7,1,58,21.3621,0.7925,0.8712,0.0983,0.2202,9,0,,59.4411,0.7921,0.8707,0.0991,0.2211,9,1,8,12.8794,0.7955,0.8732,0.1004,0.2244,24,1,38,38.2467,0.7776,0.8712,0.0908,0.2199,52,0,,0.5178,0.7776,0.8712,0.0908,0.2199,52,0,,0.4696
