dataset,sigma,tight,method,n,f1_mean,f1_std,flips_mean,sat_pct,acc_mean
tissuemnist,0.00,L50_G50,danits_lp,2,0.3701,0.0219,114.00,0,0.4859
tissuemnist,0.00,L50_G50,fioretto_ldf,2,0.3766,0.0076,6.00,100,0.5058
tissuemnist,0.00,L50_G50,heuristic,2,0.3707,0.0224,114.00,0,0.4860
tissuemnist,0.00,L50_G50,hounie_rcl,2,0.3750,0.0087,33.50,100,0.5073
tissuemnist,0.00,L50_G50,tralo,2,0.3789,0.0064,2.00,100,0.5073
tissuemnist,0.00,L70_G70,danits_lp,2,0.3719,0.0186,80.00,0,0.4848
tissuemnist,0.00,L70_G70,fioretto_ldf,2,0.3829,0.0078,12.00,100,0.5050
tissuemnist,0.00,L70_G70,heuristic,2,0.3727,0.0189,80.00,0,0.4854
tissuemnist,0.00,L70_G70,hounie_rcl,2,0.3818,0.0066,34.50,100,0.5059
tissuemnist,0.00,L70_G70,tralo,2,0.3883,0.0149,3.50,100,0.5125
tissuemnist,0.10,L20_G20,danits_lp,2,0.3488,0.0146,173.50,0,0.4791
tissuemnist,0.10,L20_G20,fioretto_ldf,2,0.3650,0.0029,8.00,100,0.5002
tissuemnist,0.10,L20_G20,heuristic,2,0.3488,0.0146,173.50,0,0.4791
tissuemnist,0.10,L20_G20,hounie_rcl,2,0.3536,0.0109,17.50,100,0.4988
tissuemnist,0.10,L20_G20,tralo,2,0.3661,0.0012,4.00,100,0.4981
tissuemnist,0.10,L30_G30,danits_lp,2,0.3514,0.0141,156.50,0,0.4789
tissuemnist,0.10,L30_G30,fioretto_ldf,2,0.3761,0.0088,5.00,100,0.5040
tissuemnist,0.10,L30_G30,heuristic,2,0.3520,0.0148,156.50,0,0.4791
tissuemnist,0.10,L30_G30,hounie_rcl,2,0.3716,0.0039,25.00,100,0.5025
tissuemnist,0.10,L30_G30,tralo,2,0.3689,0.0060,2.00,100,0.4987
tissuemnist,0.10,L50_G50,danits_lp,2,0.3629,0.0146,121.50,0,0.4817
tissuemnist,0.10,L50_G50,fioretto_ldf,2,0.3770,0.0011,11.00,100,0.5046
tissuemnist,0.10,L50_G50,heuristic,2,0.3629,0.0146,121.50,0,0.4817
tissuemnist,0.10,L50_G50,hounie_rcl,2,0.3782,0.0027,35.00,100,0.5035
tissuemnist,0.10,L50_G50,tralo,2,0.3784,0.0018,3.00,100,0.5017
tissuemnist,0.10,L70_G70,danits_lp,2,0.3613,0.0130,87.50,0,0.4789
tissuemnist,0.10,L70_G70,fioretto_ldf,2,0.3837,0.0043,10.50,50,0.5042
tissuemnist,0.10,L70_G70,heuristic,2,0.3613,0.0130,88.50,0,0.4789
tissuemnist,0.10,L70_G70,hounie_rcl,2,0.3813,0.0044,52.00,100,0.5054
tissuemnist,0.10,L70_G70,tralo,2,0.3875,0.0008,4.50,100,0.5075
tissuemnist,0.20,L20_G20,danits_lp,2,0.3265,0.0215,222.50,0,0.4279
tissuemnist,0.20,L20_G20,fioretto_ldf,2,0.3467,0.0077,3.50,50,0.4808
tissuemnist,0.20,L20_G20,heuristic,2,0.3265,0.0215,222.50,0,0.4279
tissuemnist,0.20,L20_G20,hounie_rcl,2,0.3374,0.0079,16.00,100,0.4786
tissuemnist,0.20,L20_G20,tralo,2,0.3456,0.0044,1.00,100,0.4827
tissuemnist,0.20,L30_G30,danits_lp,2,0.3353,0.0211,205.50,0,0.4303
tissuemnist,0.20,L30_G30,fioretto_ldf,2,0.3547,0.0096,9.50,100,0.4814
tissuemnist,0.20,L30_G30,heuristic,2,0.3359,0.0204,205.50,0,0.4306
tissuemnist,0.20,L30_G30,hounie_rcl,2,0.3561,0.0069,20.50,100,0.4844
tissuemnist,0.20,L30_G30,tralo,2,0.3559,0.0083,4.00,100,0.4805
tissuemnist,0.20,L50_G50,danits_lp,2,0.3451,0.0192,170.50,0,0.4331
tissuemnist,0.20,L50_G50,fioretto_ldf,2,0.3655,0.0107,6.50,100,0.4765
tissuemnist,0.20,L50_G50,heuristic,2,0.3446,0.0187,170.50,0,0.4329
tissuemnist,0.20,L50_G50,hounie_rcl,2,0.3635,0.0098,35.00,100,0.4817
tissuemnist,0.20,L50_G50,tralo,2,0.3651,0.0170,2.50,100,0.4696
tissuemnist,0.20,L70_G70,danits_lp,2,0.3468,0.0236,136.50,0,0.4335
tissuemnist,0.20,L70_G70,fioretto_ldf,2,0.3688,0.0188,11.00,100,0.4700
tissuemnist,0.20,L70_G70,heuristic,2,0.3460,0.0234,136.50,0,0.4332
tissuemnist,0.20,L70_G70,hounie_rcl,2,0.3705,0.0146,31.00,100,0.4736
tissuemnist,0.20,L70_G70,tralo,2,0.3702,0.0179,1.00,100,0.4698
tissuemnist,0.30,L20_G20,danits_lp,2,0.3305,0.0028,88.50,0,0.4219
tissuemnist,0.30,L20_G20,fioretto_ldf,2,0.3373,0.0000,3.50,100,0.4552
tissuemnist,0.30,L20_G20,heuristic,2,0.3305,0.0028,88.50,0,0.4219
tissuemnist,0.30,L20_G20,hounie_rcl,2,0.3356,0.0007,18.00,100,0.4497
tissuemnist,0.30,L20_G20,tralo,2,0.3368,0.0001,3.00,100,0.4589
tissuemnist,0.30,L30_G30,danits_lp,2,0.3389,0.0037,71.50,0,0.4247
tissuemnist,0.30,L30_G30,fioretto_ldf,2,0.3414,0.0008,9.00,100,0.4555
tissuemnist,0.30,L30_G30,heuristic,2,0.3379,0.0047,71.50,0,0.4244
tissuemnist,0.30,L30_G30,hounie_rcl,2,0.3405,0.0019,24.00,100,0.4546
tissuemnist,0.30,L30_G30,tralo,2,0.3454,0.0041,3.50,100,0.4541
tissuemnist,0.30,L50_G50,danits_lp,2,0.3463,0.0041,36.50,0,0.4266
tissuemnist,0.30,L50_G50,fioretto_ldf,2,0.3497,0.0005,13.50,100,0.4552
tissuemnist,0.30,L50_G50,heuristic,2,0.3458,0.0036,36.50,0,0.4264
tissuemnist,0.30,L50_G50,hounie_rcl,2,0.3461,0.0002,29.50,100,0.4537
tissuemnist,0.30,L50_G50,tralo,2,0.3462,0.0030,6.50,100,0.4533
tissuemnist,0.30,L70_G70,danits_lp,2,0.3477,0.0013,15.00,50,0.4269
tissuemnist,0.30,L70_G70,fioretto_ldf,2,0.3533,0.0025,10.50,100,0.4541
tissuemnist,0.30,L70_G70,heuristic,2,0.3480,0.0017,27.50,50,0.4269
tissuemnist,0.30,L70_G70,hounie_rcl,2,0.3554,0.0028,25.50,100,0.4565
tissuemnist,0.30,L70_G70,tralo,2,0.3558,0.0026,9.50,100,0.4579
