binding_gap,cls_cstr,d_conf_gap,d_f1_cstr,d_f1_uncstr,d_flips,d_macro_f1,d_pre_cstr,d_rec_cstr,data_dir,dataset,model,n_classes,ph_acc,ph_conf_gap,ph_f1_cstr,ph_f1_uncstr_mean,ph_macro_f1,ph_mean_entropy,ph_pre_cstr,ph_rec_cstr,ph_sup_cstr,pretrained,seed,sweep,tight,tight_pct
119.7,4,0.001800000000000003,-0.04500000000000001,0.01538571428571428,-182.0,0.007800000000000029,-0.09800000000000003,-0.02919999999999999,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.4492,0.0489,0.2252,0.37514285714285717,0.3564,0.1001,0.4902,0.1462,171.0,True,2,contamination_tissuemnist,L30_G30,30
85.5,4,0.011299999999999998,0.031100000000000017,0.020957142857142896,-187.0,0.022199999999999998,0.04650000000000004,0.023400000000000004,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.415,0.0378,0.2568,0.33577142857142855,0.3259,0.0977,0.3837,0.193,171.0,True,1,contamination_tissuemnist,L50_G50,50
85.5,4,-0.005199999999999996,-0.015600000000000003,0.02281428571428562,-149.0,0.01799999999999996,-0.023300000000000043,-0.011699999999999988,data/tissuemnist_sigma20/slice_1,tissuemnist,MobileNetV3,8,0.4512,0.0489,0.2802,0.3761571428571429,0.3642,0.1001,0.4186,0.2105,171.0,True,2,contamination_tissuemnist,L50_G50,50
136.8,4,-0.0038999999999999937,0.01949999999999999,0.0016428571428571126,-250.0,0.0039000000000000146,0.058800000000000074,0.011700000000000002,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.5071,0.051,0.1854,0.3888857142857143,0.3634,0.084,0.5588,0.1111,171.0,True,1,contamination_tissuemnist,L20_G20,20
136.8,4,-0.0040999999999999925,0.0,0.035114285714285765,-89.0,0.030700000000000005,0.0,0.0,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.4512,0.0696,0.1268,0.3639571428571428,0.3343,0.1346,0.3824,0.076,171.0,True,2,contamination_tissuemnist,L20_G20,20
51.3,4,-0.008199999999999999,0.041200000000000014,0.01015714285714292,-164.0,0.013999999999999957,0.04999999999999999,0.03510000000000002,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.5067,0.051,0.3024,0.38449999999999995,0.3743,0.084,0.3667,0.2573,171.0,True,1,contamination_tissuemnist,L70_G70,70
51.3,4,-0.011399999999999993,0.06190000000000001,0.03514285714285709,-2.0,0.03849999999999998,0.07500000000000001,0.0527,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.4512,0.0696,0.2474,0.36272857142857146,0.3483,0.1346,0.3,0.2105,171.0,True,2,contamination_tissuemnist,L70_G70,70
119.7,4,-0.003599999999999999,0.04510000000000003,0.004100000000000048,-234.0,0.009200000000000041,0.09800000000000003,0.029200000000000004,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.5067,0.051,0.2072,0.38818571428571425,0.3656,0.084,0.451,0.1345,171.0,True,1,contamination_tissuemnist,L30_G30,30
119.7,4,-0.0005999999999999894,0.017999999999999988,0.0265999999999999,-75.0,0.02560000000000001,0.0393,0.011700000000000002,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.4512,0.0696,0.1622,0.36237142857142857,0.3373,0.1346,0.3529,0.1053,171.0,True,2,contamination_tissuemnist,L30_G30,30
85.5,4,0.0030000000000000027,0.007799999999999974,-0.001957142857142935,-196.0,-0.0008000000000000229,0.0116,0.005899999999999989,data/tissuemnist_sigma10/slice_1,tissuemnist,MobileNetV3,8,0.51,0.051,0.2957,0.3891428571428572,0.3775,0.084,0.4419,0.2222,171.0,True,1,contamination_tissuemnist,L50_G50,50
