Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
225,0.7443,0.650513,0.000000,0.562912,0.30,0.30,1,0,113,105,112.59,63,12,57.39,inf,325,272.02
228,0.7597,0.688330,0.052976,0.588012,0.30,0.30,1,0,113,110,118.92,63,19,61.61,inf,313,261.47
231,0.7446,0.691202,0.022808,0.559886,0.30,0.30,1,0,113,104,115.11,63,13,56.45,inf,325,270.44
234,0.7302,0.689207,0.000000,0.512636,0.30,0.30,1,0,113,94,103.47,63,13,52.38,inf,335,286.15
237,0.7234,0.659067,0.000000,0.555529,0.30,0.30,1,0,113,94,107.91,63,5,57.94,inf,343,276.15
240,0.7312,0.657536,0.000000,0.546452,0.30,0.30,1,0,113,94,106.56,63,13,56.84,inf,335,278.60
243,0.7108,0.660358,0.036667,0.556102,0.30,0.30,1,0,113,88,98.31,63,10,64.92,inf,344,278.78
246,0.7531,0.674571,0.043073,0.565751,0.30,0.30,1,0,113,108,117.52,63,13,56.33,inf,321,268.14
249,0.7083,0.704082,0.000000,0.516182,0.30,0.30,1,0,113,89,99.88,63,7,54.73,inf,346,287.39
252,0.7587,0.670747,0.059961,0.574879,0.30,0.30,1,0,113,112,119.21,63,21,58.20,inf,309,264.59
255,0.7370,0.673533,0.006265,0.582607,0.30,0.30,1,0,113,99,113.52,63,5,62.17,inf,338,266.31
258,0.7534,0.679580,0.013094,0.574528,0.30,0.30,1,0,113,107,114.01,63,20,62.38,inf,315,265.61
261,0.7101,0.663658,0.000000,0.534918,0.30,0.30,1,0,113,93,104.99,63,3,54.89,inf,346,282.12
264,0.7330,0.673742,0.000000,0.553180,0.30,0.30,1,0,113,97,109.58,63,5,56.31,inf,340,276.11
267,0.7479,0.669353,0.012684,0.574733,0.30,0.30,1,0,113,104,114.22,63,12,59.81,inf,326,267.97
270,0.7335,0.678463,0.000000,0.553512,0.30,0.30,1,0,113,89,102.16,63,17,62.75,inf,336,277.10
273,0.7171,0.667536,0.000000,0.547173,0.30,0.30,1,0,113,92,99.49,63,7,61.92,inf,343,280.59
276,0.7305,0.687354,0.000000,0.523337,0.30,0.30,1,0,113,89,97.64,63,16,58.51,inf,337,285.85
279,0.7280,0.676980,0.000000,0.556688,0.30,0.30,1,0,113,93,103.02,63,7,61.98,inf,342,277.00
282,0.7113,0.672351,0.000000,0.525628,0.30,0.30,1,0,113,92,100.03,63,6,55.22,inf,344,286.75
285,0.7134,0.673688,0.007119,0.548738,0.30,0.30,1,0,113,87,97.09,63,10,63.70,inf,345,281.21
288,0.7257,0.659301,0.000000,0.552680,0.30,0.30,1,0,113,91,107.51,63,9,57.51,inf,342,276.98
291,0.7315,0.672297,0.031200,0.578838,0.30,0.30,1,0,113,106,115.95,63,4,58.88,inf,332,267.17
294,0.7438,0.666392,0.033101,0.552168,0.30,0.30,1,0,113,108,116.47,63,8,53.00,inf,326,272.53
297,0.7081,0.648980,0.000000,0.531185,0.30,0.30,1,0,113,91,100.54,63,5,56.48,inf,346,284.98
300,0.7093,0.657625,0.000000,0.547186,0.30,0.30,1,0,113,91,98.32,63,6,61.58,inf,345,282.10
