root,dataset,model,method,constraint_tag,seed,cc_f1,f1_macro,acc,flips,sat
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L80_G80,1,0.6783,0.7712,0.8672,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L10_G10,1,0.1796,0.6573,0.8138,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L20_G20,1,0.2049,0.4042,0.5437,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L70_G70,1,0.4055,0.4305,0.5492,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L30_G30,1,0.2793,0.4149,0.5458,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L40_G40,1,0.2845,0.4182,0.5467,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L60_G60,1,0.3883,0.4332,0.5521,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L90_G90,1,0.4677,0.4417,0.5587,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L50_G50,1,0.3424,0.425,0.5483,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L80_G80,1,0.4416,0.4381,0.5542,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L10_G10,1,0.1277,0.3898,0.5379,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L20_G20,1,0.3133,0.6681,0.711,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L70_G70,1,0.6274,0.7647,0.771,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L60_G60,1,0.5865,0.7512,0.761,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L90_G90,1,0.6779,0.7774,0.78,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L50_G50,1,0.56,0.7457,0.759,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L80_G80,1,0.6578,0.7722,0.776,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L10_G10,1,0.1673,0.6246,0.687,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L20_G20,2,0.2985,0.6636,0.8193,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L70_G70,2,0.6544,0.7543,0.8662,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L30_G30,2,0.4,0.6886,0.8323,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L40_G40,2,0.4936,0.7093,0.8452,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L60_G60,2,0.6106,0.7389,0.8587,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L90_G90,2,0.6714,0.7575,0.8672,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L50_G50,2,0.5629,0.7354,0.8537,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L80_G80,2,0.6384,0.7462,0.8612,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L10_G10,2,0.1388,0.6204,0.7963,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L20_G20,2,0.2341,0.3984,0.535,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L70_G70,2,0.3986,0.4265,0.5433,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L30_G30,2,0.3063,0.4062,0.5392,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L40_G40,2,0.329,0.419,0.5442,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L60_G60,2,0.381,0.4236,0.5433,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L90_G90,2,0.4062,0.425,0.5363,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L50_G50,2,0.3735,0.4254,0.5463,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L80_G80,2,0.4026,0.4249,0.54,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L10_G10,2,0.1489,0.3816,0.5325,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L20_G20,2,0.3267,0.6729,0.712,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L70_G70,2,0.684,0.7975,0.802,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L60_G60,2,0.6366,0.7794,0.787,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L90_G90,2,0.7242,0.8112,0.813,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L50_G50,2,0.608,0.7698,0.781,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L80_G80,2,0.72,0.8104,0.813,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L10_G10,2,0.1745,0.6231,0.681,,
b3_full,dermmnist,ViTB16,fioretto_alm,L20_G20,2,0.2985,0.6729,0.8213,,
b3_full,dermmnist,ViTB16,fioretto_alm,L70_G70,2,0.5805,0.7324,0.8447,,
b3_full,dermmnist,ViTB16,fioretto_alm,L30_G30,2,0.3655,0.6912,0.8248,,
b3_full,dermmnist,ViTB16,fioretto_alm,L40_G40,2,0.4615,0.7033,0.8333,,
b3_full,dermmnist,ViTB16,fioretto_alm,L60_G60,2,0.5658,0.7267,0.8437,,
b3_full,dermmnist,ViTB16,fioretto_alm,L90_G90,2,0.6052,0.7349,0.8442,,
b3_full,dermmnist,ViTB16,fioretto_alm,L50_G50,2,0.521,0.7091,0.8377,,
b3_full,dermmnist,ViTB16,fioretto_alm,L80_G80,2,0.5835,0.7309,0.8422,,
b3_full,dermmnist,ViTB16,fioretto_alm,L10_G10,2,0.1796,0.6307,0.8088,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L20_G20,2,0.2439,0.4598,0.5846,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L70_G70,2,0.4674,0.4843,0.59,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L30_G30,2,0.3333,0.4684,0.5842,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L40_G40,2,0.3519,0.4689,0.5846,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L60_G60,2,0.4542,0.4812,0.5887,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L90_G90,2,0.4985,0.487,0.5896,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L50_G50,2,0.428,0.4791,0.5879,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L80_G80,2,0.4935,0.4893,0.5917,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L10_G10,2,0.1277,0.4382,0.5758,,
b3_full,octmnist,ViTB16,fioretto_alm,L20_G20,2,0.3067,0.6708,0.715,,
b3_full,octmnist,ViTB16,fioretto_alm,L70_G70,2,0.684,0.7977,0.804,,
b3_full,octmnist,ViTB16,fioretto_alm,L60_G60,2,0.6466,0.7858,0.795,,
b3_full,octmnist,ViTB16,fioretto_alm,L90_G90,2,0.7158,0.8097,0.813,,
b3_full,octmnist,ViTB16,fioretto_alm,L50_G50,2,0.5973,0.7687,0.782,,
b3_full,octmnist,ViTB16,fioretto_alm,L80_G80,2,0.7067,0.8076,0.812,,
b3_full,octmnist,ViTB16,fioretto_alm,L10_G10,2,0.16,0.6232,0.686,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L20_G20,2,0.306,0.6924,0.8283,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L70_G70,2,0.5699,0.7511,0.8517,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L30_G30,2,0.3862,0.713,0.8382,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L40_G40,2,0.4551,0.7317,0.8437,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L60_G60,2,0.549,0.7471,0.8502,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L90_G90,2,0.6288,0.7576,0.8557,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L50_G50,2,0.491,0.7341,0.8447,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L80_G80,2,0.6085,0.7616,0.8552,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L10_G10,2,0.1796,0.6638,0.8163,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L20_G20,2,0.1659,0.3939,0.5429,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L70_G70,2,0.3574,0.4429,0.5571,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L30_G30,2,0.2252,0.4126,0.5487,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L40_G40,2,0.2759,0.421,0.55,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L60_G60,2,0.3516,0.4401,0.5567,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L90_G90,2,0.3877,0.4456,0.5563,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L50_G50,2,0.3424,0.4379,0.5567,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L80_G80,2,0.3701,0.4435,0.5567,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L10_G10,2,0.0957,0.3765,0.5371,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L20_G20,2,0.3067,0.6566,0.702,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L70_G70,2,0.6415,0.783,0.791,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L60_G60,2,0.6165,0.7741,0.785,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L90_G90,2,0.6989,0.8005,0.804,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L50_G50,2,0.5653,0.7535,0.769,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L80_G80,2,0.6667,0.7917,0.797,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L10_G10,2,0.1673,0.6029,0.667,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L20_G20,3,0.306,0.6939,0.8342,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L70_G70,3,0.6385,0.7502,0.8682,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L30_G30,3,0.4,0.7212,0.8467,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L40_G40,3,0.5064,0.7425,0.8577,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L60_G60,3,0.6106,0.7448,0.8647,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L90_G90,3,0.6241,0.7467,0.8627,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L50_G50,3,0.5749,0.7449,0.8627,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L80_G80,3,0.6284,0.7459,0.8667,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L10_G10,3,0.1633,0.6437,0.8118,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L20_G20,3,0.1854,0.4081,0.5654,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L70_G70,3,0.4055,0.4614,0.5779,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L30_G30,3,0.2523,0.4253,0.5696,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L40_G40,3,0.2707,0.4277,0.57,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L60_G60,3,0.3663,0.4543,0.5763,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L90_G90,3,0.4308,0.4671,0.5787,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L50_G50,3,0.3346,0.4443,0.5725,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L80_G80,3,0.4221,0.4649,0.5796,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L10_G10,3,0.0851,0.3904,0.5621,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L20_G20,3,0.3333,0.6626,0.705,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L70_G70,3,0.6698,0.7893,0.795,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L60_G60,3,0.6366,0.7781,0.787,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L90_G90,3,0.72,0.8023,0.805,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L50_G50,3,0.5973,0.7609,0.774,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L80_G80,3,0.6933,0.795,0.799,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L10_G10,3,0.1818,0.6002,0.662,,
b3_full,dermmnist,ViTB16,fioretto_alm,L20_G20,3,0.2836,0.6724,0.8198,,
b3_full,dermmnist,ViTB16,fioretto_alm,L70_G70,3,0.6121,0.7318,0.8442,,
b3_full,dermmnist,ViTB16,fioretto_alm,L30_G30,3,0.3724,0.6915,0.8268,,
b3_full,dermmnist,ViTB16,fioretto_alm,L40_G40,3,0.4551,0.7125,0.8337,,
b3_full,dermmnist,ViTB16,fioretto_alm,L60_G60,3,0.5994,0.7322,0.8452,,
b3_full,dermmnist,ViTB16,fioretto_alm,L90_G90,3,0.6383,0.7365,0.8452,,
b3_full,dermmnist,ViTB16,fioretto_alm,L50_G50,3,0.5389,0.7318,0.8412,,
b3_full,dermmnist,ViTB16,fioretto_alm,L80_G80,3,0.6384,0.7361,0.8467,,
b3_full,dermmnist,ViTB16,fioretto_alm,L10_G10,3,0.1551,0.6432,0.8088,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L20_G20,3,0.2146,0.4554,0.5775,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L70_G70,3,0.4055,0.4857,0.5854,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L30_G30,3,0.2703,0.4617,0.5787,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L40_G40,3,0.3117,0.4693,0.5817,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L60_G60,3,0.3956,0.4862,0.5871,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L90_G90,3,0.4738,0.4975,0.59,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L50_G50,3,0.3813,0.4815,0.5846,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L80_G80,3,0.4545,0.4933,0.5879,,
b3_full,tissuemnist,ViTB16,fioretto_alm,L10_G10,3,0.1489,0.4448,0.5733,,
b3_full,octmnist,ViTB16,fioretto_alm,L20_G20,3,0.3067,0.689,0.734,,
b3_full,octmnist,ViTB16,fioretto_alm,L70_G70,3,0.6604,0.7966,0.803,,
b3_full,octmnist,ViTB16,fioretto_alm,L60_G60,3,0.6216,0.7862,0.796,,
b3_full,octmnist,ViTB16,fioretto_alm,L90_G90,3,0.7326,0.8199,0.822,,
b3_full,octmnist,ViTB16,fioretto_alm,L50_G50,3,0.5653,0.7694,0.784,,
b3_full,octmnist,ViTB16,fioretto_alm,L80_G80,3,0.7067,0.8103,0.814,,
b3_full,octmnist,ViTB16,fioretto_alm,L10_G10,3,0.1745,0.6435,0.705,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L20_G20,3,0.3209,0.6758,0.8283,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L70_G70,3,0.6121,0.7279,0.8572,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L30_G30,3,0.4276,0.7049,0.8412,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L40_G40,3,0.4872,0.7176,0.8457,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L60_G60,3,0.5826,0.7247,0.8547,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L90_G90,3,0.6194,0.7363,0.8562,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L50_G50,3,0.5389,0.7245,0.8497,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L80_G80,3,0.6135,0.735,0.8562,,
b3_full,dermmnist,RegNetY400MF,fioretto_alm,L10_G10,3,0.1796,0.635,0.8118,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L20_G20,3,0.2146,0.4076,0.555,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L70_G70,3,0.3711,0.4303,0.5546,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L30_G30,3,0.2793,0.4195,0.5571,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L40_G40,3,0.2691,0.418,0.5521,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L60_G60,3,0.359,0.4311,0.555,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L90_G90,3,0.4123,0.4391,0.5587,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L50_G50,3,0.3346,0.4258,0.5525,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L80_G80,3,0.3701,0.4325,0.5554,,
b3_full,tissuemnist,RegNetY400MF,fioretto_alm,L10_G10,3,0.117,0.39,0.5504,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L20_G20,3,0.3133,0.6607,0.702,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L70_G70,3,0.6462,0.7673,0.773,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L60_G60,3,0.6115,0.7552,0.764,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L90_G90,3,0.6779,0.7745,0.777,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L50_G50,3,0.5653,0.7407,0.754,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L80_G80,3,0.6578,0.77,0.774,,
b3_full,octmnist,RegNetY400MF,fioretto_alm,L10_G10,3,0.1673,0.6155,0.673,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L20_G20,4,0.3209,0.6885,0.8223,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L70_G70,4,0.6016,0.7766,0.8667,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L30_G30,4,0.4345,0.7227,0.8402,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L40_G40,4,0.4872,0.7383,0.8492,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L60_G60,4,0.5826,0.7676,0.8647,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L90_G90,4,0.6241,0.7752,0.8667,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L50_G50,4,0.5509,0.755,0.8597,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L80_G80,4,0.5985,0.772,0.8652,,
b3_full,dermmnist,MobileNetV3,fioretto_alm,L10_G10,4,0.1714,0.6483,0.8013,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L20_G20,4,0.1659,0.3791,0.5337,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L70_G70,4,0.3849,0.4236,0.5508,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L30_G30,4,0.2342,0.3962,0.5433,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L40_G40,4,0.265,0.3996,0.5442,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L60_G60,4,0.3443,0.419,0.5517,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L90_G90,4,0.3877,0.4281,0.5483,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L50_G50,4,0.3191,0.4109,0.5471,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L80_G80,4,0.3961,0.4261,0.5483,,
b3_full,tissuemnist,MobileNetV3,fioretto_alm,L10_G10,4,0.1383,0.3746,0.5329,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L20_G20,4,0.32,0.6983,0.745,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L70_G70,4,0.6651,0.808,0.814,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L60_G60,4,0.6516,0.8031,0.812,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L90_G90,4,0.7074,0.8204,0.822,,
b3_full,octmnist,MobileNetV3,fioretto_alm,L50_G50,4,0.5867,0.7804,0.795,,
