dataset,model,cap,method,seed,warmup_epochs,satisfied,sat_epoch,cep
dermmnist,RegNetY400MF,80,tralo,3,50,True,51.0,1.0
dermmnist,RegNetY400MF,80,tralo,4,50,True,57.0,7.0
tissuemnist,MobileNetV3,20,fioretto_ldf,1,50,False,,
tissuemnist,MobileNetV3,20,fioretto_ldf,2,50,True,24.0,24.0
tissuemnist,MobileNetV3,20,fioretto_ldf,3,50,True,26.0,26.0
tissuemnist,MobileNetV3,20,fioretto_ldf,4,50,True,23.0,23.0
tissuemnist,MobileNetV3,20,hounie_rcl,1,50,True,26.0,26.0
tissuemnist,MobileNetV3,20,hounie_rcl,2,50,True,29.0,29.0
tissuemnist,MobileNetV3,20,hounie_rcl,3,50,True,114.0,114.0
tissuemnist,MobileNetV3,20,hounie_rcl,4,50,True,82.0,82.0
tissuemnist,MobileNetV3,20,tralo,1,50,True,71.0,21.0
tissuemnist,MobileNetV3,20,tralo,2,50,True,74.0,24.0
tissuemnist,MobileNetV3,20,tralo,3,50,True,92.0,42.0
tissuemnist,MobileNetV3,20,tralo,4,50,True,84.0,34.0
tissuemnist,MobileNetV3,30,fioretto_ldf,1,50,True,18.0,18.0
tissuemnist,MobileNetV3,30,fioretto_ldf,2,50,True,20.0,20.0
tissuemnist,MobileNetV3,30,fioretto_ldf,3,50,True,25.0,25.0
tissuemnist,MobileNetV3,30,fioretto_ldf,4,50,True,22.0,22.0
tissuemnist,MobileNetV3,30,hounie_rcl,1,50,True,24.0,24.0
tissuemnist,MobileNetV3,30,hounie_rcl,2,50,True,26.0,26.0
tissuemnist,MobileNetV3,30,hounie_rcl,3,50,True,112.0,112.0
tissuemnist,MobileNetV3,30,hounie_rcl,4,50,True,78.0,78.0
tissuemnist,MobileNetV3,30,tralo,1,50,True,68.0,18.0
tissuemnist,MobileNetV3,30,tralo,2,50,True,71.0,21.0
tissuemnist,MobileNetV3,30,tralo,3,50,True,62.0,12.0
tissuemnist,MobileNetV3,30,tralo,4,50,True,75.0,25.0
tissuemnist,MobileNetV3,50,fioretto_ldf,1,50,True,14.0,14.0
tissuemnist,MobileNetV3,50,fioretto_ldf,2,50,True,14.0,14.0
tissuemnist,MobileNetV3,50,fioretto_ldf,3,50,True,23.0,23.0
tissuemnist,MobileNetV3,50,fioretto_ldf,4,50,True,19.0,19.0
tissuemnist,MobileNetV3,50,hounie_rcl,1,50,True,21.0,21.0
tissuemnist,MobileNetV3,50,hounie_rcl,2,50,True,22.0,22.0
tissuemnist,MobileNetV3,50,hounie_rcl,3,50,True,88.0,88.0
tissuemnist,MobileNetV3,50,hounie_rcl,4,50,True,69.0,69.0
tissuemnist,MobileNetV3,50,tralo,1,50,True,64.0,14.0
tissuemnist,MobileNetV3,50,tralo,2,50,True,64.0,14.0
tissuemnist,MobileNetV3,50,tralo,3,50,True,75.0,25.0
tissuemnist,MobileNetV3,50,tralo,4,50,True,71.0,21.0
tissuemnist,MobileNetV3,70,fioretto_ldf,1,50,True,11.0,11.0
tissuemnist,MobileNetV3,70,fioretto_ldf,2,50,True,10.0,10.0
tissuemnist,MobileNetV3,70,fioretto_ldf,3,50,False,,
tissuemnist,MobileNetV3,70,fioretto_ldf,4,50,True,17.0,17.0
tissuemnist,MobileNetV3,70,hounie_rcl,1,50,True,19.0,19.0
tissuemnist,MobileNetV3,70,hounie_rcl,2,50,True,20.0,20.0
tissuemnist,MobileNetV3,70,hounie_rcl,3,50,True,82.0,82.0
tissuemnist,MobileNetV3,70,hounie_rcl,4,50,True,66.0,66.0
tissuemnist,MobileNetV3,70,tralo,1,50,True,61.0,11.0
tissuemnist,MobileNetV3,70,tralo,2,50,True,60.0,10.0
tissuemnist,MobileNetV3,70,tralo,3,50,True,71.0,21.0
tissuemnist,MobileNetV3,70,tralo,4,50,True,67.0,17.0
tissuemnist,MobileNetV3,80,fioretto_ldf,1,50,True,9.0,9.0
