campaign,dataset,model,method,constraint_tag,seed,rep,cc_f1,f1_macro,acc,flips,sat,config_path
r2_seeds10,octmnist,ViTB16,heuristic,L30_G30,5,,0.4308,0.7333,0.765,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L30_G30/heuristic/seed_5/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L40_G40,9,,0.4255,0.7087,0.737,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/hounie_rcl/seed_9/config.json
r2_seeds10,octmnist,ViTB16,hounie_rcl,L40_G40,5,,0.4485,0.7424,0.772,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/hounie_rcl/seed_5/config.json
r2_seeds10,octmnist,ViTB16,tralo,L40_G40,9,,0.5029,0.7346,0.755,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/tralo/seed_9/config.json
r2_seeds10,octmnist,ViTB16,tralo,L40_G40,5,,0.5272,0.7682,0.79,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/tralo/seed_5/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L40_G40,9,,0.5143,0.7361,0.756,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/danits_lp/seed_9/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L40_G40,5,,0.5257,0.7637,0.785,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/danits_lp/seed_5/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L40_G40,9,,0.4172,0.7071,0.737,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/fioretto_ldf/seed_9/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L40_G40,5,,0.4438,0.7407,0.771,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/fioretto_ldf/seed_5/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L40_G40,9,,0.4491,0.716,0.742,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/tralo_bounded/seed_9/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L40_G40,5,,0.4762,0.7511,0.778,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/tralo_bounded/seed_5/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L40_G40,9,,0.4172,0.7071,0.737,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/fioretto_alm/seed_9/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L40_G40,5,,0.4438,0.7407,0.771,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/fioretto_alm/seed_5/config.json
r2_seeds10,octmnist,ViTB16,heuristic,L40_G40,9,,0.52,0.7384,0.758,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/heuristic/seed_9/config.json
r2_seeds10,octmnist,ViTB16,heuristic,L40_G40,5,,0.5257,0.7637,0.785,,,results/track_b/r2_seeds10/lane_gpu0/ViTB16/octmnist/L40_G40/heuristic/seed_5/config.json
r2_seeds10,octmnist,RegNetY400MF,hounie_rcl,L30_G30,7,,0.2324,0.6479,0.703,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/hounie_rcl/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,tralo,L30_G30,7,,0.4308,0.7065,0.736,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/tralo/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,danits_lp,L30_G30,7,,0.4185,0.6975,0.727,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/danits_lp/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,fioretto_ldf,L30_G30,7,,0.4161,0.7009,0.732,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/fioretto_ldf/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,tralo_bounded,L30_G30,7,,0.4062,0.6984,0.731,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/tralo_bounded/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,fioretto_alm,L30_G30,7,,0.4075,0.6975,0.73,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/fioretto_alm/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,heuristic,L30_G30,7,,0.4185,0.6975,0.727,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L30_G30/heuristic/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,hounie_rcl,L40_G40,7,,0.4578,0.7141,0.741,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/hounie_rcl/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,tralo,L40_G40,7,,0.5072,0.7333,0.754,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/tralo/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,danits_lp,L40_G40,7,,0.4971,0.72,0.74,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/danits_lp/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,fioretto_ldf,L40_G40,7,,0.5015,0.7269,0.749,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/fioretto_ldf/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,tralo_bounded,L40_G40,7,,0.5015,0.727,0.749,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/tralo_bounded/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,fioretto_alm,L40_G40,7,,0.5015,0.7269,0.749,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/fioretto_alm/seed_7/config.json
r2_seeds10,octmnist,RegNetY400MF,heuristic,L40_G40,7,,0.4971,0.72,0.74,,,results/track_b/r2_seeds10/lane_gpu0/RegNetY400MF/octmnist/L40_G40/heuristic/seed_7/config.json
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L30_G30,6,,0.2857,0.6419,0.69,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L30_G30,10,,0.3179,0.6802,0.726,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,tralo,L30_G30,6,,0.4211,0.6811,0.713,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/tralo/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,tralo,L30_G30,10,,0.3863,0.7019,0.737,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/tralo/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,danits_lp,L30_G30,6,,0.4308,0.7056,0.735,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/danits_lp/seed_6/config.json
r2_seeds10,octmnist,MobileNetV3,danits_lp,L30_G30,10,,0.3262,0.6523,0.682,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/danits_lp/seed_10/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_ldf,L30_G30,6,,0.3689,0.6772,0.716,,,results/track_b/r2_seeds10/lane_gpu1/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_6/config.json
