campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b2_derm,tralo,dermmnist,MobileNetV3,tralo,L40_G40,4,50,0.5064,0.8876,0.3543,0.7379,0.8482,0.13,,2.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L40_G40/tralo/seed_4/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,1,50,0.4276,0.9254,0.278,0.7127,0.8417,0.1096,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_1/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,2,50,0.3931,0.8507,0.2556,0.7122,0.8377,0.1102,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_2/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,3,50,0.4345,0.9403,0.2825,0.6825,0.8412,0.1149,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_3/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,4,50,0.4138,0.8955,0.2691,0.7062,0.8397,0.1108,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_4/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L30_G30,1,50,0.4414,0.9552,0.287,0.7211,0.8452,0.1376,,22.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/fioretto_ldf/seed_1/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L30_G30,2,50,0.3862,0.8358,0.2511,0.713,0.8382,0.1353,,12.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/fioretto_ldf/seed_2/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L30_G30,3,50,0.4276,0.9254,0.278,0.7049,0.8412,0.1304,,6.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/fioretto_ldf/seed_3/config.json
b2_derm,fioretto_ldf,dermmnist,RegNetY400MF,fioretto_ldf,L30_G30,4,50,0.3793,0.8209,0.2466,0.7308,0.8402,0.1389,,19.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/fioretto_ldf/seed_4/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L30_G30,1,50,0.4414,0.9552,0.287,0.7224,0.8457,0.1386,,30.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/hounie_rcl/seed_1/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L30_G30,2,50,0.3862,0.8358,0.2511,0.7137,0.8382,0.135,,18.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/hounie_rcl/seed_2/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L30_G30,3,50,0.4207,0.9104,0.2735,0.7013,0.8372,0.1371,,18.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/hounie_rcl/seed_3/config.json
b2_derm,hounie_rcl,dermmnist,RegNetY400MF,hounie_rcl,L30_G30,4,50,0.3724,0.806,0.2422,0.722,0.8362,0.1429,,26.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/hounie_rcl/seed_4/config.json
b2_derm,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,1,50,0.4483,0.9701,0.2915,0.7206,0.8442,0.1305,,4.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/tralo/seed_1/config.json
b2_derm,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,2,50,0.3862,0.8358,0.2511,0.7137,0.8387,0.1353,,3.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/tralo/seed_2/config.json
b2_derm,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,3,50,0.4276,0.9254,0.278,0.7026,0.8412,0.1331,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/tralo/seed_3/config.json
b2_derm,tralo,dermmnist,RegNetY400MF,tralo,L30_G30,4,50,0.3793,0.8209,0.2466,0.7269,0.8407,0.1351,,3.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L30_G30/tralo/seed_4/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L40_G40,1,50,0.5064,0.8876,0.3543,0.7279,0.8482,0.1096,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/danits_lp/seed_1/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L40_G40,2,50,0.4487,0.7865,0.3139,0.7235,0.8417,0.1102,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/danits_lp/seed_2/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L40_G40,3,50,0.5,0.8764,0.3498,0.6969,0.8462,0.1149,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/danits_lp/seed_3/config.json
b2_derm,danits_lp,dermmnist,RegNetY400MF,danits_lp,L40_G40,4,50,0.4615,0.809,0.3229,0.7133,0.8417,0.1108,,0.0,4,loc_group,results/track_b/b2_derm/derm/RegNetY400MF/warmup50/L40_G40/danits_lp/seed_4/config.json
