method,model,tag,seed,cc_f1,macro_f1,flips,ctime_min
fioretto_ldf,MobileNetV3,L40_G40,4,0.4927536231884058,0.7417411618926486,12,2.6657609661420185
fioretto_restart,MobileNetV3,L40_G40,1,0.46107784431137727,0.7190372216274881,34,2.733408800760905
fioretto_restart,MobileNetV3,L40_G40,2,0.49710982658959535,0.7303623054462738,13,4.339085845152537
fioretto_restart,MobileNetV3,L40_G40,3,0.4985507246376812,0.7419481985237273,12,2.9047952691713967
fioretto_restart,MobileNetV3,L40_G40,4,0.4927536231884058,0.7417411618926486,12,2.601284611225128
fioretto_rh,MobileNetV3,L40_G40,1,0.5172413793103449,0.7389766394050141,6,2.850946263472239
fioretto_rh,MobileNetV3,L40_G40,2,0.5214899713467048,0.7347528581316988,4,4.9494379242261255
fioretto_rh,MobileNetV3,L40_G40,3,0.4985507246376812,0.741909438570872,12,2.9010182062784833
fioretto_rh,MobileNetV3,L40_G40,4,0.504297994269341,0.7451530268713122,4,2.676487894852956
hounie_rcl,MobileNetV3,L40_G40,1,0.45121951219512196,0.7131969933165362,46,2.8099380215009053
hounie_rcl,MobileNetV3,L40_G40,2,0.4484848484848485,0.7120272724145964,42,3.0445656259854634
hounie_rcl,MobileNetV3,L40_G40,3,0.47477744807121663,0.7319554476139151,28,3.1501301964124044
hounie_rcl,MobileNetV3,L40_G40,4,0.45045045045045046,0.729614313818814,36,2.8537638545036317
hounie_rh,MobileNetV3,L40_G40,1,0.5144508670520231,0.7411148969949125,10,3.1445955197016398
hounie_rh,MobileNetV3,L40_G40,2,0.47368421052631576,0.7199912532594298,18,3.047738027572632
hounie_rh,MobileNetV3,L40_G40,3,0.4985507246376812,0.7436467557017263,12,3.075167381763458
hounie_rh,MobileNetV3,L40_G40,4,0.4778761061946903,0.7387759087528627,24,2.8843985557556153
tralo,MobileNetV3,L40_G40,1,0.5257142857142857,0.7467886804355576,2,4.673815707365672
tralo,MobileNetV3,L40_G40,2,0.5114942528735632,0.732272332882145,6,5.172966829935709
tralo,MobileNetV3,L40_G40,3,0.5028901734104047,0.7431791085625653,10,2.971669840812683
tralo,MobileNetV3,L40_G40,4,0.49714285714285716,0.7430132122266788,2,3.091745181878408
fioretto_ldf,RegNetY400MF,L40_G40,1,0.4897959183673469,0.7352696054339858,16,2.411618181069692
fioretto_ldf,RegNetY400MF,L40_G40,2,0.45161290322580644,0.7035316411069981,21,3.5055638909339906
