campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,2,5,0.3655,0.791,0.2377,0.6775,0.8138,0.0426,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/class_balanced/seed_2/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,2,50,0.3862,0.8358,0.2511,0.6997,0.8148,0.1309,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/class_balanced/seed_2/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,3,5,0.3862,0.8358,0.2511,0.6673,0.8043,0.0566,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/class_balanced/seed_3/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,3,50,0.4207,0.9104,0.2735,0.6855,0.8387,0.112,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/class_balanced/seed_3/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,4,5,0.3655,0.791,0.2377,0.6684,0.8108,0.0389,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/class_balanced/seed_4/config.json
b1,class_balanced,dermmnist,RegNetY400MF,class_balanced,L30_G30,4,50,0.3793,0.8209,0.2466,0.6812,0.8188,0.1177,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/class_balanced/seed_4/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,1,5,0.3724,0.806,0.2422,0.6646,0.8278,0.0742,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/danits_lp/seed_1/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,1,50,0.4276,0.9254,0.278,0.7127,0.8417,0.1096,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_1/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,2,5,0.3862,0.8358,0.2511,0.6809,0.8318,0.0773,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/danits_lp/seed_2/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,2,50,0.3931,0.8507,0.2556,0.7122,0.8377,0.1102,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup50/L30_G30/danits_lp/seed_2/config.json
b1,danits_lp,dermmnist,RegNetY400MF,danits_lp,L30_G30,3,5,0.4,0.8657,0.2601,0.6611,0.8308,0.0718,,0.0,4,loc_group,results/track_b/b1/dermmnist/RegNetY400MF/warmup5/L30_G30/danits_lp/seed_3/config.json
