dataset,cap,method,n_runs,n_campaigns,single_campaign,campaigns,seeds
dermmnist,L40_G40,heuristic,4,1,True,grid_l40_l60(4),"1,2,3,4"
dermmnist,L40_G40,hounie_rcl,4,1,True,l40l60_g0(4),"1,2,3,4"
dermmnist,L40_G40,tralo,3,2,False,l40l60_g0(2); grid_l40_l60(1),"3,4,99"
dermmnist,L40_G40,tralo_bounded,4,1,True,grid_l40_l60(4),"1,2,3,4"
dermmnist,L50_G50,danits_lp,12,2,False,blackwell_validation(8); paperv2_phase3_v3(4),"1,2,3,4,5,6,7,8"
dermmnist,L50_G50,fioretto_ldf,12,2,False,blackwell_validation(8); l50fill_g0(4),"1,2,3,4,5,6,7,8"
dermmnist,L50_G50,heuristic,12,2,False,blackwell_validation(8); paperv2_phase3_v3(4),"1,2,3,4,5,6,7,8"
dermmnist,L50_G50,hounie_rcl,12,2,False,blackwell_validation(8); l50fill_g0(4),"1,2,3,4,5,6,7,8"
dermmnist,L50_G50,tralo,12,2,False,blackwell_validation(8); l50fill_g0(4),"1,2,3,4,5,6,7,8"
dermmnist,L50_G50,tralo_bounded,4,1,True,paperv2_phase3_v3(4),"1,2,3,4"
dermmnist,L60_G60,danits_lp,4,1,True,grid_l40_l60(4),"1,2,3,4"
dermmnist,L60_G60,heuristic,4,1,True,grid_l40_l60(4),"1,2,3,4"
dermmnist,L60_G60,hounie_rcl,4,1,True,l40l60_g1(4),"1,2,3,4"
dermmnist,L60_G60,tralo,5,2,False,l40l60_g1(4); grid_l40_l60(1),"1,2,3,4,99"
dermmnist,L60_G60,tralo_bounded,4,1,True,grid_l40_l60(4),"1,2,3,4"
dermmnist,L70_G70,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L70_G70,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L70_G70,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L70_G70,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L70_G70,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L70_G70,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L80_G80,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L80_G80,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L80_G80,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L80_G80,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L80_G80,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L80_G80,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
octmnist,L20_G20,danits_lp,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L20_G20,fioretto_ldf,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L20_G20,heuristic,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L20_G20,hounie_rcl,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L20_G20,tralo,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L20_G20,tralo_bounded,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L30_G30,danits_lp,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L30_G30,fioretto_ldf,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L30_G30,heuristic,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L30_G30,hounie_rcl,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L30_G30,tralo,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L30_G30,tralo_bounded,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L50_G50,danits_lp,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L50_G50,fioretto_ldf,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L50_G50,heuristic,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L50_G50,hounie_rcl,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L50_G50,tralo,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L50_G50,tralo_bounded,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L70_G70,danits_lp,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L70_G70,fioretto_ldf,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L70_G70,heuristic,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L70_G70,hounie_rcl,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L70_G70,tralo,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L70_G70,tralo_bounded,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L80_G80,danits_lp,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L80_G80,fioretto_ldf,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L80_G80,heuristic,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L80_G80,hounie_rcl,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L80_G80,tralo,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
octmnist,L80_G80,tralo_bounded,4,1,True,octmnist_MobileNetV2(4),"1,2,3,4"
tissuemnist,L20_G20,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L20_G20,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L20_G20,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L20_G20,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L20_G20,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L20_G20,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L30_G30,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L30_G30,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L30_G30,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L30_G30,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L30_G30,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L30_G30,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
tissuemnist,L40_G40,danits_lp,4,1,True,grid_l40_l60(4),"1,2,3,4"
tissuemnist,L40_G40,fioretto_ldf,3,1,True,grid_l40_l60(3),"2,3,4"
tissuemnist,L40_G40,heuristic,4,1,True,grid_l40_l60(4),"1,2,3,4"
tissuemnist,L40_G40,hounie_rcl,3,1,True,grid_l40_l60(3),"2,3,4"
tissuemnist,L40_G40,tralo,3,1,True,grid_l40_l60(3),"2,3,4"
tissuemnist,L40_G40,tralo_bounded,4,1,True,grid_l40_l60(4),"1,2,3,4"
tissuemnist,L50_G50,danits_lp,27,3,False,tissue_lowwarm_validation(20); paperv2_phase3_v3(4); tablef_shortwarm(3),"1,2,3,4"
tissuemnist,L50_G50,fioretto_ldf,7,3,False,paperv2_phase3_v3(3); tablef_shortwarm(3); l50fill_g0(1),"1,2,3,4"
