campaign,dataset,cap,model,seed,method,N,K,frac_shift,mu_c,mu_top1,top1_share,top1_class,n_infl_classes,dL2,cnt_before,cnt_after,cnt_shift_only,AP_before,AP_after,AP_shift_only
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,4,tralo_bounded,1190,71,0.24175860081429998,-2.194277222920008,2.596194860329638,1.0,3,1,6.952042269774546,101,28,95,0.9808180499733947,0.7931273758098918,0.9774598548157408
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,4,fioretto_ldf,1190,71,0.23997259072436855,-2.2410710615741687,2.6326336078295536,1.0,3,1,7.089786626862968,101,22,95,0.9808180499733947,0.7804329950326222,0.9774598548157408
results/pending_runs/aider_asym,aider,L30_G70,MobileNetV3,4,hounie_rcl,1190,71,0.22927094207169296,-2.5272749472651284,2.9346792708599754,1.0,3,1,8.124924128240702,101,7,95,0.9808180499733947,0.5479342298907378,0.9770294054826021
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,1,tralo,1190,31,0.31547588100043156,-2.1785904844245443,2.9946747728580623,1.0,3,1,6.686196390195438,111,30,99,0.9917600917072933,0.858753866753691,0.9899656343948766
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,1,tralo_bounded,1190,31,0.3174959839645655,-2.1984273420292757,3.0620025041130186,1.0,3,1,6.790147381225277,111,30,99,0.9917600917072933,0.852751859738584,0.9899456151764269
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,1,fioretto_ldf,1190,31,0.31654334296803055,-2.2257869051523613,3.0679750734463926,1.0,3,1,6.831952916971553,111,28,99,0.9917600917072933,0.8479456294850085,0.9899456151764269
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,1,hounie_rcl,1190,31,0.3101288520302721,-2.364128722051823,3.324468990972396,1.0,3,1,7.443821151512483,111,9,97,0.9917600917072933,0.724192863380405,0.9895889246621782
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,2,tralo,1190,31,0.2355286034491116,-1.8714360287425964,2.2629245378362763,0.9111790755427484,3,1,6.197492179903109,103,31,98,0.9952585860619059,0.9022141370140754,0.9950640789495705
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,2,tralo_bounded,1190,31,0.23864213105750418,-1.9664798460780815,2.4662768384809275,0.9392777921265127,3,1,6.604546434323792,103,25,97,0.9952585860619059,0.8699102179629696,0.9950640789495704
results/pending_runs/aider_asym,aider,L70_G30,MobileNetV3,2,fioretto_ldf,1190,31,0.23872837387541546,-2.0021390846201697,2.500709905386557,0.9284894666383637,3,1,6.7188565252511525,103,25,97,0.9952585860619059,0.8565198654357415,0.9950640789495704
