dataset,model,seed,warmup,sweep,N,K,base,sinkerr_eps1.0,sinkmass_eps1.0,sinkdiscord_eps1.0,sinkerr_eps0.5,sinkmass_eps0.5,sinkdiscord_eps0.5,sinkerr_eps0.1,sinkmass_eps0.1,sinkdiscord_eps0.1,inc_up,inc_dnTPin,inc_dnTPout,inc_upTPin,inc_dnFPin,inc_align,inc_neff,ot_up,ot_dnTPin,ot_dnTPout,ot_upTPin,ot_dnFPin,ot_align,ot_neff,sig1.00_up,sig1.00_dnTPin,sig1.00_dnTPout,sig1.00_upTPin,sig1.00_dnFPin,sig1.00_align,sig1.00_neff,sig0.25_up,sig0.25_dnTPin,sig0.25_dnTPout,sig0.25_upTPin,sig0.25_dnFPin,sig0.25_align,sig0.25_neff,cut0.5_up,cut0.5_dnTPin,cut0.5_dnTPout,cut0.5_upTPin,cut0.5_dnFPin,cut0.5_align,cut0.5_neff,cut1.0_up,cut1.0_dnTPin,cut1.0_dnTPout,cut1.0_upTPin,cut1.0_dnFPin,cut1.0_align,cut1.0_neff
tissuemnist,MobileNetV3,1,30,headroom_b30,2400,86,0.07125,2.986499936241671e-13,86.00000000094394,0.025844101709045435,0.25394564842875667,86.00000000094903,0.3522300958732805,0.6021285188672745,86.50732642793565,0.3526469362234264,0.0,0.00016165717248835265,0.1685111637350008,0.0,0.00021725375031075343,-0.16867282090748914,0.1182153183386941,8.941911987442429e-05,0.0,0.25342639641305065,3.8148055927984786e-05,0.0,-0.25338824835712265,0.10895412148704693,0.0,0.00014786417973310423,0.16420230451386264,0.0,0.0001847321884373648,-0.16435016869359573,0.12092246944210232,0.0,4.445380426576372e-13,0.16365913714607677,0.0,5.645945914323667e-13,-0.16365913714652128,0.027513718419562606,0.375,0.0,0.21875,0.15625,0.0,-0.0625,0.04,0.28,0.0,0.20444444444444446,0.1288888888888889,0.0,-0.07555555555555556,0.09375
tissuemnist,MobileNetV3,2,30,headroom_b30,2400,86,0.07125,8.83022543973766e-10,86.00000000092246,0.01709045435598166,0.2572082490344362,86.00000000096782,0.3618174239266361,0.48040136373203146,86.42463894639644,0.35723218007503127,0.0,0.0001457007296159686,0.17236843870127877,0.0,0.00016626810349365588,-0.17251413943089475,0.12627031534180275,8.22517167515943e-05,0.0,0.23846326163395015,3.8417001023047256e-05,0.0,-0.23842484463292707,0.10684890450727383,0.0,0.00011176566672298572,0.16929596306978542,0.0,0.00014068013416609866,-0.16940772873650847,0.13081415761925552,0.0,1.727488626330391e-13,0.16457845925438067,0.0,1.9957061714181643e-13,-0.16457845925455344,0.03328558653356606,0.44047619047619047,0.0,0.17857142857142858,0.17857142857142858,0.0,0.0,0.035,0.3468208092485549,0.0,0.1791907514450867,0.1791907514450867,0.0,0.0,0.07208333333333333
octmnist,MobileNetV3,4,30,headroom_b30,1000,125,0.25,3.250383762857297e-13,125.00000000093127,0.0890890890890891,0.2223225358915516,125.00000000099274,0.22322322322322322,0.5809067568770928,125.07663798688647,0.2072072072072072,0.0,0.14184476949642158,0.4207063262861757,0.0,0.10101870583436592,-0.5625510957825973,0.12606825390720594,0.1708134031748892,0.0,0.47502660161999516,0.09806523082512715,0.0,-0.37696137079486797,0.08796873502525532,0.0,0.13326725857725208,0.42898831349838346,0.0,0.09563761632437116,-0.5622555720756355,0.12684393610655703,0.0,0.00654720233522295,0.5577499857849668,0.0,0.006172806499670673,-0.5642971881201899,0.030611784791380915,0.3891891891891892,0.0,0.32432432432432434,0.2648648648648649,0.0,-0.05945945945945946,0.185,0.33236994219653176,0.0,0.3092485549132948,0.2514450867052023,0.0,-0.057803468208092484,0.346
octmnist,MobileNetV3,3,30,headroom_b30,1000,125,0.25,5.95781202150647e-11,125.00000000094016,0.036036036036036036,0.24963633996259071,125.00007330474644,0.16016016016016016,0.4847626193847905,128.89614854217268,0.14914914914914915,0.0,0.00786748059383667,0.5589152684973344,0.0,0.002511958834624716,-0.5667827490911711,0.10426153906132408,0.003090424574639289,0.0,0.651242339475276,0.002338513767150208,0.0,-0.6489038257081259,0.08749795485189393,0.0,0.0068259045982848,0.5558112718267185,0.0,0.002088729944724303,-0.5626371764250033,0.10391656017786724,0.0,7.718799528212909e-09,0.5023306997708095,0.0,1.6049782487301547e-08,-0.502330707489609,0.030571820300429146,0.46846846846846846,0.0,0.36936936936936937,0.40540540540540543,0.0,0.036036036036036036,0.111,0.37383177570093457,0.0,0.3691588785046729,0.3317757009345794,0.0,-0.037383177570093455,0.214
octmnist,MobileNetV3,1,30,headroom_b30,1000,125,0.25,2.704991178833585e-12,124.99999999907256,0.11411411411411411,0.23904340714506633,124.99999997745081,0.24124124124124124,0.4571880946799137,124.87684276303744,0.23023023023023023,0.0,0.5013485149814851,0.20651905224256792,0.0,0.1767731555161448,-0.707867567224053,0.08188697047481333,0.7955743074125516,0.0,0.13055741445667732,0.5781619157596684,0.0,0.44760450130299123,0.054530430800916976,0.0,0.48621062467521287,0.22276089123564025,0.0,0.17116125330826212,-0.7089715159108531,0.08232497490264395,0.0,0.7450360985188479,0.01144972044082961,0.0,0.23793370286659093,-0.7564858189596775,0.020450536568682856,0.38848920863309355,0.0,0.3669064748201439,0.28776978417266186,0.0,-0.07913669064748201,0.139,0.3378839590443686,0.0,0.30716723549488056,0.2764505119453925,0.0,-0.030716723549488054,0.293
octmnist,MobileNetV3,2,30,headroom_b30,1000,125,0.25,1.7416506885839714e-14,125.00000000094879,0.037037037037037035,0.2266894733459205,125.00000399225445,0.16216216216216217,0.5703004939662615,126.187540029648,0.15015015015015015,0.0,0.009087873698864326,0.5437901705116241,0.0,0.0032662376704338555,-0.5528780442104885,0.12400481579210938,0.003692431884451432,0.0,0.6181642439701688,0.002719123198905089,0.0,-0.6154451207712637,0.10101347056088904,0.0,0.007753491498365193,0.5419789360213418,0.0,0.002785451714475508,-0.5497324275197071,0.12412665137153427,0.0,1.2411707588892008e-07,0.6014952421455851,0.0,5.0727389224667925e-09,-0.601495366262661,0.035538044093183965,0.4032258064516129,0.0,0.3790322580645161,0.3064516129032258,0.0,-0.07258064516129033,0.124,0.34798534798534797,0.0,0.31868131868131866,0.29304029304029305,0.0,-0.02564102564102564,0.273
octmnist,MobileNetV3,4,30,headroom_b30,1000,125,0.25,3.250383762857297e-13,125.00000000093127,0.0890890890890891,0.2223225358915516,125.00000000099274,0.22322322322322322,0.5809067568770928,125.07663798688647,0.2072072072072072,0.0,0.14184476949642158,0.4207063262861757,0.0,0.10101870583436592,-0.5625510957825973,0.12606825390720594,0.1708134031748892,0.0,0.47502660161999516,0.09806523082512715,0.0,-0.37696137079486797,0.08796873502525532,0.0,0.13326725857725208,0.42898831349838346,0.0,0.09563761632437116,-0.5622555720756355,0.12684393610655703,0.0,0.00654720233522295,0.5577499857849668,0.0,0.006172806499670673,-0.5642971881201899,0.030611784791380915,0.3891891891891892,0.0,0.32432432432432434,0.2648648648648649,0.0,-0.05945945945945946,0.185,0.33236994219653176,0.0,0.3092485549132948,0.2514450867052023,0.0,-0.057803468208092484,0.346
octmnist,MobileNetV3,3,30,headroom_b30,1000,125,0.25,5.95781202150647e-11,125.00000000094016,0.036036036036036036,0.24963633996259071,125.00007330474644,0.16016016016016016,0.4847626193847905,128.89614854217268,0.14914914914914915,0.0,0.00786748059383667,0.5589152684973344,0.0,0.002511958834624716,-0.5667827490911711,0.10426153906132408,0.003090424574639289,0.0,0.651242339475276,0.002338513767150208,0.0,-0.6489038257081259,0.08749795485189393,0.0,0.0068259045982848,0.5558112718267185,0.0,0.002088729944724303,-0.5626371764250033,0.10391656017786724,0.0,7.718799528212909e-09,0.5023306997708095,0.0,1.6049782487301547e-08,-0.502330707489609,0.030571820300429146,0.46846846846846846,0.0,0.36936936936936937,0.40540540540540543,0.0,0.036036036036036036,0.111,0.37383177570093457,0.0,0.3691588785046729,0.3317757009345794,0.0,-0.037383177570093455,0.214
octmnist,MobileNetV3,1,30,headroom_b30,1000,125,0.25,2.704991178833585e-12,124.99999999907256,0.11411411411411411,0.23904340714506633,124.99999997745081,0.24124124124124124,0.4571880946799137,124.87684276303744,0.23023023023023023,0.0,0.5013485149814851,0.20651905224256792,0.0,0.1767731555161448,-0.707867567224053,0.08188697047481333,0.7955743074125516,0.0,0.13055741445667732,0.5781619157596684,0.0,0.44760450130299123,0.054530430800916976,0.0,0.48621062467521287,0.22276089123564025,0.0,0.17116125330826212,-0.7089715159108531,0.08232497490264395,0.0,0.7450360985188479,0.01144972044082961,0.0,0.23793370286659093,-0.7564858189596775,0.020450536568682856,0.38848920863309355,0.0,0.3669064748201439,0.28776978417266186,0.0,-0.07913669064748201,0.139,0.3378839590443686,0.0,0.30716723549488056,0.2764505119453925,0.0,-0.030716723549488054,0.293
octmnist,MobileNetV3,2,30,headroom_b30,1000,125,0.25,1.7416506885839714e-14,125.00000000094879,0.037037037037037035,0.2266894733459205,125.00000399225445,0.16216216216216217,0.5703004939662615,126.187540029648,0.15015015015015015,0.0,0.009087873698864326,0.5437901705116241,0.0,0.0032662376704338555,-0.5528780442104885,0.12400481579210938,0.003692431884451432,0.0,0.6181642439701688,0.002719123198905089,0.0,-0.6154451207712637,0.10101347056088904,0.0,0.007753491498365193,0.5419789360213418,0.0,0.002785451714475508,-0.5497324275197071,0.12412665137153427,0.0,1.2411707588892008e-07,0.6014952421455851,0.0,5.0727389224667925e-09,-0.601495366262661,0.035538044093183965,0.4032258064516129,0.0,0.3790322580645161,0.3064516129032258,0.0,-0.07258064516129033,0.124,0.34798534798534797,0.0,0.31868131868131866,0.29304029304029305,0.0,-0.02564102564102564,0.273
