model_name,base_model_id,constraint_global,constraint_local,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,warmup_epochs,batch_size,dropout,variation_name,optimized_acc,heuristic_acc,saturated_acc,optimized_status,heuristic_status,saturated_status
FTTransformer,FTTransformer_48b11f7745e5,0.3,0.5,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.5407239819004525,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.3,0.5,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.5520361990950227,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.3,0.5,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.5723981900452488,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.8,0.9,5e-05,balanced,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_balanced,0.7104072398190046,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.8,0.9,5e-05,combined,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_combined,0.7081447963800905,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.8,0.9,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.7081447963800905,,,completed,pending,
FTTransformer,FTTransformer_1d72c81f2e6d,0.8,0.9,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.7081447963800905,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.8,0.9,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.7058823529411765,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.8,0.9,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.7239819004524887,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.8,0.9,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.7104072398190046,,,completed,pending,
FTTransformer,FTTransformer_90947ad3ed8b,0.8,0.9,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.7217194570135747,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.8,0.9,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.7126696832579186,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.8,0.9,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.7171945701357466,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.8,0.9,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.7239819004524887,,,completed,pending,
FTTransformer,FTTransformer_44cf6472840c,0.8,0.9,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.7149321266968326,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.8,0.9,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.7013574660633484,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.8,0.9,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.7058823529411765,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.8,0.9,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.7194570135746606,,,completed,pending,
FTTransformer,FTTransformer_48b11f7745e5,0.8,0.9,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.7149321266968326,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.2,0.8,5e-05,balanced,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_balanced,0.5520361990950227,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.2,0.8,5e-05,combined,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_combined,0.5542986425339367,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.2,0.8,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.5542986425339367,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.2,0.8,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.5361990950226244,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.2,0.8,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.583710407239819,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.2,0.8,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.5701357466063348,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.2,0.8,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.5610859728506787,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.2,0.8,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.5701357466063348,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.2,0.8,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.579185520361991,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.2,0.8,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.5859728506787331,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.2,0.8,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.6334841628959276,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.2,0.8,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.667420814479638,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.2,0.8,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.6380090497737556,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.2,0.8,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.6040723981900452,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.2,0.8,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.665158371040724,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.2,0.8,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.6402714932126696,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.3,0.5,5e-05,balanced,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_balanced,0.5678733031674208,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.3,0.5,5e-05,combined,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_combined,0.5565610859728507,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.3,0.5,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.5361990950226244,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.3,0.5,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.5723981900452488,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.3,0.5,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.6176470588235294,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.3,0.5,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.5633484162895928,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.3,0.5,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.5904977375565611,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.3,0.5,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.5633484162895928,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.3,0.5,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.6470588235294118,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.3,0.5,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.669683257918552,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.3,0.5,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.7126696832579186,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.3,0.5,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.6832579185520362,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.3,0.5,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.6809954751131222,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.3,0.5,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.665158371040724,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.3,0.5,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.6900452488687783,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.3,0.5,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.6945701357466063,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.8,0.9,5e-05,balanced,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_balanced,0.7262443438914027,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.8,0.9,5e-05,combined,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_combined,0.6900452488687783,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.8,0.9,5e-05,linear,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_linear,0.7217194570135747,,,completed,pending,
TabularResNet,TabularResNet_8b40cc8d6708,0.8,0.9,5e-05,transfer,0.1,0.1,0.005,50,64,0.3,lr_5e-05_lambda_transfer,0.7104072398190046,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.8,0.9,0.0001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_balanced,0.7217194570135747,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.8,0.9,0.0001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_combined,0.7217194570135747,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.8,0.9,0.0001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_linear,0.7217194570135747,,,completed,pending,
TabularResNet,TabularResNet_c91a9c0c916f,0.8,0.9,0.0001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0001_lambda_transfer,0.7058823529411765,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.8,0.9,0.0005,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_balanced,0.7330316742081447,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.8,0.9,0.0005,combined,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_combined,0.7217194570135747,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.8,0.9,0.0005,linear,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_linear,0.7398190045248869,,,completed,pending,
TabularResNet,TabularResNet_7249503a1523,0.8,0.9,0.0005,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.0005_lambda_transfer,0.746606334841629,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.8,0.9,0.001,balanced,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_balanced,0.7352941176470589,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.8,0.9,0.001,combined,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_combined,0.7352941176470589,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.8,0.9,0.001,linear,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_linear,0.7307692307692307,,,completed,pending,
TabularResNet,TabularResNet_93fcfbe80328,0.8,0.9,0.001,transfer,0.1,0.1,0.005,50,64,0.3,lr_0.001_lambda_transfer,0.7420814479638009,,,completed,pending,
