exp_category,exp_path,model_name,constraint_local,constraint_global,learning_rate,batch_size,epochs,warmup_epochs,lambda_global_init,lambda_local_init,lambda_step,lambda_strategy,constraint_threshold,convergence_window,convergence_required,hidden_dims,dropout,status,used_cached_model,training_time,accuracy,precision_macro,recall_macro,f1_macro,precision_dropout,recall_dropout,f1_dropout,precision_enrolled,recall_enrolled,f1_enrolled,precision_graduate,recall_graduate,f1_graduate
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.6109,0.7095,0.4815,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009982585906982422,0.6109,0.7095,0.4815,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6109,0.7095,0.4815,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009996891021728516,0.6109,0.7095,0.4815,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.7085,0.4774,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010008811950683594,0.6063,0.7085,0.4774,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.7085,0.4774,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.7085,0.4774,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.001001119613647461,0.5747,0.7026,0.431,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.5747,0.7026,0.431,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.5747,0.7026,0.431,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.5747,0.7026,0.431,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.001508951187133789,0.5747,0.6826,0.4283,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009987354278564453,0.5747,0.6826,0.4283,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.5747,0.6826,0.4283,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009984970092773438,0.5747,0.6826,0.4283,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.5701,0.6988,0.429,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.5701,0.6988,0.429,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.5701,0.6988,0.429,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001481771469116211,0.5701,0.6988,0.429,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010056495666503906,0.5724,0.7107,0.4314,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.5724,0.7107,0.4314,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.5724,0.7107,0.4314,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.5724,0.7107,0.4314,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.7466,0.7065,0.6669,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7466,0.7065,0.6669,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.7466,0.7065,0.6669,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010008811950683594,0.7466,0.7065,0.6669,,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7579,0.7194,0.6778,,,,,,,,,,
