model,scenario,constraint_pair,local_pct,global_pct,class,class_name,precision,recall,f1,n_pred,limit,n_true,f1_macro,accuracy
MobileNetV3,multi_AKIEC_MEL,L80_G50,0.8,0.5,4,MEL,0.8125,0.4080717488789238,0.5432835820895522,112,112,223,0.6948569535483327,0.8457314028956565
EfficientNetB0,multi_AKIEC_MEL,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.7265126279684235,0.8666999500748876
EfficientNetB0,multi_AKIEC_MEL,L80_G50,0.8,0.5,4,MEL,0.9196428571428571,0.4618834080717489,0.6149253731343284,112,112,223,0.7265126279684235,0.8666999500748876
ConvNeXtTiny,multi_AKIEC_MEL,L80_G50,0.8,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.7232294757767102,0.8632051922116825
ConvNeXtTiny,multi_AKIEC_MEL,L80_G50,0.8,0.5,4,MEL,0.8125,0.4080717488789238,0.5432835820895522,112,112,223,0.7232294757767102,0.8632051922116825
ResNet18,multi_AKIEC_MEL,L30_G80,0.3,0.8,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,52,65,0.6505408819252204,0.8332501248127808
ResNet18,multi_AKIEC_MEL,L30_G80,0.3,0.8,4,MEL,0.9104477611940298,0.273542600896861,0.42068965517241386,67,178,223,0.6505408819252204,0.8332501248127808
MobileNetV3,multi_AKIEC_MEL,L30_G80,0.3,0.8,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,52,65,0.6493053281981614,0.8312531203195207
MobileNetV3,multi_AKIEC_MEL,L30_G80,0.3,0.8,4,MEL,0.9253731343283582,0.27802690582959644,0.4275862068965518,67,178,223,0.6493053281981614,0.8312531203195207
EfficientNetB0,multi_AKIEC_MEL,L30_G80,0.3,0.8,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,52,65,0.6694793659804155,0.8442336495257114
EfficientNetB0,multi_AKIEC_MEL,L30_G80,0.3,0.8,4,MEL,0.9402985074626866,0.2825112107623318,0.43448275862068964,67,178,223,0.6694793659804155,0.8442336495257114
ConvNeXtTiny,multi_AKIEC_MEL,L30_G80,0.3,0.8,0,AKIEC,0.85,0.26153846153846155,0.4,20,52,65,0.6610063514034398,0.8462306540189716
ConvNeXtTiny,multi_AKIEC_MEL,L30_G80,0.3,0.8,4,MEL,0.8656716417910447,0.2600896860986547,0.39999999999999997,67,178,223,0.6610063514034398,0.8462306540189716
ResNet18,multi_AKIEC_MEL,L30_G50,0.3,0.5,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,32,65,0.6505408819252204,0.8332501248127808
ResNet18,multi_AKIEC_MEL,L30_G50,0.3,0.5,4,MEL,0.9104477611940298,0.273542600896861,0.42068965517241386,67,112,223,0.6505408819252204,0.8332501248127808
MobileNetV3,multi_AKIEC_MEL,L30_G50,0.3,0.5,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,32,65,0.6493053281981614,0.8312531203195207
MobileNetV3,multi_AKIEC_MEL,L30_G50,0.3,0.5,4,MEL,0.9253731343283582,0.27802690582959644,0.4275862068965518,67,112,223,0.6493053281981614,0.8312531203195207
EfficientNetB0,multi_AKIEC_MEL,L30_G50,0.3,0.5,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,32,65,0.6694793659804155,0.8442336495257114
EfficientNetB0,multi_AKIEC_MEL,L30_G50,0.3,0.5,4,MEL,0.9402985074626866,0.2825112107623318,0.43448275862068964,67,112,223,0.6694793659804155,0.8442336495257114
ConvNeXtTiny,multi_AKIEC_MEL,L30_G50,0.3,0.5,0,AKIEC,0.85,0.26153846153846155,0.4,20,32,65,0.6610063514034398,0.8462306540189716
ConvNeXtTiny,multi_AKIEC_MEL,L30_G50,0.3,0.5,4,MEL,0.8656716417910447,0.2600896860986547,0.39999999999999997,67,112,223,0.6610063514034398,0.8462306540189716
ResNet18,multi_AKIEC_NV,L20_G20,0.2,0.2,0,AKIEC,1.0,0.18461538461538463,0.3116883116883117,12,13,65,0.36375697732483153,0.3759360958562157
ResNet18,multi_AKIEC_NV,L20_G20,0.2,0.2,5,NV,0.9664179104477612,0.1931394481730052,0.3219390926041019,268,268,1341,0.36375697732483153,0.3759360958562157
MobileNetV3,multi_AKIEC_NV,L20_G20,0.2,0.2,0,AKIEC,0.9166666666666666,0.16923076923076924,0.28571428571428575,12,13,65,0.3761967343548481,0.3849226160758862
MobileNetV3,multi_AKIEC_NV,L20_G20,0.2,0.2,5,NV,0.996268656716418,0.19910514541387025,0.3318831572405221,268,268,1341,0.3761967343548481,0.3849226160758862
EfficientNetB0,multi_AKIEC_NV,L20_G20,0.2,0.2,0,AKIEC,1.0,0.18461538461538463,0.3116883116883117,12,13,65,0.39143482320927164,0.3934098851722416
EfficientNetB0,multi_AKIEC_NV,L20_G20,0.2,0.2,5,NV,0.996268656716418,0.19910514541387025,0.3318831572405221,268,268,1341,0.39143482320927164,0.3934098851722416
ConvNeXtTiny,multi_AKIEC_NV,L20_G20,0.2,0.2,0,AKIEC,0.9166666666666666,0.16923076923076924,0.28571428571428575,12,13,65,0.4534727725996774,0.40139790314528206
ConvNeXtTiny,multi_AKIEC_NV,L20_G20,0.2,0.2,5,NV,1.0,0.19985085756897839,0.3331261653200746,268,268,1341,0.4534727725996774,0.40139790314528206
ResNet18,multi_AKIEC_NV,L30_G30,0.3,0.3,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,20,65,0.4180333059174966,0.4453320019970045
ResNet18,multi_AKIEC_NV,L30_G30,0.3,0.3,5,NV,0.9776119402985075,0.2930648769574944,0.450946643717728,402,402,1341,0.4180333059174966,0.4453320019970045
MobileNetV3,multi_AKIEC_NV,L30_G30,0.3,0.3,0,AKIEC,0.9,0.27692307692307694,0.42352941176470593,20,20,65,0.42965086062873015,0.45381927109335995
MobileNetV3,multi_AKIEC_NV,L30_G30,0.3,0.3,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,402,1341,0.42965086062873015,0.45381927109335995
EfficientNetB0,multi_AKIEC_NV,L30_G30,0.3,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.451251572684956,0.46280579131303046
EfficientNetB0,multi_AKIEC_NV,L30_G30,0.3,0.3,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,402,1341,0.451251572684956,0.46280579131303046
ConvNeXtTiny,multi_AKIEC_NV,L30_G30,0.3,0.3,0,AKIEC,0.85,0.26153846153846155,0.4,20,20,65,0.5112623486361275,0.4702945581627559
ConvNeXtTiny,multi_AKIEC_NV,L30_G30,0.3,0.3,5,NV,0.9975124378109452,0.29903057419835943,0.46012621916236374,402,402,1341,0.5112623486361275,0.4702945581627559
ResNet18,multi_AKIEC_NV,L50_G50,0.5,0.5,0,AKIEC,0.90625,0.4461538461538462,0.5979381443298969,32,32,65,0.5246875603211995,0.581627558662007
ResNet18,multi_AKIEC_NV,L50_G50,0.5,0.5,5,NV,0.982089552238806,0.4906785980611484,0.6544007956240676,670,670,1341,0.5246875603211995,0.581627558662007
MobileNetV3,multi_AKIEC_NV,L50_G50,0.5,0.5,0,AKIEC,0.90625,0.4461538461538462,0.5979381443298969,32,32,65,0.5268323838017371,0.5866200698951572
MobileNetV3,multi_AKIEC_NV,L50_G50,0.5,0.5,5,NV,0.9865671641791045,0.4929157345264728,0.6573843858776728,670,670,1341,0.5268323838017371,0.5866200698951572
EfficientNetB0,multi_AKIEC_NV,L50_G50,0.5,0.5,0,AKIEC,0.9375,0.46153846153846156,0.6185567010309277,32,32,65,0.5491186599245677,0.5991013479780329
EfficientNetB0,multi_AKIEC_NV,L50_G50,0.5,0.5,5,NV,0.9925373134328358,0.49589858314690527,0.6613625062158129,670,670,1341,0.5491186599245677,0.5991013479780329
ConvNeXtTiny,multi_AKIEC_NV,L50_G50,0.5,0.5,0,AKIEC,0.875,0.4307692307692308,0.5773195876288659,32,32,65,0.6127946932509277,0.6075886170743884
ConvNeXtTiny,multi_AKIEC_NV,L50_G50,0.5,0.5,5,NV,0.9940298507462687,0.4966442953020134,0.662357036300348,670,670,1341,0.6127946932509277,0.6075886170743884
ResNet18,multi_AKIEC_NV,L80_G80,0.8,0.8,0,AKIEC,0.75,0.6,0.6666666666666665,52,52,65,0.6590410962819904,0.7648527209186221
ResNet18,multi_AKIEC_NV,L80_G80,0.8,0.8,5,NV,0.967381174277726,0.7740492170022372,0.859983429991715,1073,1073,1341,0.6590410962819904,0.7648527209186221
MobileNetV3,multi_AKIEC_NV,L80_G80,0.8,0.8,0,AKIEC,0.7884615384615384,0.6307692307692307,0.7008547008547009,52,52,65,0.6789230635204637,0.7718422366450325
MobileNetV3,multi_AKIEC_NV,L80_G80,0.8,0.8,5,NV,0.972972972972973,0.7785234899328859,0.8649544324772162,1073,1073,1341,0.6789230635204637,0.7718422366450325
EfficientNetB0,multi_AKIEC_NV,L80_G80,0.8,0.8,0,AKIEC,0.7307692307692307,0.5846153846153846,0.6495726495726495,52,52,65,0.6830866353496365,0.7803295057413879
EfficientNetB0,multi_AKIEC_NV,L80_G80,0.8,0.8,5,NV,0.9739049394221808,0.779269202087994,0.8657829328914665,1073,1073,1341,0.6830866353496365,0.7803295057413879
ConvNeXtTiny,multi_AKIEC_NV,L80_G80,0.8,0.8,0,AKIEC,0.7884615384615384,0.6307692307692307,0.7008547008547009,52,52,65,0.7456759812292174,0.800798801797304
ConvNeXtTiny,multi_AKIEC_NV,L80_G80,0.8,0.8,5,NV,0.9822926374650512,0.7859806114839671,0.8732394366197183,1073,1073,1341,0.7456759812292174,0.800798801797304
ResNet18,multi_AKIEC_NV,L50_G30,0.5,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.4222647990141618,0.4463305042436346
ResNet18,multi_AKIEC_NV,L50_G30,0.5,0.3,5,NV,0.9776119402985075,0.2930648769574944,0.450946643717728,402,402,1341,0.4222647990141618,0.4463305042436346
MobileNetV3,multi_AKIEC_NV,L50_G30,0.5,0.3,0,AKIEC,1.0,0.3076923076923077,0.47058823529411764,20,20,65,0.43747657140516777,0.4558162755866201
MobileNetV3,multi_AKIEC_NV,L50_G30,0.5,0.3,5,NV,0.9950248756218906,0.29828486204325133,0.45897877223178435,402,402,1341,0.43747657140516777,0.4558162755866201
EfficientNetB0,multi_AKIEC_NV,L50_G30,0.5,0.3,0,AKIEC,0.95,0.2923076923076923,0.44705882352941173,20,20,65,0.44906087798200556,0.4618072890664004
EfficientNetB0,multi_AKIEC_NV,L50_G30,0.5,0.3,5,NV,0.9925373134328358,0.2975391498881432,0.4578313253012048,402,402,1341,0.44906087798200556,0.4618072890664004
