dataset,model,warmup_epochs,constrained_class,constraint_tag,method,seed,acc,f1m,ccf1,ccrec,ccprec,flips,sat
octmnist,MobileNetV3,50,2,L50_G50,heuristic,4,0.769,0.754,0.576,0.432,0.864,42.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,hounie_rcl,1,0.767,0.7522,0.5653,0.424,0.848,28.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,hounie_rcl,2,0.777,0.7632,0.5973,0.448,0.896,7.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,hounie_rcl,3,0.78,0.7652,0.5813,0.436,0.872,24.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,hounie_rcl,4,0.782,0.7664,0.576,0.432,0.864,9.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo,1,0.766,0.7516,0.5707,0.428,0.856,3.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo,2,0.777,0.7639,0.6027,0.452,0.904,1.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo,3,0.791,0.7768,0.6027,0.452,0.904,2.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo,4,0.776,0.7593,0.5547,0.416,0.832,0.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo_bounded,1,0.768,0.7535,0.5707,0.428,0.856,23.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo_bounded,2,0.777,0.7632,0.5973,0.448,0.896,4.0,1.0
octmnist,MobileNetV3,50,2,L50_G50,tralo_bounded,3,0.78,0.7654,0.5813,0.436,0.872,9.0,0.0
octmnist,MobileNetV3,50,2,L50_G50,tralo_bounded,4,0.783,0.7674,0.576,0.432,0.864,9.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,danits_lp,1,0.755,0.7517,0.6934,0.588,0.8448,86.0,0.0
octmnist,MobileNetV3,50,2,L70_G70,danits_lp,2,0.708,0.6965,0.5911,0.48,0.7692,3.0,0.0
octmnist,MobileNetV3,50,2,L70_G70,danits_lp,3,0.725,0.715,0.597,0.48,0.7895,0.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,danits_lp,4,0.792,0.7847,0.6619,0.552,0.8263,0.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,fioretto_ldf,1,0.771,0.7637,0.6274,0.532,0.7644,19.0,0.0
octmnist,MobileNetV3,50,2,L70_G70,fioretto_ldf,2,0.799,0.7931,0.684,0.58,0.8333,21.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,fioretto_ldf,3,0.789,0.7826,0.6557,0.556,0.7989,17.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,fioretto_ldf,4,0.8,0.7931,0.6604,0.56,0.8046,17.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,heuristic,1,0.755,0.7517,0.6934,0.588,0.8448,86.0,0.0
octmnist,MobileNetV3,50,2,L70_G70,heuristic,2,0.72,0.7103,0.6321,0.536,0.7701,23.0,0.0
octmnist,MobileNetV3,50,2,L70_G70,heuristic,3,0.725,0.7163,0.6132,0.52,0.7471,22.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,heuristic,4,0.791,0.7845,0.6651,0.564,0.8103,7.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,hounie_rcl,1,0.775,0.7678,0.6321,0.536,0.7701,19.0,1.0
octmnist,MobileNetV3,50,2,L70_G70,hounie_rcl,2,0.799,0.7931,0.684,0.58,0.8333,21.0,1.0
