dataset,model,cap,seed,warmup,sweep,N,K,base,mad,theta,sink_maxerr_eps1.0,sink_mass_eps1.0,sink_spearman_eps1.0,sink_topK_jacc_eps1.0,sink_maxerr_eps0.5,sink_mass_eps0.5,sink_spearman_eps0.5,sink_topK_jacc_eps0.5,align_incumbent,neff_incumbent,align_otce,neff_otce,otce_wfar,nact_g0.25,nactfrac_g0.25,actkeepTP_g0.25,actdropTP_g0.25,nkeep_g0.25,ndrop_g0.25,align_cut_g0.25,nact_g0.50,nactfrac_g0.50,actkeepTP_g0.50,actdropTP_g0.50,nkeep_g0.50,ndrop_g0.50,align_cut_g0.50,nact_g1.00,nactfrac_g1.00,actkeepTP_g1.00,actdropTP_g1.00,nkeep_g1.00,ndrop_g1.00,align_cut_g1.00,nact_g2.00,nactfrac_g2.00,actkeepTP_g2.00,actdropTP_g2.00,nkeep_g2.00,ndrop_g2.00,align_cut_g2.00
octmnist,MobileNetV3,L50_G50,4,30,headroom_b30,1000,125,0.25,9.871652656058407,1.2241598058919965,0.21326821788375322,125.0000009046787,0.9999554049512577,0.984,0.5185158592603921,125.00000095776547,0.9999926859919838,1.0,-0.5625511052187382,0.12606825275645678,-0.4303238251023936,0.08767437512954639,6.5078532859532505e-09,102,0.102,0.5714285714285714,0.6037735849056604,49,53,-0.0392156862745098,181,0.181,0.6527777777777778,0.5412844036697247,72,109,-0.06629834254143646,347,0.347,0.7435897435897436,0.47391304347826085,117,230,-0.06340057636887608,609,0.609,0.7560975609756098,0.2962962962962963,123,486,-0.08374384236453201
octmnist,MobileNetV3,L50_G50,3,30,headroom_b30,1000,125,0.25,7.966698773410062,4.451153020011111,0.15921944566697288,125.0000009817918,0.9999580239544978,0.984,0.9730504023618398,125.00737265100227,0.9999933399927006,0.992,-0.5667827278418408,0.10426152852672327,-0.6650001502563835,0.08750781377928685,6.21600432208194e-06,49,0.049,0.8214285714285714,0.8571428571428571,28,21,0.10204081632653061,102,0.102,0.8431372549019608,0.7254901960784313,51,51,0.058823529411764705,207,0.207,0.8780487804878049,0.616,82,125,-0.024154589371980676,479,0.479,0.8983050847457628,0.3296398891966759,118,361,-0.027139874739039668
octmnist,MobileNetV3,L50_G50,1,30,headroom_b30,1000,125,0.25,9.55116169334439,-1.1866480635570311,0.20163803630799193,110.61967422874314,0.999960780956663,0.992,0.1711325096271284,109.25334807270687,0.999992889992122,1.0,-0.7078675762850468,0.08188697629612456,0.4472541428075748,0.05452016262071852,1.944956972836371e-09,78,0.078,0.7419354838709677,0.6382978723404256,31,47,-0.08974358974358974,138,0.138,0.7592592592592593,0.6071428571428571,54,84,-0.07246376811594203,291,0.291,0.8163265306122449,0.46632124352331605,98,193,-0.03436426116838488,581,0.581,0.8373983739837398,0.27292576419213976,123,458,-0.0378657487091222
octmnist,MobileNetV3,L50_G50,2,30,headroom_b30,1000,125,0.25,8.038478857968254,3.806351425461883,0.187236118383858,125.00000099142892,0.99994638394188,0.992,0.963061298055874,125.00102469327135,0.9999910389902057,1.0,-0.5528780318693021,0.12400481080069536,-0.6292722356261403,0.10103424319557937,2.3719352870379173e-06,63,0.063,0.6538461538461539,0.7027027027027027,26,37,-0.14285714285714285,123,0.123,0.7450980392156863,0.6527777777777778,51,72,-0.07317073170731707,272,0.272,0.8315789473684211,0.4915254237288136,95,177,-0.029411764705882353,542,0.542,0.8688524590163934,0.3,122,420,-0.03690036900369004
dermmnist,RegNetY400MF,L30_G30,4,30,headroom_b30,2003,67,0.11133300049925113,2.3741150651825045,4.967731224485984,0.24043016188539934,67.00000085274091,0.9998401737573224,0.9552238805970149,0.9839820468499001,67.00000095486544,0.9999825197746749,0.9850746268656716,-0.37911915351820213,0.08578154231449273,-0.5813108736387717,0.07637792689910194,0.20686819612324564,31,0.01547678482276585,0.7222222222222222,0.9230769230769231,18,13,0.03225806451612903,57,0.028457314028956564,0.7407407407407407,0.8,27,30,-0.07017543859649122,90,0.044932601098352475,0.7948717948717948,0.7450980392156863,39,51,-0.07777777777777778,161,0.08037943085371942,0.8333333333333334,0.6355140186915887,54,107,-0.14285714285714285
dermmnist,RegNetY400MF,L30_G30,3,30,headroom_b30,2003,67,0.11133300049925113,2.474815040319406,5.34691976526336,0.16618426504623918,67.00000097502176,0.9998198861833203,0.9850746268656716,0.9898130901304628,67.00000097249531,0.9999783565363178,1.0,-0.4951234208463912,0.08318130976487065,-0.5993190101811389,0.06516976712259577,0.31004327249574953,15,0.0074887668497254116,0.625,0.42857142857142855,8,7,0.13333333333333333,29,0.014478282576135796,0.6428571428571429,0.7333333333333333,14,15,-0.06896551724137931,64,0.03195207189216176,0.8064516129032258,0.6363636363636364,31,33,0.0625,125,0.06240639041437843,0.8461538461538461,0.6575342465753424,52,73,-0.032
dermmnist,RegNetY400MF,L30_G30,1,30,headroom_b30,2003,67,0.11133300049925113,1.9328193882647877,6.079999447334894,0.18028057215693738,67.00000090930224,0.9997712772396344,0.9850746268656716,0.995578835414504,67.00000095257124,0.9999742769211128,1.0,-0.43662556210591597,0.07017914602611634,-0.6198815468350896,0.06661285259229124,0.38302089218200924,15,0.0074887668497254116,0.6666666666666666,0.8888888888888888,6,9,-0.26666666666666666,27,0.01347978032950574,0.6666666666666666,0.8,12,15,-0.14814814814814814,50,0.02496255616575137,0.7391304347826086,0.7777777777777778,23,27,-0.08,116,0.05791313030454318,0.8367346938775511,0.7164179104477612,49,67,-0.0603448275862069
dermmnist,RegNetY400MF,L30_G30,2,30,headroom_b30,2003,67,0.11133300049925113,2.5008430285948426,4.385391963003819,0.21256429505142715,67.00000085806354,0.9998058867717001,0.9701492537313433,0.9777686259675963,67.00000095754072,0.9999788956069947,1.0,-0.4151898366201934,0.10515801528018648,-0.5386202695052639,0.08427629878973583,0.12911009603621132,27,0.01347978032950574,0.5,0.6842105263157895,8,19,-0.3333333333333333,45,0.022466300549176237,0.625,0.6896551724137931,16,29,-0.2222222222222222,93,0.046430354468297554,0.7692307692307693,0.6851851851851852,39,54,-0.07526881720430108,203,0.10134797803295058,0.8333333333333334,0.5314685314685315,60,143,-0.12807881773399016
dermmnist,RegNetY400MF,L30_G30,4,30,headroom_b30,2003,67,0.11133300049925113,2.3741150651825045,4.967731224485984,0.24043016188539934,67.00000085274091,0.9998401737573224,0.9552238805970149,0.9839820468499001,67.00000095486544,0.9999825197746749,0.9850746268656716,-0.37911915351820213,0.08578154231449273,-0.5813108736387717,0.07637792689910194,0.20686819612324564,31,0.01547678482276585,0.7222222222222222,0.9230769230769231,18,13,0.03225806451612903,57,0.028457314028956564,0.7407407407407407,0.8,27,30,-0.07017543859649122,90,0.044932601098352475,0.7948717948717948,0.7450980392156863,39,51,-0.07777777777777778,161,0.08037943085371942,0.8333333333333334,0.6355140186915887,54,107,-0.14285714285714285
dermmnist,RegNetY400MF,L30_G30,3,30,headroom_b30,2003,67,0.11133300049925113,2.474815040319406,5.34691976526336,0.16618426504623918,67.00000097502176,0.9998198861833203,0.9850746268656716,0.9898130901304628,67.00000097249531,0.9999783565363178,1.0,-0.4951234208463912,0.08318130976487065,-0.5993190101811389,0.06516976712259577,0.31004327249574953,15,0.0074887668497254116,0.625,0.42857142857142855,8,7,0.13333333333333333,29,0.014478282576135796,0.6428571428571429,0.7333333333333333,14,15,-0.06896551724137931,64,0.03195207189216176,0.8064516129032258,0.6363636363636364,31,33,0.0625,125,0.06240639041437843,0.8461538461538461,0.6575342465753424,52,73,-0.032
