method,dataset,model,cap,seed,warmup,lrc,ceskip,sweep,N,K,base_rate,prec_at_K,mad_m,std_m,theta,Bsz_f0.05,keepTP_f0.05,dropTP_f0.05,purgap_f0.05,bandwidth_norm_f0.05,band_absmarg_norm_f0.05,band_runup_top1_f0.05,band_runup_ndist_f0.05,cut_wTP_f0.05,cut_wMISSED_f0.05,cut_wFPin_f0.05,cut_neff_f0.05,Bsz_f0.10,keepTP_f0.10,dropTP_f0.10,purgap_f0.10,bandwidth_norm_f0.10,band_absmarg_norm_f0.10,band_runup_top1_f0.10,band_runup_ndist_f0.10,cut_wTP_f0.10,cut_wMISSED_f0.10,cut_wFPin_f0.10,cut_neff_f0.10,Bsz_f0.20,keepTP_f0.20,dropTP_f0.20,purgap_f0.20,bandwidth_norm_f0.20,band_absmarg_norm_f0.20,band_runup_top1_f0.20,band_runup_ndist_f0.20,cut_wTP_f0.20,cut_wMISSED_f0.20,cut_wFPin_f0.20,cut_neff_f0.20,inc_wTP,inc_wMISSED,inc_wFPin,inc_neff,inc_neff_frac,sig_wTP_tau1.00,sig_wMISSED_tau1.00,sig_wFPin_tau1.00,sig_neff_tau1.00,sig_nefffrac_tau1.00,sig_wTP_tau0.25,sig_wMISSED_tau0.25,sig_wFPin_tau0.25,sig_neff_tau0.25,sig_nefffrac_tau0.25,sig_wTP_tau0.05,sig_wMISSED_tau0.05,sig_wFPin_tau0.05,sig_neff_tau0.05,sig_nefffrac_tau0.05,path
tralo_bounded,tissuemnist,ViTB16,L40_G40,4,50,5e-06,True,,2400,68,0.07125,0.6029411764705882,1.528231234830412,3.6132007838257962,-0.15289535962786027,120,0.6,0.4,0.19999999999999996,0.02692408904127019,1.8093903835228962,0.36666666666666664,5,0.5,0.2,0.2,120.0,188,0.6029411764705882,0.325,0.2779411764705882,0.02692408904127019,2.3460097080670717,0.34574468085106386,5,0.425531914893617,0.2074468085106383,0.14361702127659576,188.0,308,0.6029411764705882,0.25833333333333336,0.34460784313725484,0.02692408904127019,3.0001476569543493,0.2824675324675325,5,0.3344155844155844,0.2012987012987013,0.08766233766233766,308.0,0.4851301130592307,0.21864950973239525,0.26690951640060157,73.44893684693352,0.0306037236862223,0.46706543204949447,0.22374570120743006,0.2429939066757944,76.43332247268837,0.03184721769695349,0.5410272638245412,0.14714488399287753,0.3416686497621083,18.005840901066097,0.00750243370877754,0.6265551286762667,0.008553879367908534,0.32427381803387184,5.079649014709542,0.0021165204227956425,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/tralo_bounded/seed_4/config.json
tralo_bounded,tissuemnist,ViTB16,L40_G40,3,50,5e-06,True,,2400,68,0.07125,0.6617647058823529,1.573057705326181,3.6597803012442234,-0.9765419267188864,120,0.6666666666666666,0.4666666666666667,0.19999999999999996,0.0030026691777369895,1.6802129280233742,0.375,7,0.5666666666666667,0.23333333333333334,0.16666666666666666,120.0,188,0.6617647058823529,0.3416666666666667,0.32009803921568625,0.0030026691777369895,2.144495775501102,0.3670212765957447,7,0.4574468085106383,0.21808510638297873,0.12234042553191489,188.0,308,0.6617647058823529,0.25416666666666665,0.40759803921568627,0.0030026691777369895,2.7018739762884043,0.33116883116883117,6,0.34415584415584416,0.19805194805194806,0.07467532467532467,308.0,0.4540621411978343,0.14853747279125476,0.33959291071529807,68.72951036168583,0.02863729598403576,0.4595477236600116,0.1867784176905341,0.3110578673125524,72.87582221158425,0.030364925921493438,0.35634288628734323,0.021186318436296248,0.6338964827037245,15.407128861940196,0.006419637025808415,0.20208854865064407,1.1006227543578617e-08,0.7979114498668414,2.7322472895696523,0.0011384363706540218,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/tralo_bounded/seed_3/config.json
tralo_bounded,tissuemnist,ViTB16,L40_G40,1,50,5e-06,True,,2400,68,0.07125,0.7058823529411765,1.4590397331214513,3.6170839939446164,0.005297884659513752,120,0.7,0.38333333333333336,0.3166666666666666,0.04303719371567128,2.1688085634749426,0.45,6,0.5416666666666666,0.19166666666666668,0.15,120.0,188,0.7058823529411765,0.3333333333333333,0.3725490196078432,0.04303719371567128,2.9086613695614076,0.3617021276595745,6,0.46808510638297873,0.2127659574468085,0.10638297872340426,188.0,308,0.7058823529411765,0.25833333333333336,0.44754901960784316,0.04303719371567128,3.7267738283709804,0.33766233766233766,6,0.35714285714285715,0.2012987012987013,0.06493506493506493,308.0,0.5307849361275936,0.1931824147092207,0.21722198279367877,58.566105360828885,0.02440254390034537,0.5028666537969267,0.2014250237457935,0.2058204574619853,59.91388128436786,0.024964117201819944,0.5229502044436821,0.17617517852842082,0.27922189590047425,15.414767872874625,0.006422819947031094,0.40991461496778153,0.3352562646083801,0.5717926686105015,3.5511281280413414,0.0014796367200172256,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/tralo_bounded/seed_1/config.json
tralo_bounded,tissuemnist,ViTB16,L40_G40,2,50,5e-06,True,,2400,68,0.07125,0.6470588235294118,1.5091247027932493,3.44837240676546,-0.9474021846838501,120,0.65,0.43333333333333335,0.21666666666666667,0.07064331167303406,1.909115120229076,0.31666666666666665,6,0.5416666666666666,0.21666666666666667,0.175,120.0,188,0.6470588235294118,0.2916666666666667,0.3553921568627451,0.07064331167303406,2.4771699593270022,0.30851063829787234,6,0.42021276595744683,0.18617021276595744,0.1276595744680851,188.0,308,0.6470588235294118,0.2375,0.4095588235294118,0.07064331167303406,3.0516591784317977,0.2824675324675325,6,0.32792207792207795,0.18506493506493507,0.07792207792207792,308.0,0.5661651349855222,0.15902931050804386,0.29741739311057985,62.74927646417411,0.026145531860072544,0.5589181445654073,0.17549409028280458,0.2726088310437861,64.88813693181895,0.02703672372159123,0.5736267744688387,0.02017328678558775,0.4160353094688212,13.23022031816569,0.005512591799235704,0.13996578372320864,5.026388703595797e-09,0.8600342137399065,2.608327449734023,0.0010868031040558428,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/tralo_bounded/seed_2/config.json
heuristic,tissuemnist,ViTB16,L40_G40,4,50,5e-06,,,2400,68,0.07125,0.5882352941176471,1.904757553295311,4.473355088872871,3.793537637689103,120,0.5666666666666667,0.43333333333333335,0.1333333333333333,0.02877659416664478,1.0979498638178515,0.3416666666666667,5,0.5,0.21666666666666667,0.21666666666666667,120.0,188,0.5882352941176471,0.35833333333333334,0.22990196078431374,0.02877659416664478,1.509805050948044,0.2978723404255319,5,0.44148936170212766,0.22872340425531915,0.14893617021276595,188.0,308,0.5882352941176471,0.2916666666666667,0.2965686274509804,0.02877659416664478,2.2348876202577697,0.288961038961039,5,0.35714285714285715,0.22727272727272727,0.09090909090909091,308.0,0.27823125283623745,0.27257046385168265,0.007106544328769176,182.5133074869789,0.07604721145290788,0.2723152633042326,0.268725693782396,0.004916323600660241,185.2964586872703,0.07720685778636263,0.3000243236301177,0.3000242987159436,8.123527756863995e-08,40.59108582581207,0.016912952427421697,0.47653981679203306,0.47653981679203317,0.0,8.623055195925827,0.003592939664969095,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/heuristic/seed_4/config.json
heuristic,tissuemnist,ViTB16,L40_G40,3,50,5e-06,,,2400,68,0.07125,0.6470588235294118,1.9070529326850973,4.620615764734869,3.7995373855763823,120,0.6333333333333333,0.45,0.1833333333333333,0.07433131601733683,1.0501693800543548,0.3416666666666667,6,0.5416666666666666,0.225,0.18333333333333332,120.0,188,0.6470588235294118,0.375,0.2720588235294118,0.07433131601733683,1.4974704065482642,0.3670212765957447,7,0.4734042553191489,0.2393617021276596,0.1276595744680851,188.0,308,0.6470588235294118,0.2708333333333333,0.3762254901960785,0.07433131601733683,2.3540374475567436,0.33116883116883117,7,0.3538961038961039,0.21103896103896103,0.07792207792207792,308.0,0.3316384087987968,0.32486553868234946,0.01035458885697144,159.68279713344188,0.06653449880560078,0.3125321529499588,0.3069597913605071,0.006524693510397915,160.89431948683477,0.06703929978618116,0.4265763748446798,0.42657631657886325,1.0333006308852654e-07,41.17422851646052,0.01715592854852522,0.5977846150984106,0.5977846150984106,0.0,9.785322509839522,0.004077217712433134,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/heuristic/seed_3/config.json
heuristic,tissuemnist,ViTB16,L40_G40,1,50,5e-06,,,2400,68,0.07125,0.6764705882352942,1.9719753616276474,5.247469243899955,6.510175409704991,120,0.6666666666666666,0.45,0.21666666666666662,0.08684278605775332,0.8040034913956493,0.45,5,0.5583333333333333,0.225,0.16666666666666666,120.0,188,0.6764705882352942,0.375,0.30147058823529416,0.08684278605775332,1.2772839388747521,0.40425531914893614,5,0.48404255319148937,0.2393617021276596,0.11702127659574468,188.0,308,0.6764705882352942,0.2916666666666667,0.38480392156862747,0.08684278605775332,2.3072559747037626,0.37012987012987014,5,0.37662337662337664,0.22727272727272727,0.07142857142857142,308.0,0.2429357858599772,0.24213858115646075,0.0004230658091499132,165.5521988115261,0.06898008283813588,0.23576135446635235,0.23528136250276102,0.000250908016613791,168.45252261129198,0.07018855108803833,0.20683220821781334,0.20683220821668263,4.881457970155447e-13,40.53004910537897,0.01688752046057457,0.14359500632568084,0.14359500632568084,0.0,7.704789749745382,0.003210329062393909,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/heuristic/seed_1/config.json
heuristic,tissuemnist,ViTB16,L40_G40,2,50,5e-06,,,2400,68,0.07125,0.6764705882352942,1.7560062434623411,4.272315334498306,3.286377469839144,120,0.7,0.5,0.19999999999999996,0.019992625254950918,1.2667535378742107,0.44166666666666665,5,0.6,0.25,0.15,120.0,188,0.6764705882352942,0.3333333333333333,0.34313725490196084,0.019992625254950918,1.8330338799958468,0.4095744680851064,5,0.4574468085106383,0.2127659574468085,0.11702127659574468,188.0,308,0.6764705882352942,0.25833333333333336,0.4181372549019608,0.019992625254950918,2.7184434427534243,0.36038961038961037,5,0.35064935064935066,0.2012987012987013,0.07142857142857142,308.0,0.3183527563609788,0.30196768271759744,0.01120165448789202,138.15193669107123,0.05756330695461301,0.295164433038254,0.28357735890827407,0.007025632285075959,142.5547275696482,0.05939780315402009,0.3667095828324172,0.36670901815254175,5.52025051000549e-07,30.60444354902635,0.012751851478760979,0.5045021412997592,0.5045021412997592,0.0,6.438432558402113,0.002682680232667547,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L40_G40/heuristic/seed_2/config.json
hounie_rcl,tissuemnist,ViTB16,L10_G10,4,50,5e-06,,,2400,17,0.07125,0.7058823529411765,1.3459286590983943,2.6287698011364644,-0.4829611052087783,77,0.7058823529411765,0.5,0.20588235294117652,0.22672293708828023,2.579493824181685,0.38961038961038963,5,0.5454545454545454,0.38961038961038963,0.06493506493506493,77.0,137,0.7058823529411765,0.38333333333333336,0.32254901960784316,0.22672293708828023,3.418299966556312,0.3357664233576642,5,0.4233576642335766,0.3357664233576642,0.0364963503649635,137.0,257,0.7058823529411765,0.2916666666666667,0.41421568627450983,0.22672293708828023,4.42448032560633,0.2607003891050584,6,0.31906614785992216,0.2723735408560311,0.019455252918287938,257.0,0.706509762460339,0.3601615468404987,0.12462975101973114,28.2729767855339,0.011780406993972458,0.713149135831828,0.4046008217669549,0.0981731286953872,28.542782771781322,0.011892826154908885,0.7556683019578408,0.2099594739578875,0.23290639382398984,5.937918098841007,0.002474132541183753,0.5435469126116527,0.00017348355894757412,0.456453082085242,2.2859994901926095,0.0009524997875802539,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L10_G10/hounie_rcl/seed_4/config.json
hounie_rcl,tissuemnist,ViTB16,L10_G10,3,50,5e-06,,,2400,17,0.07125,0.8235294117647058,1.3961119785047948,2.771204770665673,-0.44760795725865676,77,0.8235294117647058,0.5333333333333333,0.2901960784313725,0.17624138127760564,2.5355835665904496,0.38961038961038963,7,0.5974025974025974,0.4155844155844156,0.03896103896103896,77.0,137,0.8235294117647058,0.44166666666666665,0.3818627450980392,0.17624138127760564,3.2879814838470884,0.36496350364963503,7,0.48905109489051096,0.38686131386861317,0.021897810218978103,137.0,257,0.8235294117647058,0.31666666666666665,0.5068627450980392,0.17624138127760564,4.279095911724291,0.29571984435797666,7,0.35019455252918286,0.29571984435797666,0.011673151750972763,257.0,0.7225431046065182,0.30155892079914653,0.007180070302539525,25.56331912689873,0.010651382969541138,0.7148600461569329,0.33521778126508217,0.005925819419414231,27.93163631577896,0.011638181798241233,0.7942507280663693,0.029619014650708028,1.581955385481994e-08,5.207070094766035,0.002169612539485848,0.9995117164130588,8.177213004225562e-08,0.0,1.2927330553144403,0.0005386387730476834,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L10_G10/hounie_rcl/seed_3/config.json
hounie_rcl,tissuemnist,ViTB16,L10_G10,1,50,5e-06,,,2400,17,0.07125,0.7058823529411765,1.2448483487006827,2.595665657930194,-0.2493810704682909,77,0.7058823529411765,0.5833333333333334,0.12254901960784315,0.3724930884867583,3.1135510648251232,0.45454545454545453,6,0.6103896103896104,0.45454545454545453,0.06493506493506493,77.0,137,0.7058823529411765,0.4583333333333333,0.2475490196078432,0.3724930884867583,4.208218440755047,0.36496350364963503,6,0.48905109489051096,0.40145985401459855,0.0364963503649635,137.0,257,0.7058823529411765,0.31666666666666665,0.38921568627450986,0.3724930884867583,5.407748604099555,0.311284046692607,6,0.3424124513618677,0.29571984435797666,0.019455252918287938,257.0,0.691671908800519,0.3453722053584942,0.09858748453706816,25.027311508478146,0.010428046461865894,0.6918429859959832,0.38343546033381404,0.08982365409875023,25.991606825416767,0.010829836177256986,0.668975754846025,0.2323229123788537,0.2473705235943559,5.625877311968048,0.002344115546653353,0.8101103364998793,0.00033531719707287024,0.18988842459063954,1.4466431887266233,0.0006027679953027597,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L10_G10/hounie_rcl/seed_1/config.json
hounie_rcl,tissuemnist,ViTB16,L10_G10,2,50,5e-06,,,2400,17,0.07125,0.6470588235294118,1.3430004200135714,2.6041771986907474,-0.8809163084887,77,0.6470588235294118,0.5833333333333334,0.06372549019607843,0.35492623662592254,2.59878116309113,0.2857142857142857,6,0.5974025974025974,0.45454545454545453,0.07792207792207792,77.0,137,0.6470588235294118,0.425,0.2220588235294118,0.35492623662592254,3.4139076841542453,0.25547445255474455,6,0.45255474452554745,0.3722627737226277,0.043795620437956206,137.0,257,0.6470588235294118,0.29583333333333334,0.35122549019607846,0.35492623662592254,4.323614549293852,0.23735408560311283,7,0.31906614785992216,0.27626459143968873,0.023346303501945526,257.0,0.6878594375129483,0.2890256544145113,0.18490021703705076,23.409435106146113,0.009753931294227547,0.6800258661824824,0.31745628814811766,0.1665851559129632,25.461413069511828,0.010608922112296595,0.6469552074910391,0.01513054276427343,0.3522347174885877,5.162554553697494,0.002151064397373956,0.3750313816159913,7.761167442310205e-09,0.6249686183840084,1.9115942880853165,0.0007964976200355486,results/pending_runs/paper_final/lane0/ViTB16/tissuemnist/L10_G10/hounie_rcl/seed_2/config.json
