dataset,seed,method,policy,accuracy,macro_f1,cc_f1,raw_feasible,task_updates,constraint_updates,joint_constraint_updates
cifar,1002,tralo_null,capped_first,0.6185,0.6123352885717913,0.5197804491493131,False,800,0,0
cifar,1003,alm_0.005,raw,0.6065,0.597817322735634,0.3884731606819892,False,800,0,600
cifar,1003,alm_0.005,upper_bound_correction,0.6065,0.5978987475980692,0.38979891825774676,False,800,0,600
cifar,1003,alm_0.005,capped_first,0.614,0.6095281557174672,0.501106614023865,False,800,0,600
cifar,1003,alm_0.015,raw,0.6085,0.6007141036660786,0.40788202909477755,True,800,0,600
cifar,1003,alm_0.015,upper_bound_correction,0.6085,0.6007141036660786,0.40788202909477755,True,800,0,600
cifar,1003,alm_0.015,capped_first,0.613,0.6085048635479295,0.4955510584683095,True,800,0,600
cifar,1003,alm_0.05,raw,0.6065,0.5983475802141903,0.3945706700684084,True,800,0,600
cifar,1003,alm_0.05,upper_bound_correction,0.6065,0.5983475802141903,0.3945706700684084,True,800,0,600
cifar,1003,alm_0.05,capped_first,0.6125,0.6080251476932961,0.4955510584683095,True,800,0,600
cifar,1003,alm_0.15,raw,0.6045,0.5963217375460281,0.3908473742071815,True,800,0,600
cifar,1003,alm_0.15,upper_bound_correction,0.6045,0.5963217375460281,0.3908473742071815,True,800,0,600
cifar,1003,alm_0.15,capped_first,0.612,0.6077238667184018,0.4933070191976223,True,800,0,600
cifar,1003,alm_0.5,raw,0.6005,0.5920607766180788,0.38815427440080935,True,800,0,600
cifar,1003,alm_0.5,upper_bound_correction,0.6005,0.5920607766180788,0.38815427440080935,True,800,0,600
cifar,1003,alm_0.5,capped_first,0.607,0.6026585016883635,0.48685540629439644,True,800,0,600
cifar,1003,alm_1.5,raw,0.5945,0.5849528369948898,0.3743430980783922,True,800,0,600
cifar,1003,alm_1.5,upper_bound_correction,0.5945,0.5849528369948898,0.3743430980783922,True,800,0,600
cifar,1003,alm_1.5,capped_first,0.603,0.5987065420176898,0.4995570191976223,True,800,0,600
cifar,1003,alm_5,raw,0.5945,0.5845836946344966,0.4181825260292218,False,800,0,600
cifar,1003,alm_5,upper_bound_correction,0.5925,0.582398111992297,0.4019219605426502,False,800,0,600
cifar,1003,alm_5,capped_first,0.5985,0.5937720609926034,0.5108234469156628,False,800,0,600
cifar,1003,clipper,raw,0.6275,0.6256267537088653,0.6149324537754408,False,800,0,0
cifar,1003,clipper,upper_bound_correction,0.6125,0.6089419334658135,0.5210686939158188,False,800,0,0
cifar,1003,clipper,capped_first,0.6125,0.6089314304454421,0.5210686939158188,False,800,0,0
cifar,1003,tralo_0.0001,raw,0.628,0.6262216822761079,0.6071885432594939,False,800,15,0
cifar,1003,tralo_0.0001,upper_bound_correction,0.6165,0.6132044162435447,0.5284761013232262,False,800,15,0
cifar,1003,tralo_0.0001,capped_first,0.6165,0.6132044162435447,0.5284761013232262,False,800,15,0
cifar,1003,tralo_0.0003,raw,0.627,0.6250755092086974,0.5959423064079445,False,800,15,0
cifar,1003,tralo_0.0003,upper_bound_correction,0.617,0.613647408601947,0.5284761013232262,False,800,15,0
cifar,1003,tralo_0.0003,capped_first,0.617,0.613587123038753,0.5284761013232262,False,800,15,0
cifar,1003,tralo_0.001,raw,0.6245,0.6205850381579984,0.5550236484628499,False,800,15,0
cifar,1003,tralo_0.001,upper_bound_correction,0.617,0.6123792692932504,0.5039616918612905,False,800,15,0
cifar,1003,tralo_0.001,capped_first,0.618,0.6148539332530988,0.5284761013232262,False,800,15,0
cifar,1003,tralo_0.003,raw,0.6095,0.598463652790302,0.39851672891378775,False,800,15,0
cifar,1003,tralo_0.003,upper_bound_correction,0.606,0.5950463142139337,0.3737819865319866,False,800,15,0
cifar,1003,tralo_0.003,capped_first,0.6155,0.6123941506588351,0.5206765064969834,False,800,15,0
cifar,1003,tralo_0.01,raw,0.5845,0.5591582922898577,0.0748235294117647,True,800,15,0
cifar,1003,tralo_0.01,upper_bound_correction,0.5845,0.5591582922898577,0.0748235294117647,True,800,15,0
cifar,1003,tralo_0.01,capped_first,0.6115,0.6084517122324212,0.4995570191976223,True,800,15,0
cifar,1003,tralo_1e-05,raw,0.629,0.6269540688712758,0.6095948594755592,False,800,15,0
cifar,1003,tralo_1e-05,upper_bound_correction,0.616,0.612549175543676,0.5210686939158188,False,800,15,0
cifar,1003,tralo_1e-05,capped_first,0.616,0.6125395102878308,0.5210686939158188,False,800,15,0
cifar,1003,tralo_3e-05,raw,0.629,0.6269959693751737,0.6097341510782653,False,800,15,0
cifar,1003,tralo_3e-05,upper_bound_correction,0.616,0.612549175543676,0.5210686939158188,False,800,15,0
cifar,1003,tralo_3e-05,capped_first,0.616,0.6125395102878308,0.5210686939158188,False,800,15,0
cifar,1003,tralo_null,raw,0.629,0.6269540688712758,0.6095948594755592,False,800,0,0
cifar,1003,tralo_null,upper_bound_correction,0.616,0.612549175543676,0.5210686939158188,False,800,0,0
cifar,1003,tralo_null,capped_first,0.616,0.6125395102878308,0.5210686939158188,False,800,0,0
cifar,1004,alm_0.005,raw,0.606,0.5969414431818028,0.38155923818410414,True,800,0,600
