ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
aider,L50_G50,danits_lp,4,0.89315,0.006771755065466182,0.9501999999999999,0.0020800641015763597,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,53.5,4.43471156521669,0.0,0.0,,0.0,0.29535,0.06278378240703035
aider,L50_G50,fioretto_ldf,4,0.8855500000000001,0.006069321763316434,0.9439,0.003721110945224089,0.0541,0.0013341664064126328,0.11315,0.001322875655532297,8.75,3.774917217635375,1.0,0.0,18.75,4.5,12.761775,1.7887453039770644
aider,L50_G50,heuristic,4,0.89315,0.006771755065466182,0.9501999999999999,0.0020800641015763597,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,53.5,4.43471156521669,0.0,0.0,,0.0,0.2698,0.06109844515206585
aider,L50_G50,hounie_rcl,4,0.865625,0.020870293880697218,0.93405,0.009465199416811038,0.08405,0.009390953093270142,0.1714,0.018639027156301183,37.75,6.849574196011505,1.0,0.0,78.75,32.3251707909899,41.337275,14.270244471013802
aider,L50_G50,tralo,4,0.8867,0.004466169126518459,0.94475,0.002928594657283004,0.04855,0.002004162335407655,0.100025,0.004097458561921847,0.0,0.0,1.0,0.0,68.0,4.546060565661952,60.4683,57.47863576332804
aider,L50_G50,tralo_bounded,4,0.8861749999999999,0.006272360002423341,0.94415,0.003678314831549936,0.05325,0.002527844931952908,0.111175,0.005419947724225146,8.25,3.947573094109004,0.5,0.5773502691896257,69.0,7.0710678118654755,26.5691,14.67303190278001
aider,L70_G70,danits_lp,4,0.93565,0.005765125034781718,0.967,0.0020800641015763562,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,33.5,4.43471156521669,0.0,0.0,,0.0,0.2938,0.06980558716893656
aider,L70_G70,fioretto_ldf,4,0.930175,0.00542056270141758,0.962375,0.0028721362548922843,0.031325,0.003289756829919196,0.068025,0.0073058766300378615,2.25,0.9574271077563381,1.0,0.0,16.25,4.031128874149275,11.89755,1.502445256906221
aider,L70_G70,heuristic,4,0.93565,0.005765125034781718,0.967,0.0020800641015763562,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,33.5,4.43471156521669,0.0,0.0,,0.0,0.273575,0.06099138600381751
aider,L70_G70,hounie_rcl,4,0.9267,0.007498888806572157,0.95965,0.004109744517606889,0.05525,0.004973596954585955,0.1152,0.01025117879400544,30.5,3.696845502136472,1.0,0.0,91.75,41.740268326880695,47.851299999999995,18.109653166382472
aider,L70_G70,tralo,4,0.9319500000000001,0.005124125941725734,0.9634,0.0024248711305964177,0.030525,0.0034932076949417148,0.065175,0.0067237762207458,0.5,1.0,1.0,0.0,65.75,4.5,46.846875,59.90340851472894
aider,L70_G70,tralo_bounded,4,0.930675,0.0049949140800084006,0.962375,0.0028721362548922843,0.034125,0.0032724863126782785,0.0717,0.008134289561274953,5.75,3.8622100754188224,0.75,0.5,63.666666666666664,2.0816659994661326,19.03845,14.559755064446197
aider,L80_G80,danits_lp,4,0.9563,0.004831148931672478,0.9762500000000001,0.002126812952126565,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,22.5,4.43471156521669,0.0,0.0,,0.0,0.34655,0.04160612935614174
aider,L80_G80,fioretto_ldf,4,0.95305,0.004045161719058134,0.9731000000000001,0.0024684678108764743,0.024825,0.0034998809503562645,0.054224999999999995,0.005631681217303881,5.25,1.707825127659933,1.0,0.0,15.0,3.559026084010437,11.217575,1.6654561965119346
aider,L80_G80,heuristic,4,0.9563,0.004831148931672478,0.9762500000000001,0.002126812952126565,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,22.5,4.43471156521669,0.0,0.0,,0.0,0.3366,0.039314967463634845
aider,L80_G80,hounie_rcl,4,0.947325,0.005680008802810092,0.96995,0.002769476484825218,0.033875,0.006342646661029342,0.073875,0.013432888743676843,16.75,6.701989754294367,1.0,0.0,107.0,52.00640986134946,53.7953,22.82825939415151
aider,L80_G80,tralo,4,0.953325,0.004129063654954549,0.9737250000000001,0.0027097047809678393,0.023275,0.002808766039859259,0.047775,0.005278494103435182,0.5,0.5773502691896257,1.0,0.0,65.25,4.9916597106239795,19.318575,3.334214595548203
aider,L80_G80,tralo_bounded,4,0.9527,0.004469899327725392,0.9729,0.0026758176320519278,0.02425,0.003376882191213269,0.05215,0.0058318093247293305,3.75,1.8929694486000912,0.75,0.5,63.0,2.6457513110645907,18.2364,14.948208859926998
dermmnist,L20_G20,danits_lp,4,0.703,0.018045682770864255,0.8367249999999999,0.0053915829462845835,0.101175,0.007453131332981234,0.231475,0.008200965390326508,158.5,7.14142842854285,0.0,0.0,,0.0,0.387075,0.08747149535705905
dermmnist,L20_G20,fioretto_ldf,4,0.7049,0.01406864125161585,0.828525,0.010003457735536549,0.1512,0.013537601954063606,0.32027500000000003,0.020936312155359807,12.75,6.020797289396148,1.0,0.0,20.75,0.5,22.038575,0.35302147597561206
dermmnist,L20_G20,heuristic,4,0.703,0.018045682770864255,0.8367249999999999,0.0053915829462845835,0.101175,0.007453131332981234,0.231475,0.008200965390326508,158.5,7.14142842854285,0.0,0.0,,0.0,0.347775,0.08628071916714648
dermmnist,L20_G20,hounie_rcl,4,0.696375,0.011369366736982326,0.8264,0.00882458686473952,0.15395,0.011891873976235486,0.327975,0.02430354912353339,17.75,4.645786621588784,1.0,0.0,57.25,8.99536917900909,54.5777,6.751580536437374
dermmnist,L20_G20,tralo,4,0.7077,0.012943209287756519,0.832275,0.005799640793474449,0.142525,0.00592192254818202,0.30445,0.010078855755160576,2.5,2.0816659994661326,1.0,0.0,70.5,0.5773502691896257,86.379075,100.45961276268771
