dataset,sigma,tight,method,n,macro_f1,f1_constrained,f1_unconstrained_mean,pre_constrained,rec_constrained,acc,ece,brier,conf_correct,conf_incorrect,conf_gap,flips,sat
aider,0.20,L50_G50,hounie_rcl,2,0.8281,0.6470,0.8884,0.9706,0.4853,0.9168,0.0876,0.1834,0.9925,0.9113,0.0812,25.0000,1.0000
aider,0.20,L50_G50,tralo,2,0.8367,0.6602,0.8955,0.9902,0.4951,0.9214,0.0670,0.1386,0.9948,0.8977,0.0971,0.5000,1.0000
aider,0.20,L70_G70,danits_lp,2,0.8707,0.7976,0.8951,0.9718,0.6765,0.9306,0.0420,0.1006,0.9881,0.8748,0.1134,32.0000,0.0000
aider,0.20,L70_G70,fioretto_ldf,2,0.8785,0.7861,0.9093,0.9577,0.6667,0.9362,0.0519,0.1161,0.9922,0.8796,0.1126,5.0000,1.0000
aider,0.20,L70_G70,heuristic,2,0.8707,0.7976,0.8951,0.9718,0.6765,0.9306,0.0420,0.1006,0.9881,0.8748,0.1134,32.0000,0.0000
aider,0.20,L70_G70,hounie_rcl,2,0.8780,0.7803,0.9107,0.9507,0.6618,0.9365,0.0632,0.1396,0.9923,0.9032,0.0890,19.5000,1.0000
aider,0.20,L70_G70,tralo,2,0.8789,0.7919,0.9079,0.9648,0.6716,0.9361,0.0515,0.1111,0.9934,0.8868,0.1066,0.5000,1.0000
aider,0.30,L20_G20,danits_lp,2,0.7202,0.3279,0.8510,1.0000,0.1961,0.8799,0.0617,0.1424,0.9850,0.8714,0.1137,86.5000,0.0000
aider,0.30,L20_G20,fioretto_ldf,2,0.6946,0.3279,0.8169,1.0000,0.1961,0.8701,0.1144,0.2457,0.9893,0.9168,0.0726,6.5000,0.5000
aider,0.30,L20_G20,heuristic,2,0.7202,0.3279,0.8510,1.0000,0.1961,0.8799,0.0617,0.1424,0.9850,0.8714,0.1137,86.5000,0.0000
aider,0.30,L20_G20,hounie_rcl,2,0.6704,0.3115,0.7899,0.9500,0.1863,0.8546,0.1376,0.2879,0.9911,0.9180,0.0731,16.5000,1.0000
aider,0.30,L20_G20,tralo,2,0.6959,0.3279,0.8186,1.0000,0.1961,0.8693,0.1192,0.2452,0.9935,0.9353,0.0582,2.0000,1.0000
aider,0.30,L30_G30,danits_lp,2,0.7565,0.4662,0.8533,1.0000,0.3039,0.8891,0.0617,0.1424,0.9850,0.8714,0.1137,75.5000,0.0000
aider,0.30,L30_G30,fioretto_ldf,2,0.7372,0.4587,0.8301,0.9839,0.2990,0.8816,0.1047,0.2249,0.9890,0.9077,0.0814,7.5000,1.0000
aider,0.30,L30_G30,heuristic,2,0.7565,0.4662,0.8533,1.0000,0.3039,0.8891,0.0617,0.1424,0.9850,0.8714,0.1137,75.5000,0.0000
aider,0.30,L30_G30,hounie_rcl,2,0.7132,0.4436,0.8031,0.9516,0.2892,0.8689,0.1315,0.2731,0.9921,0.9159,0.0763,25.5000,1.0000
aider,0.30,L30_G30,tralo,2,0.7430,0.4587,0.8378,0.9839,0.2990,0.8832,0.1012,0.2159,0.9908,0.9213,0.0695,1.5000,1.0000
aider,0.30,L50_G50,danits_lp,2,0.8048,0.6470,0.8574,0.9706,0.4853,0.9038,0.0617,0.1424,0.9850,0.8714,0.1137,55.5000,0.0000
aider,0.30,L50_G50,fioretto_ldf,2,0.8004,0.6470,0.8516,0.9706,0.4853,0.9012,0.0873,0.1909,0.9879,0.8973,0.0905,13.0000,1.0000
aider,0.30,L50_G50,heuristic,2,0.8048,0.6470,0.8574,0.9706,0.4853,0.9038,0.0617,0.1424,0.9850,0.8714,0.1137,55.5000,0.0000
aider,0.30,L50_G50,hounie_rcl,2,0.7825,0.6340,0.8320,0.9510,0.4755,0.8924,0.1148,0.2425,0.9908,0.9110,0.0797,36.0000,1.0000
aider,0.30,L50_G50,tralo,2,0.8034,0.6470,0.8554,0.9706,0.4853,0.9025,0.0786,0.1724,0.9899,0.8989,0.0910,0.0000,1.0000
aider,0.30,L70_G70,danits_lp,2,0.8402,0.7745,0.8622,0.9436,0.6569,0.9164,0.0617,0.1424,0.9850,0.8714,0.1137,35.5000,0.0000
aider,0.30,L70_G70,fioretto_ldf,2,0.8467,0.7803,0.8688,0.9507,0.6618,0.9184,0.0643,0.1489,0.9863,0.8913,0.0950,3.0000,1.0000
aider,0.30,L70_G70,heuristic,2,0.8402,0.7745,0.8622,0.9436,0.6569,0.9164,0.0617,0.1424,0.9850,0.8714,0.1137,35.5000,0.0000
aider,0.30,L70_G70,hounie_rcl,2,0.8265,0.7399,0.8554,0.9014,0.6275,0.9084,0.0926,0.2001,0.9889,0.8980,0.0910,37.0000,1.0000
aider,0.30,L70_G70,tralo,2,0.8439,0.7803,0.8651,0.9507,0.6618,0.9151,0.0645,0.1472,0.9870,0.8789,0.1081,0.0000,1.0000
dermmnist,0.00,L20_G20,danits_lp,2,0.7009,0.3022,0.7673,0.9000,0.1816,0.8337,0.1064,0.2353,0.9837,0.8634,0.1203,152.5000,0.0000
dermmnist,0.00,L20_G20,fioretto_ldf,2,0.7003,0.3097,0.7654,0.9222,0.1861,0.8273,0.1484,0.3156,0.9874,0.8997,0.0877,8.0000,1.0000
dermmnist,0.00,L20_G20,heuristic,2,0.7009,0.3022,0.7673,0.9000,0.1816,0.8337,0.1064,0.2353,0.9837,0.8634,0.1203,152.5000,0.0000
dermmnist,0.00,L20_G20,hounie_rcl,2,0.6742,0.2985,0.7368,0.8889,0.1794,0.8213,0.1620,0.3412,0.9880,0.8993,0.0887,30.5000,1.0000
dermmnist,0.00,L20_G20,tralo,2,0.7005,0.3097,0.7656,0.9222,0.1861,0.8286,0.1462,0.3099,0.9874,0.8999,0.0876,3.5000,1.0000
dermmnist,0.00,L30_G30,danits_lp,2,0.7217,0.4242,0.7712,0.9179,0.2758,0.8437,0.1064,0.2353,0.9837,0.8634,0.1203,130.5000,0.0000
dermmnist,0.00,L30_G30,fioretto_ldf,2,0.7218,0.4103,0.7737,0.8881,0.2669,0.8392,0.1350,0.2886,0.9861,0.8938,0.0924,11.5000,0.5000
dermmnist,0.00,L30_G30,heuristic,2,0.7216,0.4242,0.7711,0.9179,0.2758,0.8437,0.1064,0.2353,0.9837,0.8634,0.1203,130.5000,0.0000
dermmnist,0.00,L30_G30,hounie_rcl,2,0.7204,0.4103,0.7720,0.8881,0.2668,0.8397,0.1456,0.3113,0.9870,0.9006,0.0864,35.0000,1.0000
dermmnist,0.00,L30_G30,tralo,2,0.7294,0.4138,0.7821,0.8955,0.2691,0.8435,0.1323,0.2848,0.9859,0.8940,0.0919,10.5000,1.0000
dermmnist,0.00,L50_G50,danits_lp,2,0.7457,0.5539,0.7776,0.8334,0.4148,0.8552,0.1064,0.2353,0.9837,0.8634,0.1203,86.5000,0.0000
dermmnist,0.00,L50_G50,fioretto_ldf,2,0.7574,0.5659,0.7893,0.8514,0.4237,0.8602,0.1130,0.2509,0.9844,0.8918,0.0926,9.5000,0.5000
dermmnist,0.00,L50_G50,heuristic,2,0.7457,0.5539,0.7776,0.8334,0.4148,0.8552,0.1064,0.2353,0.9837,0.8634,0.1203,86.5000,0.0000
dermmnist,0.00,L50_G50,hounie_rcl,2,0.7575,0.5599,0.7904,0.8423,0.4193,0.8584,0.1249,0.2710,0.9849,0.8953,0.0895,38.0000,1.0000
dermmnist,0.00,L50_G50,tralo,2,0.7624,0.5629,0.7956,0.8468,0.4215,0.8617,0.1134,0.2480,0.9862,0.8984,0.0878,1.5000,1.0000
dermmnist,0.00,L70_G70,danits_lp,2,0.7633,0.6359,0.7845,0.7725,0.5403,0.8629,0.1064,0.2353,0.9837,0.8634,0.1203,41.5000,0.0000
dermmnist,0.00,L70_G70,fioretto_ldf,2,0.7832,0.6491,0.8055,0.7885,0.5516,0.8712,0.1017,0.2271,0.9841,0.8758,0.1084,13.0000,1.0000
dermmnist,0.00,L70_G70,heuristic,2,0.7632,0.6359,0.7845,0.7725,0.5403,0.8632,0.1064,0.2353,0.9837,0.8634,0.1203,41.5000,0.0000
