alpha_kl,d_acc,d_f1c,d_f1u,d_flips,d_macro,d_pre_c,d_rec_c,data_dir,dataset,ds_cls_prev,ds_imbalance,ds_n_classes,ds_n_test,ds_n_train,lr,model,model_params,n_classes,ph_acc,ph_brier,ph_conf_gap,ph_ece,ph_f1c,ph_f1u,ph_f1u_std,ph_macro,ph_mean_entropy,ph_pct_high,ph_pre_c,ph_rec_c,ph_sup_c,ph_warmup_train_acc,pretrained,rho_target,sweep,tight,tight_pct,tr_flips,tr_macro,tr_sat_epoch,warmup_eps
0.0,0.0008000000000000229,0.038900000000000046,0.0014571428571428235,-41.0,0.006099999999999994,0.05810000000000004,0.029200000000000004,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5088,0.8441,0.0838,0.3829,0.2724,0.37970000000000004,0.20038225612920066,0.3663,0.1377,0.7725,0.407,0.2047,171.0,,True,100.0,contamination_clean,L50_G50,50,1.0,0.3724,64,50
0.0,-0.0008000000000000229,-0.007799999999999974,0.002957142857142825,-22.0,0.0015999999999999903,-0.0116,-0.005900000000000016,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5058,0.8455,0.0882,0.38,0.3191,0.39288571428571434,0.17449679021666378,0.3837,0.146,0.7575,0.4767,0.2398,171.0,,True,100.0,contamination_clean,L50_G50,50,3.0,0.3853,64,50
0.0,0.0029000000000000137,0.009800000000000003,0.01207142857142851,-14.0,0.011799999999999977,0.02939999999999998,0.0058,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4621,0.968,0.0499,0.4532,0.1561,0.35418571428571427,0.1868605853767641,0.3294,0.1056,0.8167,0.4706,0.0936,171.0,,True,100.0,contamination_tissuemnist,L20_G20,20,1.0,0.3412,66,50
0.0,0.00539999999999996,0.009799999999999975,0.00397142857142857,-16.0,0.004699999999999982,0.029400000000000037,0.0059000000000000025,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.495,0.9178,0.0508,0.4383,0.1463,0.3737,0.18729620543788003,0.3453,0.0826,0.8625,0.4412,0.0877,171.0,,True,100.0,contamination_tissuemnist,L20_G20,20,1.0,0.35,72,50
0.0,-0.009599999999999997,0.006900000000000017,-0.005028571428571438,-34.0,-0.003599999999999992,0.008299999999999974,0.005900000000000016,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4533,0.9758,0.0461,0.4605,0.3024,0.3634857142857143,0.172455148857165,0.3559,0.106,0.8217,0.3667,0.2573,171.0,,True,100.0,contamination_tissuemnist,L70_G70,70,2.0,0.3523,58,50
0.0,0.0020000000000000018,-0.006899999999999962,0.004357142857142782,-26.0,0.0029000000000000137,-0.008299999999999974,-0.005800000000000027,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4938,0.9072,0.0555,0.4322,0.3162,0.3950428571428572,0.1734449921621332,0.3852,0.0933,0.8488,0.3833,0.269,171.0,,True,100.0,contamination_tissuemnist,L70_G70,70,0.0,0.3881,59,50
0.0,-0.004599999999999993,-0.036000000000000004,0.0033714285714285808,-19.0,-0.0015999999999999903,-0.07839999999999997,-0.023400000000000004,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4692,0.9583,0.0516,0.4502,0.2432,0.3643142857142857,0.1791862512947386,0.3492,0.1036,0.8233,0.5294,0.1579,171.0,,True,100.0,contamination_tissuemnist,L30_G30,30,6.0,0.3476,64,50
0.0,-0.0032999999999999696,-0.009000000000000008,0.00261428571428568,-14.0,0.0011000000000000454,-0.019600000000000006,-0.0058,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4996,0.9126,0.0466,0.4332,0.1892,0.38791428571428577,0.18176313808731115,0.3631,0.0848,0.8638,0.4118,0.1228,171.0,,True,100.0,contamination_tissuemnist,L30_G30,30,2.0,0.3642,69,50
0.0,-0.015900000000000025,-0.007800000000000029,-0.005171428571428549,-31.0,-0.005500000000000005,-0.011699999999999988,-0.0058,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4617,0.9639,0.0514,0.4533,0.2957,0.3619,0.1791696083922398,0.3536,0.1056,0.8179,0.4419,0.2222,171.0,,True,100.0,contamination_tissuemnist,L50_G50,50,5.0,0.3481,60,50
0.0,-0.008400000000000019,0.015600000000000003,0.007885714285714218,-34.0,0.008899999999999963,0.0232,0.011700000000000016,data/tissuemnist_sigma20/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5017,0.9005,0.0492,0.4224,0.249,0.3910857142857143,0.18258955085555323,0.3733,0.0925,0.8325,0.3721,0.1871,171.0,,True,100.0,contamination_tissuemnist,L50_G50,50,0.0,0.3822,65,50
0.0,0.009599999999999997,0.0,0.028157142857142825,-18.0,0.02460000000000001,0.0,0.0,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4996,0.9302,0.0437,0.4484,0.2049,0.36237142857142857,0.19108548359521277,0.3427,0.0683,0.8808,0.6176,0.1228,171.0,,True,100.0,contamination_tissuemnist,L20_G20,20,4.0,0.3673,75,50
0.0,-0.010800000000000032,-0.009800000000000003,0.0019714285714285684,-9.0,0.0005000000000000004,-0.02939999999999998,-0.0059000000000000025,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4979,0.8915,0.0612,0.4227,0.1366,0.3971,0.1657197203542346,0.3645,0.0978,0.8296,0.4118,0.0819,171.0,,True,100.0,contamination_tissuemnist,L20_G20,20,4.0,0.365,93,50
0.0,0.0024999999999999467,0.041200000000000014,0.007157142857142806,-50.0,0.011399999999999966,0.04999999999999999,0.03510000000000002,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5129,0.8808,0.0511,0.4159,0.3024,0.38750000000000007,0.17652145964240643,0.3769,0.0827,0.8592,0.3667,0.2573,171.0,,True,100.0,contamination_tissuemnist,L70_G70,70,4.0,0.3883,64,50
0.0,0.0016999999999999793,-0.006899999999999962,0.0021428571428570575,-45.0,0.0010000000000000009,-0.008299999999999974,-0.005800000000000027,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4979,0.8907,0.0585,0.4132,0.3162,0.3957285714285715,0.16926581558758583,0.3858,0.1117,0.8171,0.3833,0.269,171.0,,True,100.0,contamination_tissuemnist,L70_G70,70,5.0,0.3868,75,50
0.0,-0.0038000000000000256,0.0,-0.0008000000000000229,-26.0,-0.0006999999999999784,0.0,0.0,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5142,0.8998,0.0414,0.4252,0.2523,0.3930857142857143,0.17701245661229145,0.3755,0.076,0.8688,0.549,0.1637,171.0,,True,100.0,contamination_tissuemnist,L30_G30,30,3.0,0.3748,71,50
0.0,-0.0037000000000000366,-0.009000000000000008,-0.004257142857142959,-20.0,-0.0048000000000000265,-0.019600000000000006,-0.0058,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4908,0.9031,0.063,0.4238,0.1892,0.3932285714285714,0.16537461123405953,0.3677,0.1044,0.8233,0.4118,0.1228,171.0,,True,100.0,contamination_tissuemnist,L30_G30,30,1.0,0.3629,88,50
0.0,-0.009199999999999986,0.03889999999999999,-0.010300000000000031,-34.0,-0.004200000000000037,0.05820000000000003,0.029299999999999993,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.515,0.8872,0.0412,0.4163,0.2646,0.3974857142857143,0.17111199697918347,0.3809,0.0794,0.8612,0.3953,0.1988,171.0,,True,100.0,contamination_tissuemnist,L50_G50,50,6.0,0.3767,68,50
0.0,0.005400000000000016,0.0,0.005300000000000027,-30.0,0.004599999999999993,0.0,0.0,data/tissuemnist_sigma10/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4921,0.8951,0.0665,0.4215,0.2646,0.3914142857142857,0.16813722651089352,0.3756,0.1094,0.8221,0.3953,0.1988,171.0,,True,100.0,contamination_tissuemnist,L50_G50,50,0.0,0.3802,81,50
0.0,0.01749999999999996,0.0,0.0020285714285713796,-16.0,0.0018000000000000238,0.0,0.0,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4333,1.0101,0.058,0.4762,0.1561,0.36045714285714286,0.14372154483228877,0.3349,0.1134,0.8142,0.4706,0.0936,171.0,,True,100.0,contamination_tissuemnist,L20_G20,20,3.0,0.3367,69,50
0.0,0.0009000000000000119,0.009700000000000014,-0.0006714285714285451,-14.0,0.0005999999999999894,0.02939999999999998,0.0058,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4662,0.9533,0.0529,0.4489,0.1366,0.3647857142857143,0.15592981414333662,0.3363,0.1029,0.8292,0.4118,0.0819,171.0,,True,100.0,contamination_tissuemnist,L20_G20,20,3.0,0.3369,69,50
0.0,0.0041999999999999815,0.006899999999999962,-0.0007714285714285896,-14.0,0.00019999999999997797,0.008299999999999974,0.0058,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4537,0.9684,0.0609,0.454,0.268,0.3710428571428571,0.1544491303878109,0.3582,0.1176,0.7983,0.325,0.2281,171.0,,True,100.0,contamination_tissuemnist,L70_G70,70,11.0,0.3584,58,50
0.0,-0.0013000000000000234,0.0,0.0006714285714285451,-18.0,0.0005999999999999894,0.0,0.0,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4592,0.9531,0.0634,0.4472,0.2749,0.36375714285714283,0.15687270414614027,0.3526,0.1149,0.8092,0.3333,0.2339,171.0,,True,100.0,contamination_tissuemnist,L70_G70,70,8.0,0.3532,56,50
0.0,-0.0011999999999999789,0.0,0.0032571428571429584,-24.0,0.002799999999999969,0.0,0.0,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4462,0.9836,0.064,0.4642,0.1802,0.3610428571428571,0.1602442141335072,0.3385,0.1122,0.8113,0.3922,0.117,171.0,,True,100.0,contamination_tissuemnist,L30_G30,30,4.0,0.3413,67,50
0.0,0.00040000000000001146,0.009000000000000008,0.006742857142856995,-17.0,0.007099999999999995,0.019600000000000006,0.0058,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4629,0.952,0.0619,0.4493,0.1802,0.3656142857142858,0.15743607708319887,0.3424,0.1071,0.8217,0.3922,0.117,171.0,,True,100.0,contamination_tissuemnist,L30_G30,30,3.0,0.3495,65,50
0.0,-0.0017000000000000348,-0.015600000000000003,0.005885714285714327,-33.0,0.003200000000000036,-0.0232,-0.011699999999999988,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.45,0.9754,0.0568,0.4576,0.2257,0.36305714285714286,0.16205100482028892,0.3459,0.1137,0.8175,0.3372,0.1696,171.0,,True,100.0,contamination_tissuemnist,L50_G50,50,2.0,0.3491,62,50
0.0,0.0007999999999999674,0.023400000000000004,-0.006785714285714228,-13.0,-0.0030999999999999917,0.0348,0.017500000000000016,data/tissuemnist_sigma30/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4575,0.9521,0.0672,0.451,0.2412,0.3612428571428571,0.15557789833064206,0.3463,0.1117,0.8158,0.3605,0.1813,171.0,,True,100.0,contamination_tissuemnist,L50_G50,50,11.0,0.3432,60,50
0.0,0.011499999999999955,0.022399999999999975,0.028066666666666684,-30.0,0.027200000000000002,0.06669999999999998,0.013400000000000009,data/dermmnist_sigma20/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.7289,0.5049,0.0643,0.2444,0.1642,0.4707666666666666,0.2517042091203262,0.427,0.036,0.9406,0.4889,0.0987,223.0,,True,100.0,contamination_dermmnist,L20_G20,20,3.0,0.4542,69,50
