constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
L70_G80,hounie_rcl,4,0.784875,0.008591,16.2500,6.9940,0.872325,0.002136,100.00
L70_G80,heuristic,4,0.764250,0.014657,47.5000,7.1414,0.865325,0.005105,0.00
L70_G80,danits_lp,4,0.764150,0.015050,47.5000,7.1414,0.865200,0.005307,0.00
L80_G20,tralo,4,0.706050,0.014741,0.0000,0.0000,0.826800,0.003582,100.00
L80_G20,tralo_bounded,4,0.706525,0.013434,0.0000,0.0000,0.830525,0.006746,100.00
L80_G20,fioretto_ldf,4,0.709300,0.009644,0.0000,0.0000,0.832150,0.003590,100.00
L80_G20,hounie_rcl,4,0.703450,0.014420,0.0000,0.0000,0.827775,0.007111,100.00
L80_G20,heuristic,4,0.703200,0.018465,158.5000,7.1414,0.836700,0.005354,0.00
L80_G20,danits_lp,4,0.703200,0.018465,158.5000,7.1414,0.836700,0.005354,0.00
L80_G30,tralo,4,0.727275,0.015238,0.0000,0.0000,0.842950,0.004664,100.00
L80_G30,tralo_bounded,4,0.730250,0.011711,0.2500,0.5000,0.843325,0.003966,75.00
L80_G30,fioretto_ldf,4,0.731750,0.009866,0.7500,1.5000,0.843700,0.004882,75.00
L80_G30,hounie_rcl,4,0.725100,0.012733,0.0000,0.0000,0.840700,0.004761,100.00
L80_G30,heuristic,1,0.705300,0.000000,144.0000,0.0000,0.843700,0.000000,0.00
L80_G30,danits_lp,1,0.705300,0.000000,144.0000,0.0000,0.843700,0.000000,0.00
L80_G50,tralo,4,0.763650,0.007509,0.0000,0.0000,0.862825,0.002780,100.00
L80_G50,tralo_bounded,4,0.761175,0.010200,0.0000,0.0000,0.860825,0.003521,100.00
L80_G50,fioretto_ldf,4,0.763900,0.008140,0.0000,0.0000,0.861825,0.002626,100.00
L80_G50,hounie_rcl,4,0.763650,0.008451,0.0000,0.0000,0.862200,0.002121,100.00
L80_G50,heuristic,4,0.748375,0.018282,91.5000,7.1414,0.858700,0.006721,0.00
L80_G50,danits_lp,4,0.748800,0.018960,91.5000,7.1414,0.858575,0.006836,0.00
L80_G70,tralo,4,0.788825,0.005469,0.0000,0.0000,0.874075,0.004608,100.00
L80_G70,tralo_bounded,4,0.781000,0.008580,0.0000,0.0000,0.871200,0.002345,100.00
L80_G70,fioretto_ldf,4,0.783725,0.007112,0.0000,0.0000,0.871325,0.002287,100.00
L80_G70,hounie_rcl,4,0.783150,0.008076,0.0000,0.0000,0.871325,0.003146,100.00
L80_G70,heuristic,4,0.764650,0.015005,47.5000,7.1414,0.865575,0.005543,0.00
L80_G70,danits_lp,4,0.764900,0.015484,47.5000,7.1414,0.865575,0.005391,0.00
