Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
204,0.7224,0.636487,0.000000,0.567220,0.20,0.20,1,0,113,97,103.99,63,5,60.78,inf,340,277.24
207,0.7579,0.641567,0.087783,0.608109,0.20,0.20,1,0,113,105,111.32,63,18,68.79,inf,319,261.89
210,0.7461,0.652818,0.000000,0.556053,0.20,0.20,1,0,113,99,109.55,63,13,56.20,inf,330,276.25
213,0.7698,0.663080,0.079450,0.601670,0.20,0.20,1,0,113,113,122.25,63,21,60.55,inf,308,259.20
216,0.7413,0.641730,0.000000,0.537919,0.20,0.20,1,0,113,97,109.10,63,13,52.33,inf,332,280.57
219,0.7529,0.624067,0.009741,0.570638,0.20,0.20,1,0,113,101,114.04,63,14,56.97,inf,327,270.99
222,0.7688,0.656422,0.035525,0.607919,0.20,0.20,1,0,113,110,117.82,63,19,64.76,inf,313,259.43
225,0.7645,0.649787,0.098517,0.610233,0.20,0.20,1,0,113,113,124.47,63,14,61.65,inf,315,255.88
228,0.7670,0.638352,0.064683,0.599325,0.20,0.20,1,0,113,111,120.51,63,16,61.23,inf,315,260.26
231,0.7630,0.641741,0.037617,0.608018,0.20,0.20,1,0,113,102,116.58,63,21,65.38,inf,319,260.04
234,0.7360,0.641810,0.063156,0.574145,0.20,0.20,1,0,113,90,101.10,63,18,66.95,inf,334,273.95
237,0.7388,0.639544,0.049214,0.590294,0.20,0.20,1,0,113,94,106.93,63,14,66.77,inf,334,268.31
240,0.7332,0.655043,0.000000,0.527600,0.20,0.20,1,0,113,97,109.16,63,9,50.99,inf,336,281.85
243,0.7385,0.663101,0.053651,0.573303,0.20,0.20,1,0,113,92,101.93,63,17,67.07,inf,333,273.01
246,0.7345,0.658627,0.083766,0.578776,0.20,0.20,1,0,113,90,101.76,63,17,68.77,inf,335,271.47
249,0.7537,0.645825,0.035250,0.593193,0.20,0.20,1,0,113,108,116.60,63,11,61.18,inf,323,264.22
252,0.7401,0.658408,0.020423,0.572657,0.20,0.20,1,0,113,91,104.01,63,18,64.36,inf,333,273.63
255,0.7562,0.651928,0.079366,0.601569,0.20,0.20,1,0,113,96,110.55,63,22,68.08,inf,324,263.37
258,0.7748,0.654573,0.079798,0.625897,0.20,0.20,1,0,113,113,122.64,63,28,67.78,inf,301,251.58
261,0.7262,0.655312,0.000000,0.506912,0.20,0.20,1,0,113,90,101.08,63,14,51.32,inf,338,289.60
264,0.7280,0.659332,0.000000,0.556631,0.20,0.20,1,0,113,91,103.01,63,12,60.28,inf,339,278.71
267,0.7413,0.624691,0.000000,0.583180,0.20,0.20,1,0,113,100,112.00,63,7,60.75,inf,335,269.25
270,0.7368,0.625067,0.032893,0.590182,0.20,0.20,1,0,113,98,110.18,63,10,64.36,inf,334,267.46
273,0.7451,0.626404,0.117015,0.597598,0.20,0.20,1,0,113,93,105.76,63,21,70.91,inf,328,265.33
276,0.7443,0.662853,0.000000,0.552993,0.20,0.20,1,0,113,93,105.31,63,19,58.73,inf,330,277.96
279,0.7370,0.667876,0.000000,0.547594,0.20,0.20,1,0,113,89,102.29,63,17,59.25,inf,336,280.45
282,0.7438,0.631545,0.000000,0.579350,0.20,0.20,1,0,113,102,112.89,63,9,59.98,inf,331,269.13
285,0.7695,0.646183,0.081338,0.603166,0.20,0.20,1,0,113,113,122.31,63,18,61.08,inf,311,258.61
288,0.7599,0.635962,0.030343,0.566210,0.20,0.20,1,0,113,107,115.94,63,15,56.04,inf,320,270.01
291,0.7433,0.675046,0.000000,0.564268,0.20,0.20,1,0,113,102,112.69,63,7,56.60,inf,333,272.71
294,0.7338,0.660797,0.058849,0.581353,0.20,0.20,1,0,113,92,103.20,63,14,66.62,inf,336,272.18
297,0.7474,0.650288,0.000000,0.566762,0.20,0.20,1,0,113,101,112.89,63,13,57.68,inf,328,271.43
300,0.7438,0.644003,0.020812,0.564902,0.20,0.20,1,0,113,105,115.75,63,6,54.31,inf,331,271.95
